Article,Eligible,Eligibility note,External ref,Gas data
nu9080917,e,,n,y
bmjopen-2019-034610,e,,n,n
jsc.0000000000000862,e,,n,y
jsc.0000000000001679,e,,n,y
fspor.2020.00099,e,,n,y
s00421-006-0321-7,e,,n,y
j.jpsychires.2015.03.011,e,,n,n
s00421-019-04255-x,e,,n,n
biom11040504,e,,n,y
journal.pone.0017007,e,,n,y
bmjsem-2015-000056,e,,n,y
geosciences9020066,e,,n,n
ajpp11.848,e,,n,y
1414-431x20176400,e,,n,y
circimaging.116.005511,e,,n,y
eneuro.0008-16.2016,e,,n,n
japplphysiol.00837.2019,e,,n,y
biom10101394,e,,n,n
journal.pone.0209069,e,,n,n
cpf.12454,e,,n,n
jeb.017533,i,Non-human,,
hrt.49.6.584,e,,n,n
meps13827,e,,n,n
japplphysiol.00056.2019,e,,n,y
mss.0000000000002637,e,,n,y
sjweh.2914,e,,n,n
strokeaha.108.515346,e,,n,y
sms.13404,e,,n,y
thx.38.10.778,e,,n,n
tjem.238.33,e,,n,y
srep44590,e,,n,y
tad-2005-17207,e,,n,y
thx.35.9.680,e,,n,y
sports7080187,e,,n,y
systems2040425,e,,n,n
s41746-021-00531-3,e,,n,y
sports9070092,e,,n,y
srep42485,e,,n,y
thx.40.6.418,e,,n,n
tjem.233.135,e,,n,y
sc.2010.149,e,,n,n
s13063-018-2823-0,e,,n,y
s1517-86922011000100008,e,,n,y
s13102-019-0140-x,e,,n,y
s40798-021-00363-1,e,,n,n
s41394-019-0223-7,e,,n,y
s41598-018-30220-3,e,,n,n
s41598-020-65770-y,e,,n,y
s41598-021-02072-x,e,,n,y
sjweh.2083,e,,n,y
s40064-016-2952-4,e,,n,y
s40279-019-01103-y,e,,n,n
s41419-020-02993-x,e,,n,n
s41467-019-10925-3,e,,n,n
s41598-019-41077-5,i,Non-human,,
s1517-86922008000400007,i,Language,,
s1517-86922009000200010,i,Language,,
s1517-86922010000400012,i,Language,,
s42000-020-00176-z,e,,n,y
sc.2017.34,e,,n,y
scienceasia1513-1874.2010.36.012,e,,n,y
s00421-017-3621-1,e,,n,y
s10103-016-2011-y,e,,n,y
s10533-017-0382-1,e,,n,n
s11538-020-00754-7,e,,n,n
s12887-022-03257-7,e,,n,n
s41419-017-0256-4,e,,n,n
s41598-017-02802-0,e,,n,n
s41598-019-54912-6,e,,n,y
s41598-020-58492-8,e,,n,y
s41598-020-77358-7,e,,n,n
s20185088,i,Non-human,,
s004210100384,e,,n,y
s00421-016-3402-2,e,,n,y
s00421-017-3677-y,i,,,
s00421-019-04269-5,e,,n,y
s00421-019-04275-7,e,,n,y
s00431-017-2948-2,e,,n,y
s00520-015-2993-1,e,,n,y
s0717-75182021000600893,i,Language,,
s10654-006-9038-5,e,,y,y
s12970-020-00369-2,e,,n,y
s12986-020-00497-1,e,,n,y
s13011-016-0063-4,e,,n,n
s004210050052,e,,n,y
s1047951109990928,e,,n,y
s0066-782x2012005000092,e,,n,n
s0100-879x2004000300019,e,,n,y
s00421-020-04390-w,e,,n,y
s00421-021-04769-3,e,,n,y
s00421-022-04898-3,e,,n,y
s00586-009-1002-0,e,,n,y
s10973-018-7067-4,e,,n,n
s11845-021-02861-3,e,,n,y
s12576-020-00750-5,e,,n,y
s12877-018-0993-y,e,,n,y
s12905-019-0779-1,e,,n,n
s12969-016-0110-8,e,,n,n
s-0033-1337905,e,,n,y
s0022-4707.20.10322-0,e,,n,y
s0034-98872019000300289,i,Language,,
s0100-879x2011007500073,e,,n,y
s00246-020-02359-2,e,,n,y
s00421-005-1350-3,e,,n,y
s00421-022-04928-0,e,,n,y
s10072-020-04965-7,e,,n,y
s11357-013-9596-x,e,,n,y
s11695-020-04944-z,e,,n,y
s12877-021-02401-9,e,,n,y
s12970-015-0106-7,e,,n,y
s0007114521002208,e,,n,y
nu8120755,e,,n,y
nu14091776,e,,n,y
oxfordjournals.eurheartj.a014942,e,,n,y
oxim.2.4.9415,e,,n,y
pbc.27113,e,,n,y
raq.12501,i,Non-human,,
resp.12162,e,,n,y
s-0035-1548810,e,,n,y
s00360-022-01432-x,e,,n,n
s00421-007-0519-3,e,,n,y
s00421-011-2230-7,e,,n,y
s00421-013-2741-5,e,,n,y
s00421-014-2883-0,e,,n,y
nu8080518,e,,n,y
nu13124391,e,,n,y
pc.2015.29,e,,n,y
pes.24.2.187,e,,n,n
pgmj.67.789.632,e,,n,n
phm.0000000000000108,e,,n,y
pnas.1703338114,e,,y,
rimcafd2020.80.012,i,Language,,
s00018-009-0141-0,e,,n,n
s00134-010-1754-3,e,,n,n
s00394-019-02101-6,e,,n,y
s00421-011-2129-3,e,,n,y
s00421-013-2767-8,e,,n,y
nu14010141,e,,n,y
oem.34.2.126,e,,n,y
or.2015.4092,e,,n,n
oxfordjournals.eurheartj.a015352,e,,n,y
pes.2018-0141,i,Review,,
physiolsci.rp011906,e,,n,y
ppul.21024,e,,n,y
psyp.12868,e,,n,y
rsbl.2005.0312,e,,n,n
s00360-012-0690-7,i,Non-human,,
s00421-006-0327-1,e,,n,y
s00421-009-1080-z,e,,n,n
s00421-016-3379-x,e,,n,y
