txt_file,o2_uptake,vo2_units,gas_collection_methods,estimated_vo2,gas_data
jsc.0000000000000862,True,True,False,False,m
fnut.2021.718936,True,True,True,False,y
s003600000151,True,False,False,False,m
s00421-022-04928-0,True,True,True,True,y
s00421-007-0554-0,True,False,False,False,m
mss.0000000000002209,True,False,True,False,y
j.clnu.2015.07.010,True,True,True,False,y
s40279-021-01523-9,True,False,False,False,m
jci118856,True,False,False,False,m
jbc.m117.817510,True,False,False,False,m
dc07-2298,True,True,True,True,y
j.nutres.2016.11.004,True,True,False,False,m
j.1532-5415.2009.02495.x,True,True,True,True,y
japplphysiol.00209.2019,True,True,False,True,m
2060.2021.00150,True,False,False,False,m
s0066-782x2010005000110,True,True,True,False,y
s12984-018-0401-z,True,False,False,True,m
bf00843763,False,False,False,False,n
japplphysiol.91550.2008,True,True,True,True,y
s00421-010-1587-3,True,False,False,False,m
s00210-016-1318-3,True,True,False,True,m
s00421-009-1312-2,True,True,False,True,m
pes.2014-0007,True,True,True,True,y
s00125-016-4170-6,True,True,False,True,m
s00421-011-2275-7,True,True,False,True,m
sms.13280,True,True,True,False,y
s11695-019-03932-2,True,True,False,True,m
s00421-018-3946-4,True,True,True,False,y
cia.s43837,True,False,False,False,m
jhh.2013.121,False,False,False,False,n
bf00418463,False,False,False,False,n
s00421-002-0718-x,False,False,False,False,n
bjsm.2006.032359,True,True,True,False,y
circheartfailure.112.969071,True,False,True,False,y
j.amepre.2006.06.002,True,True,True,True,y
s12283-017-0242-1,True,True,True,True,y
s00421-010-1777-z,True,False,False,False,m
09031936.01.00088801,True,False,True,False,y
fmpcr.2019.84547,True,True,False,False,m
j.jsams.2017.03.020,True,True,False,False,m
sj.ijo.0800595,True,True,True,False,y
h00-017,True,True,False,True,m
nu8110733,True,True,False,False,m
bf03345735,True,True,False,True,m
s00592-003-0045-7,False,False,False,False,n
journal.pone.0211902,True,True,True,False,y
bf00262816,True,False,False,False,m
s00421-015-3211-z,True,True,True,True,y
monaldi.2021.1605,True,False,False,False,m
s00421-006-0315-5,True,True,True,False,y
02813432.2012.649631,True,False,False,True,m
s12970-017-0180-0,True,True,True,False,y
apnm-2013-0152,True,True,True,False,y
s00421-003-1010-4,True,True,True,False,y
jci.insight.122247,True,False,False,False,m
mss.0000000000001516,True,False,False,False,m
bf00236062,True,False,False,False,m
ptj.20100391,True,False,False,True,m
s00395-015-0511-8,True,False,False,False,m
978-1-4614-4989-8_12,True,False,False,False,m
00005768-200101000-00024,True,False,True,False,y
1516-3180.2017.0240281017,True,False,False,True,m
s00421-012-2437-2,True,True,True,False,y
s00439-009-0731-9,True,False,False,False,m
s004210050198,True,False,False,False,m
blood.2019001055,True,False,False,False,m
s004240050228,True,True,False,False,m
s10695-012-9624-2,True,False,False,False,m
ijsnem.2018-0359,True,True,False,True,m
1758-5996-6-36,True,True,True,False,y
s00421-007-0563-z,True,False,False,False,m
bf00421751,True,True,False,False,m
eje.0.1470065,True,True,False,False,m
etm.2017.4084,True,True,False,False,m
j.jvs.2007.09.001,True,False,True,True,y
nu10111718,True,True,False,False,m
japa.2019-0256,True,True,False,False,m
arm.2015.39.1.25,True,True,False,False,m
bjsm.2005.019844,True,False,False,False,m
s00421-003-0809-3,True,False,False,False,m
j.apmr.2004.11.025,True,False,False,False,m
wor-172487,True,True,False,False,m
mss.0000000000001258,True,True,True,False,y
joe-17-0557,True,False,False,False,m
kowsar.1726913x.1789,True,True,False,False,m
s00421-011-1964-6,True,False,False,False,m
jhj.43.13,True,True,False,False,m
0008-5472.can-19-1405,True,False,False,False,m
s00421-011-2232-5,True,True,False,True,m
biom11070961,True,False,False,False,m
japplphysiol.01246.2012,True,False,True,False,y
s41105-021-00333-w,True,True,False,False,m
s00421-010-1419-5,True,True,True,False,y
s00464-014-3691-7,True,False,False,False,m
a-1018-1965,True,True,False,False,m
monaldi.2009.372,True,True,False,False,m
s00421-017-3574-4,True,True,True,False,y
bf00964121,True,True,False,False,m
s13102-020-00172-1,True,True,True,True,y
s00421-013-2647-2,True,False,False,False,m
s12970-018-0251-x,True,True,True,True,y
s00421-014-2989-4,True,False,False,False,m
02640414.2014.992937,True,True,False,False,m
s004210050615,True,True,True,False,y
journal.pone.0114418,True,True,True,False,y
fphys.2020.537389,True,True,True,True,y
jpa.18.31,True,True,False,False,m
s004210050173,True,True,False,False,m
s00421-015-3263-0,True,True,True,True,y
s00360-012-0644-0,False,False,False,False,n
s00421-019-04083-z,True,False,True,False,y
1517-869220152104147827,True,True,False,True,m
j.1475-097x.2002.00428.x,True,False,False,True,m
s00421-008-0953-x,True,True,True,False,y
ajpcell.00047.2020,True,True,True,False,y
s00421-018-3838-7,True,True,True,False,y
s1517-86922011000400013,True,True,False,True,m
japplphysiol.00655.2019,True,True,False,False,m
s12265-010-9228-0,True,True,False,False,m
s11695-016-2282-1,False,False,False,False,n
nu12041144,True,True,False,False,m
ijerph182312359,True,True,False,False,m
srep42485,True,True,True,True,y
cc6975,False,False,False,False,n
s00421-007-0576-7,False,False,False,False,n
srep24714,True,False,False,False,m
16501977-2306,True,True,True,True,y
ijerph17030861,True,False,False,False,m
j.ijcard.2013.08.001,True,False,False,False,m
s00421-004-1310-3,True,False,False,False,m
sj.ijo.0802779,True,False,False,False,m
journal.pone.0147691,True,True,False,False,m
1414-431x20209200,True,False,False,False,m
1471-2296-11-83,True,True,False,True,m
fphys.2017.01070,True,False,False,False,m
j.parkreldis.2018.04.014,True,False,True,False,y
s0066-782x2003001400004,True,True,False,False,m
ahs.v15i4.16,True,True,False,False,m
bf00002551,True,False,False,False,m
s00360-009-0442-5,True,False,False,False,m
s0100-879x2006001200016,True,True,False,False,m
s00059-013-4037-2,True,False,False,False,m
journal.pone.0163733,True,True,False,False,m
s10103-016-2088-3,True,False,False,False,m
journal.pone.0219741,True,False,True,True,y
s000711451500464x,True,False,True,False,y
00006450-198807000-00001,True,True,True,False,y
healthcare8030192,True,True,False,False,m
j.apmr.2011.07.194,True,True,False,False,m
fj.201700827r,True,True,True,True,y
s00421-003-0993-1,True,False,True,False,y
s00421-010-1671-8,True,False,False,False,m
ptj.20080340,True,False,False,False,m
fphys.2019.00629,True,True,True,True,y
s00421-022-04904-8,True,True,True,False,y
fphys.2019.01537,True,True,True,False,y
s12891-016-0869-2,True,False,True,False,y
ajpregu.00434.2016,True,True,False,False,m
mat.0000000000000569,True,True,False,False,m
arm.2013.37.3.364,True,True,True,False,y
s00421-012-2334-8,True,True,False,False,m
1091367x.2011.568369,True,True,True,True,y
s11897-013-0130-3,True,False,False,False,m
07315724.2020.1783721,True,False,False,False,m
fpsyg.2022.825738,True,True,True,False,y
journal.pone.0136915,True,False,False,False,m
jsc.0b013e31823a3c6b,True,True,True,False,y
s00421-009-1120-8,True,False,False,False,m
