doi,_merge
10.1123/ijspp.2022-0020,right_only
10.1556/2060.2022.00176,right_only
10.1080/07315724.2021.2020183,right_only
10.1080/07315724.2021.2021562,right_only
10.1097/HCR.0000000000000690,right_only
10.1249/MSS.0000000000002957,right_only
10.1123/ijspp.2022-0069,right_only
10.1002/dmrr.3537,right_only
10.1016/j.scitotenv.2022.155430,right_only
10.1515/jbcpp-2022-0060,right_only
10.1249/MSS.0000000000002951,right_only
10.2196/33782,right_only
10.1123/pes.2021-0173,right_only
10.1123/ijspp.2022-0019,right_only
10.1123/jsr.2021-0379,right_only
10.1123/ijspp.2021-0483,right_only
10.23736/S0022-4707.22.13714-X,right_only
10.23736/S0022-4707.22.13661-3,right_only
10.23736/S0022-4707.22.13627-3,right_only
10.1016/j.echo.2022.03.006,right_only
10.1249/MSS.0000000000002930,right_only
10.1249/MSS.0000000000002914,right_only
10.1016/j.apmr.2022.01.155,right_only
10.1055/a-1812-7600,right_only
10.23736/S0022-4707.22.13428-6,right_only
10.1249/MSS.0000000000002915,right_only
10.1111/sms.14155,right_only
10.23736/S0022-4707.22.13411-0,right_only
10.1123/ijspp.2021-0021,right_only
10.1007/s00360-022-01432-x,right_only
10.23736/S0022-4707.22.13605-4,right_only
10.23736/S0022-4707.22.13589-9,right_only
10.1007/s40279-022-01651-w,right_only
10.1080/14763141.2022.2029936,right_only
10.1089/chi.2021.0187,right_only
10.23736/S0022-4707.21.12743-4,right_only
10.1007/s40279-021-01610-x,right_only
10.1016/j.ecoenv.2021.112966,right_only
10.1007/s00248-021-01923-4,right_only
10.23736/S0022-4707.21.13234-7,right_only
10.23736/S0022-4707.21.13226-8,right_only
10.3233/THC-213220,right_only
10.1080/17461391.2021.2001575,right_only
10.1007/s11356-021-16409-6,right_only
10.1519/JSC.0000000000004160,right_only
10.1080/00140139.2021.1998645,right_only
10.1055/a-1639-2307,right_only
10.1097/PHM.0000000000001874,right_only
10.1080/17461391.2021.1930190,right_only
10.1519/JSC.0000000000003920,right_only
10.23736/S0022-4707.21.12196-6,right_only
10.1016/j.jshs.2021.01.010,right_only
10.1080/09593985.2020.1868029,right_only
10.1519/JSC.0000000000003933,right_only
10.1080/09593985.2020.1852635,right_only
10.1519/JSC.0000000000003853,right_only
10.1519/JSC.0000000000003780,right_only
10.1123/ijspp.2019-0561,right_only
10.1080/10790268.2020.1798137,right_only
10.1123/ijspp.2019-0402,right_only
10.1519/JSC.0000000000003625,right_only
10.1123/ijspp.2018-0879,right_only
10.1123/ijspp.2019-0118,right_only
10.1152/japplphysiol.00293.2018,right_only
10.1123/ijspp.2018-0014,right_only
10.1123/ijspp.2018-0112,right_only
10.1039/d2dt00421f,right_only
10.1111/sms.14149,right_only
10.1111/febs.16263,right_only
10.1016/j.cbpa.2022.111165,right_only
10.1123/ijspp.2020-0749,right_only
10.1519/JSC.0000000000003623,right_only
10.1021/acsnano.1c07647,right_only
10.1002/adma.202102415,right_only
10.1021/acs.langmuir.1c00882,right_only
10.1021/acsami.1c04279,right_only
10.1021/acsami.1c04250,right_only
10.1002/adma.202005967,right_only
10.1021/acsami.0c09061,right_only
10.1021/acsnano.9b09963,right_only
10.1039/d0cp00275e,right_only
10.1016/j.jcis.2020.03.069,right_only
10.1166/jnn.2020.17681,right_only
10.1021/jacs.9b11874,right_only
10.1123/ijspp.2021-0024,right_only
10.1123/ijspp.2020-0737,right_only
10.1002/mnfr.202100838,right_only
10.1038/s41375-021-01426-8,right_only
10.1123/ijspp.2021-0458,right_only
10.1111/sms.14133,right_only
10.1007/978-1-0716-2087-8_10,right_only
10.1007/s40279-021-01537-3,right_only
10.1080/02640414.2021.1994727,right_only
10.1111/1440-1681.13624,right_only
10.1007/s00421-021-04827-w,right_only
10.26355/eurrev_202108_26530,right_only
10.1123/ijspp.2021-0046,right_only
10.1123/ijspp.2021-0110,right_only
10.1242/jeb.243194,right_only
10.1111/sms.14092,right_only
10.1249/MSS.0000000000002755,right_only
10.1016/j.jhazmat.2021.127623,right_only
10.1016/j.biopha.2021.112072,right_only
10.1016/j.gaitpost.2021.10.014,right_only
10.1111/jfb.14923,right_only
10.1016/j.jbmt.2021.07.035,right_only
10.1007/s00421-021-04760-y,right_only
10.1016/j.cbpa.2021.111020,right_only
10.1097/FJC.0000000000000977,right_only
10.1080/17461391.2020.1859622,right_only
10.1007/s00359-020-01455-1,right_only
10.1123/ijspp.2021-0138,right_only
10.1123/ijspp.2020-0276,right_only
10.1016/j.chemosphere.2021.131467,right_only
10.1039/d1lc00528f,right_only
10.1016/j.theriogenology.2021.09.015,right_only
10.1242/jeb.242397,right_only
10.1016/j.scitotenv.2021.149093,right_only
10.1016/j.bone.2021.116102,right_only
10.1152/japplphysiol.00335.2021,right_only
10.1007/s11356-021-15071-2,right_only
