pmcid,pmid,doi
PMC9014408,35435465,10.1007/s00421-022-04942-2
PMC8929450,35301581,10.1007/s00421-022-04928-0
PMC8810340,35110695,10.1038/s41393-022-00757-2
PMC8625666,34837141,10.1007/s11845-021-02861-3
PMC7754768,32902179,10.1002/ehf2.12959
PMC4326238,25685605,10.1016/j.jshs.2013.11.004
PMC9095960,35574455,10.3389/fphys.2022.811369
PMC9065783,34727646,10.5713/ab.21.0183
PMC9070299,35531006,10.1039/c9ra05111b
PMC9074144,35530719,10.1039/c9ra07340j
PMC9057682,35527839,10.1589/jpts.34.369
PMC9080208,35526069,10.1186/s13102-022-00476-4
PMC9051008,35482259,10.1186/s40798-022-00447-6
PMC9042897,35509514,10.1016/j.jesf.2022.01.002
PMC9023617,35445953,10.1186/s40798-022-00445-8
PMC9007235,35431982,10.3389/fphys.2022.818733
PMC9039168,35498513,10.3389/fspor.2022.849731
PMC9048942,35497388,10.1093/ehjcr/ytac171
PMC9048681,35497191,10.7717/peerj.13190
PMC9005883,35431985,10.3389/fphys.2022.827932
PMC8892136,35250602,10.3389/fphys.2021.780699
PMC8881679,35242908,10.1016/j.dib.2022.107915
PMC8851248,35228846,10.1016/j.jesf.2022.01.004
PMC8874328,35222069,10.3389/fphys.2022.739753
PMC8858796,35198605,10.3389/fcvm.2021.784648
PMC8841821,35174324,10.3389/fspor.2021.828389
PMC8829013,35155627,10.3389/fcvm.2022.798149
PMC8819388,35154334,10.1016/j.jesf.2022.01.005
PMC8818981,35140525,10.2147/IJWH.S344233
PMC8762074,35096081,10.1016/j.jesf.2022.01.001
PMC8702792,34988476,10.1016/j.jaccao.2021.08.010
PMC8689221,34987589,10.1016/j.jesf.2021.11.003
PMC8631139,34912517,10.4103/ijpvm.IJPVM_248_19
PMC8663964,34909682,10.1016/j.crphar.2021.100060
PMC9033938,35469245,10.3389/fspor.2022.854614
PMC9024409,35465548,10.3389/fpsyg.2022.854451
PMC9019701,35464093,10.3389/fphys.2022.869534
PMC9029104,35457989,10.3390/nano12081281
PMC9028944,35455812,10.3390/healthcare10040634
PMC9028827,35453792,10.3390/biology11040593
PMC9032800,35453772,10.3390/biology11040573
PMC9026451,35453336,10.3390/antiox11040651
PMC9001771,35403996,10.1186/s40798-022-00437-8
PMC8692870,34955879,10.3389/fphys.2021.756659
PMC8606995,34870113,10.5606/tftrd.2021.6533
PMC8605195,34868324,10.1016/j.jesf.2021.10.004
PMC8575208,34759498,10.4103/ijcm.IJCM_554_20
PMC6476766,31031943,10.1002/ece3.5080
PMC4510621,26038468,10.14814/phy2.12415
PMC8550483,34720759,10.7224/1537-2073.2020-036
PMC8428303,34584659,10.4103/ijpvm.IJPVM_138_20
PMC8415265,34483958,10.3389/fphys.2021.702439
PMC8405144,34483755,10.7224/1537-2073.2020-003
PMC8371633,34421649,10.3389/fphys.2021.708172
PMC8327133,34368628,10.1016/j.mayocpiqo.2021.06.005
PMC8320391,34335295,10.3389/fphys.2021.685306
PMC8290204,34295264,10.3389/fphys.2021.687566
PMC7147046,32308987,10.1186/s13102-020-00171-2
PMC8283806,34276423,10.3389/fphys.2021.701541
PMC8280344,34276402,10.3389/fphys.2021.682359
PMC8269685,34262723,10.1002/fsn3.2319
PMC8252160,34230900,10.4102/sajp.v77i1.1546
PMC8213890,34178605,10.1016/j.jcte.2021.100257
PMC8209404,34169256,10.1016/j.cjco.2021.02.003
PMC8088802,33948546,10.5606/tftrd.2021.5344
PMC8076583,33887822,10.20463/pan.2021.0001
PMC7993170,33880185,10.1136/bmjsem-2020-000907
PMC8044992,33868023,10.3389/fphys.2021.654755
PMC8000241,33815725,10.4103/ijpvm.IJPVM_258_18
PMC7933461,33679429,10.3389/fphys.2021.599514
PMC7882785,33614778,10.1183/23120541.00825-2020
PMC7892957,33613320,10.3389/fphys.2021.627320
PMC7870485,33574767,10.3389/fphys.2020.620736
PMC7862135,33551944,10.3389/fpsyg.2021.636153
PMC7843774,33520794,10.1007/s40200-019-00486-z
PMC7844325,33519511,10.3389/fphys.2020.607302
PMC7811039,33488741,10.1016/j.jesf.2020.12.004
PMC9013233,35437475,10.7717/peerj.13199
PMC7771560,33392430,10.1002/agm2.12127
PMC7759138,33391874,10.7717/peerj.10491
PMC7732875,33335553,10.1016/j.jesf.2020.11.001
PMC7716607,33312479,10.4103/ijpvm.IJPVM_64_19
PMC7672120,33250778,10.3389/fphys.2020.585267
PMC7658700,33210000,10.1016/j.heliyon.2020.e05380
PMC7554557,33088447,10.4103/ijpvm.IJPVM_356_19
PMC7560324,33083103,10.7717/peerj.9791
PMC7518764,33015245,10.1080/23328940.2019.1664370
PMC7518760,33015242,10.1080/23328940.2020.1761577
PMC7523040,33005207,10.1186/s12986-020-00497-1
PMC7470619,32908669,10.1186/s13102-020-00205-9
PMC7450994,32904158,10.7717/peerj.9717
PMC7419685,32848890,10.3389/fphys.2020.00979
PMC7437703,32843991,10.1136/bmjsem-2020-000765
PMC7365216,32789215,10.2490/prm.20170008
PMC7414561,32782806,10.1186/s40462-020-00215-9
PMC7394536,32754657,10.5327/Z1679443520180304
PMC8697357,35423858,10.1039/d1ra01079d
PMC7289152,32581846,10.3389/fphys.2020.00571
PMC7282232,32549776,10.2478/jomb-2019-0006
PMC7280009,32528572,10.1002/joa3.12350
PMC8670818,34937964,10.5114/biolsport.2021.100359
PMC7173991,32341801,10.1136/bmjsem-2020-000744
PMC7171059,32328445,10.15280/jlm.2020.10.1.21
PMC7161168,32322396,10.1186/s13102-020-00172-1
PMC7153226,32308986,10.1186/s13102-020-0159-z
PMC7139046,32274173,10.21037/jtd.2019.12.27
PMC7093496,32256389,10.3389/fphys.2020.00232
PMC7047835,32153482,10.3389/fpsyg.2020.00312
PMC7037104,32110054,10.2147/OTT.S237307
PMC7118007,32045515,10.7570/jomes19063
PMC8994663,35411174,10.2147/IJGM.S355589
PMC8983877,35402363,10.3389/fped.2022.847343
PMC8990227,35399598,10.3389/fspor.2022.834386
PMC8994245,35395815,10.1186/s13102-022-00455-9
PMC6994742,32020972,10.1016/j.mjafi.2018.12.004
PMC6960105,31969825,10.3389/fphys.2019.01517
PMC6937111,31921438,10.1136/bmjsem-2019-000627
PMC6935733,31893273,10.5606/tftrd.2019.3078
PMC6926367,31886161,10.1183/23120541.00153-2019
PMC6927354,31879575,10.7717/peerj.8222
PMC6892748,31849716,10.3389/fphys.2019.01472
PMC6894441,31828031,10.15280/jlm.2019.9.2.125
PMC6887503,31803496,10.1136/bmjsem-2019-000625
PMC6874152,31798459,10.3389/fphys.2019.01383
PMC6880567,31788014,10.1186/s12986-019-0406-z
PMC6827176,31700643,10.1186/s13102-019-0140-x
PMC6819975,31687169,10.1002/osp4.358
PMC6752206,31686854,10.2147/OTT.S208848
PMC6788331,31620178,10.4103/jrms.JRMS_499_18
PMC6724228,31555153,10.3389/fphys.2019.01132
PMC6733316,31548903,10.1136/bmjsem-2019-000560
PMC6746052,31543632,10.4103/ijoy.IJOY_43_18
PMC6742615,31534819,10.1016/j.jshs.2016.01.008
PMC6742619,31534818,10.1016/j.jshs.2016.11.003
PMC6620430,31333885,10.1016/j.jshs.2019.03.003
PMC6593209,31289452,10.1016/j.rpor.2019.06.003
PMC6589443,31249839,10.1183/23120541.00032-2019
PMC8982257,35391958,10.3389/fpsyg.2022.825738
PMC6557258,31211019,10.7717/peerj.7077
PMC6556026,31198580,10.1186/s40814-019-0459-9
PMC6531820,31156445,10.3389/fphys.2019.00504
PMC6521667,31143030,10.4103/apc.APC_121_18
