Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Freund, B.J., Joyner, M.J., Jilka, S.M., Kalis, J., Nittolo, J.M., Taylor, J.A., Peters, H., Feese, G., Wilmore, J.H.","7005965618; 7102373788; 6602295059; 6603155087; 6505809346; 55568518996; 57213925398; 6504546862; 7101646034","Thermoregulation during prolonged exercise in heat: Alterations with β-adrenergic blockade",1987,"Journal of Applied Physiology",63,"3",,930,936,,36,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023639724&partnerID=40&md5=ec5c3cdb24c0395ab199b2151a0a0e23",Article,Final,"",Scopus,2-s2.0-0023639724
"Schauer, J.E., Hanson, P.","7006383655; 7202060693","Usefulness of a branching treadmill protocol for evaluation of cardiac functional capacity",1987,"The American Journal of Cardiology",60,"16",,1373,1377,,19,10.1016/0002-9149(87)90622-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023638437&partnerID=40&md5=b99a964092cbe57c76e1ef055e7742cf",Article,Final,"",Scopus,2-s2.0-0023638437
"Harper, J., Byrd, R.","57217415449; 7101748575","Effect of aerobic capacity on circulatory responses to static, dynamic, and combination work",1987,"Journal of Sports Medicine and Physical Fitness",27,"4",,389,394,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023600715&partnerID=40&md5=72080d36a7191ff86d0ba5f2c393fd80",Article,Final,"",Scopus,2-s2.0-0023600715
"Bolter, C.P., Coutts, P.","7003853166; 6603105780","Incremental graded treadmill run to exhaustion as a measure of aerobic power",1987,"Journal of Sports Medicine and Physical Fitness",27,"4",,449,452,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023597284&partnerID=40&md5=2808ba65be5fe7986f3c7333cf0449f0",Article,Final,"",Scopus,2-s2.0-0023597284
"Gass, G.C., Camp, E.M.","7003801207; 7004572828","Effects of prolonged exercise on highly trained traumatic paraplegic men",1987,"Journal of Applied Physiology",63,"5",,1846,1852,,30,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023597253&partnerID=40&md5=2ac9f6c2b05a5ac9e5dd5a0c13b98958",Article,Final,"",Scopus,2-s2.0-0023597253
"Mantz, J., Leroy, M., Chauvin, M., Desfonds, P., Gauneau, P., Duvaldestin, P.","23138392100; 57197253111; 7103407723; 6603455108; 6603402624; 56232097300","Effects of a low dose of pancuronium on oxygen consumption during sustained muscular exercise",1987,"European Journal of Anaesthesiology",4,"4",,235,240,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023589305&partnerID=40&md5=6a6cdeea87768a8b992b4d057ea873f4",Article,Final,"",Scopus,2-s2.0-0023589305
"Stauffer, R.W., McCarter, M., Campbell, J.L., Wheeler Jr., L.F.","7103325832; 7004348293; 55323624400; 57213835455","Comparison of metabolic responses of United States Military Academy men and women in acute military load bearing",1987,"Aviation Space and Environmental Medicine",58,"11",,1047,1056,,3,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023578914&partnerID=40&md5=5338d94e1a7636d9a88e303b8cb26668",Article,Final,"",Scopus,2-s2.0-0023578914
"Adler, J.C., Mazzarella, N., Puzsier, L., Alba, A.","57196525132; 57193405942; 6503942810; 7003889051","Treadmill training program for a bilateral below-knee amputee patient with cardiopulmonary disease",1987,"Archives of Physical Medicine and Rehabilitation",68,"12",,858,861,,10,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023577651&partnerID=40&md5=33d40d35e09afa2e060fb52703c0586e",Article,Final,"",Scopus,2-s2.0-0023577651
"Maffulli, N., Sjodin, B., Ekblom, B.","55663198300; 7006631852; 36962325900","A laboratory method for non invasive anaerobic threshold determination",1987,"Journal of Sports Medicine and Physical Fitness",27,"4",,419,423,,19,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023568403&partnerID=40&md5=bcad5eabc45d9f10770d418a43aee61d",Article,Final,"",Scopus,2-s2.0-0023568403
"Atomi, Y., Miyashita, M.","7005472824; 7202415078","Influences of weight reduction on aerobic power and body composition of middle-aged women",1987,"Journal of Sports Medicine and Physical Fitness",27,"4",,501,509,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023555653&partnerID=40&md5=182c5c661dc9f7cd44b36661b770a0e9",Article,Final,"",Scopus,2-s2.0-0023555653
"Vaccaro, P., Galioto Jr., F.M., Bradley, L.M., Vaccaro, J.","7102831363; 6701492408; 35497705200; 7005943375","Effect of physical training on exercise tolerance of children following surgical repair of D-transposition of the great arteries",1987,"Journal of Sports Medicine and Physical Fitness",27,"4",,443,448,,9,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0023547109&partnerID=40&md5=0ea45f254a3bff3999a3e6b6413d5d6b",Article,Final,"",Scopus,2-s2.0-0023547109
