done,doi_suffix,Data Processing Text,avg_terms,avg_text,no_avg_details,Avg type,Avg subtype,Avg amount,Avg MOS,Avg mean type,Avg method,Documented
FALSE,00005768-199703000-00004,,['every 10 s)'],FALSE,TRUE,,,,,,00005768-199703000-00004,TRUE
FALSE,00005768-199904000-00018,,['every 15 s;'],FALSE,FALSE,time,bin,15,mean,whole,00005768-199904000-00018-time-bin-15-mean-whole,TRUE
FALSE,00005768-200101000-00017,,"['rolling average of the three', 'moving average of six', 'recorded during the last 15 s ', ' 20-s value', 'every 20 s ']","[' tests (i.e., max and submax/max), both before and after training. for all exercise tests, v˙ o2, v˙ co2, expiratory minute ventilation (v˙ e) and the respiratory exchange ratio (rer) were determined EVERY 20 S and reported as a ROLLING AVERAGE OF THE THREE most recent 20-S VALUEs, using a sensormedics 2900 metabolic measurement cart (mmc). v˙ o2max was defined as the peak value obtained during the test. hr was determined by ecg and the colin stbp-780 instrument, and values were RECORDED DURING THE LAST 15 S of each stage of the maximal test, and once steady state had been achieved at each of the submaximal work rates during the submax and submax/max tests. quality assurance, quality control, and statisti']",FALSE,time,bin-roll,20-60,mean,whole,00005768-200101000-00017-time-bin-roll-20-60-mean-whole,TRUE
FALSE,00005768-200204000-00023,,"['highest 30-s ', 'averages of 15-s ', 'rolling averages of 15-s mean', 'rolling averages of 15-s samples', 'rolling averages of 15-s']","['nd 140 beats·min⫺1, and a 5-min recovery. participants received verbal encouragement throughout the tests. tfatigue was measured to the nearest second and v˙ o2max for that test was determined as the HIGHEST 30-S average determined from rolling AVERAGES OF 15-S samples. the participants were not given information about the work rate or their elapsed time for any test until after all data collection had been completed. determination of pcritical. individual values f', 'al was to select an intensity that would permit completion of five to seven 2-min stages before fatigue. increments for the stages were 20 w for women and 25 w for men. v˙ o2max was determined as the HIGHEST 30-S average determined from rolling AVERAGES OF 15-S means. pmax was defined as the highest power that was sustained for a full minute. constant power tests. all participants performed fatiguing constant power tests at 100% of their individual pmax (practic']",FALSE,time,rolling-bin,15-30,mean,whole,00005768-200204000-00023-time-rolling-bin-15-30-mean-whole,TRUE
FALSE,00140139.2010.502255,,"[' 11 s over', 'period of 2s ', 'average values of 3.2 l/min (43 ml/kg per min', 'average recording of 54.2 + 5.7 ml/kg per min', 'average (175/177 beats per min', 'record every 5s ', 'average diﬀerence of 8 beats per min', 'average sd hr ¼ heart rate; bpm ¼ beats per min', 'average rate during the test of 177.5 + 6 beats per min']","[' rescues carried out by elite lifeguards in high-performance competition (sinclair et al. 2009). for other rescue group manoeuvres, such as the extinguishing of ﬁres on a ship by military ﬁreﬁghters, AVERAGE VALUES OF 3.2 L/MIN (43 ML/KG PER MIN) are obtained in order to perform the task successfully (bilzon et al. 2001). meanwhile, a more recent study shows oxygen consumption of 3.7 1/min for ﬁreﬁghters in a hospital rescue simulation (heim', 'e anaerobic in metabolic terms, or at least reached the limit of the aerobic– anaerobic transition zone. it was also observed how, in the swimming pool rescue with surf, the margin between heart rate AVERAGE (175/177 BEATS PER MIN) and the maximum of the test (180/184 beats per min) is minimal, thus implying that heart rate remained high throughout the interruptions to swimming caused by the waves. in short, it seems to be tha', 'this factor is a predictor of performance for rescue tasks undertaken by other rescue groups (henderson et al. 2007). if maximum oxygen uptake is taken as an evaluation indicator of aerobic power, an AVERAGE RECORDING OF 54.2 + 5.7 ML/KG PER MIN can be observed, slightly less than that found in rescue tasks at sea without surf (prieto et al. 2001) and in the ﬁndings of a study on elite swimmers (riera et al. 1995). this recording is, however']",TRUE,,,,,,00140139.2010.502255,TRUE
FALSE,0031-9384_._91_._90344-n,,['every 36 seconds '],"[""ts), chin emg, ecg and respiratory rhythm were all continuously recorded during the night. sleep stages were scored according to rechtschaffen and kales' criteria (11). metabolic rates were evaluated EVERY 36 SECONDS by indirect calorimetry (10). the child was supine in bed with his/her head in a glassfiber hood. a constant amount of air was pumped into the hood. the o2 and co2 concentrations in the air passed thr""]",FALSE,time,bin,36,mean,whole,0031-9384_._91_._90344-n-time-bin-36-mean-whole,TRUE
FALSE,0034-5687_._80_._90115-2,,[' 10 sec of each'],"[""msec. 'bins' credited with an occurrence. following each sub- sequent pedal, breath counts were added to appropriate bins in an identical manner, and a frequency histogram of breath occurrences within 10 SEC OF EACH pedal occur- rence was produced. the biomedical computer program time series spectrum estimation (tsse), was used to analyse the histograms. this program decomposed the histogram into it's frequency ""]",TRUE,,,,,,0034-5687_._80_._90115-2,TRUE
FALSE,0034-5687_._81_._90008-6,"By the end of 3 min of exercise, stable levels of VE, Vo, and V,.o,_ were attained, so we took the average of each for the last 3 minutes of exercise to represent 100`/ of the exercise steady-state. Similarly, VE, Vo. and V~.o, had stabilized by the end of 7 min after cessation of exercise, so the average of each for the 8th, 9th and 10th minute was taken to represent 100% recovery.","['average of each for the last 3 minutes', 'average value for the last 3 min', 'during the last three minutes']",FALSE,FALSE,time,bin,180,mean,whole,0034-5687_._81_._90008-6-time-bin-180-mean-whole,TRUE
FALSE,0034-5687_._85_._90055-6,,['last 10 sec '],"['ed in approximately 8 min. at this point, all measurements occurred as they did during the first trial. instrumentation. heart frequency was monitored continuously on an oscilloscope and recorded the LAST 10 SEC of each minute. blood pressure was measured via sphygmomano- metry. expired minute ventilation, respiratory frequency and tidal volume were recorded on a chart recorder from measurements obtained usin']",TRUE,,,,,,0034-5687_._85_._90055-6,TRUE
FALSE,0034-5687_._93_._90088-r,,"['average of variable responses for the 2-min period, min', 'period (45 sec)']","['ut, however petco2 and petoz re- sponses did not show this sinusoidal pattern, but demonstrated a variable or random response (fig. 1). the responses to the 4-min work period preceding and following (AVERAGE OF VARIABLE RESPONSES FOR THE 2-MIN PERIOD, MIN 2 to 4) the sinusoidal work fluctuations were not significantly different for any of the 6 variables for any test for either age group. this time invariant response suggests that the system is statio', 'nse amplitudes and larger phase lags for ~\'e, ~co2, ~\'o2 and fh. the responses of the end-tidal gas tensions were more irregular, indicating a complex kinetic relation with work rate. in the shortest PERIOD (45 SEC) the elderly had short lag values, not concordant with the remaining data. this inconsistency is evident for vo2, ~\'co2 and 9e. figure 2 illustrates the bode plots for both age groups for 9o2, 9co2, ""']",FALSE,time,bin,120,mean,whole,0034-5687_._93_._90088-r-time-bin-120-mean-whole,TRUE
