done,doi_suffix,Data Processing Text,interpolation_text,Interpolation type,Interpolation time (s),Notes
TRUE,biom11040504,,FALSE,,,
TRUE,sjweh.2914,,,,,
TRUE,sms.13404,"VO2Peak1-leg (L·min-1) was taken as the highest value of 30 s rolling averages, which in all cases occurred during the final minute of exercise.",,,,
TRUE,tjem.238.33,VO2 was measured using expired air collected in Douglas bags. Expiredair for 3 minutes was collected four times in each experiment: at Rest1 (from 6 to 9 minutes) and during each pedaling session (last 3 min-utes). The metabolic equivalent (METs) was calculated using the fol-lowing equation: METs = V,,,,
TRUE,srep44590,"Minute ventilation (VE) and gas exchange (oxygen consumption - VO2, carbon dioxide output- VCO2, respiratory exchange ratio - RER) were measured breath-by-breath with the Cortex Metamax 3B (CortexBiophysics GmbH, Germany). An incremental exercise test based on the Ellestad Protocol21 was conducted on amotorized treadmill (Life Fitness, Integrity Series, Germany) to determine peak oxygen uptake (VO2peak), minuteventilation (VE) and heart rate maximum (HRmax). The test was terminated when subjects reached volitionalfatigue and were not able to continue running. VO2peak and HRmax were taken as the highest 30s-average duringthe final minute of the test.",FALSE,,,
TRUE,tad-2005-17207,"During the GHT, peak oxygen consumption(VO2peak) and expired ventilation (VE) were sampledevery 30 seconds using an automated gas analyzingsystem (Oxycon Delta, Jaeger, Hoechberg, Germany).",FALSE,,,
TRUE,thx.35.9.680,,,,,
TRUE,systems2040425,,FALSE,,,
TRUE,s41746-021-00531-3,_VO2 data were filtered using a sliding 5-breath median filter to correctspurious outlier breaths,"['mart shirt have been previously validated43. data recorded by the metabolic system and smart shirt were time-aligned by cross-correlating the two different hr signals. after processing, all data were INTERPOLATed to 1 hz to ensure signal synchronization and a constant sampling rate. the ﬁnal set of _ve (l min−1), breathing frequency physiological features were: wr (w), (breath min−1), hr (bpm), and hr reser']",,1,
TRUE,sports9070092,"Expired air was continuously analyzed (breath-by-breath) for O2 and CO2 concentrations,using the Metalyzer 3B-R2 (Cortex Biophysik GmbH, Leipzig, Germany). Thehighest 30 s VO2 value was recorded as VO2peak",FALSE,,,
TRUE,srep42485,"The oxygen uptake (V O2) was measured breath-by-breath during all effort tests bya stationary gas analyzer, Quark PFT (COSMED, Rome, Italy). The gas analyzer was calibrated immediatelybefore each test with known samples (5.0% CO2and 16.0% O2, White Martins® , Osasco, Brazil) and room air,while the turbine was calibrated through a three-liter syringe (Hans-Rudolf, USA) following the manufacturer’srecommendations. The V O2 values were smoothed each 5 points and interpolated each 1 second throughOriginPro 9.0 software (OriginLab Corporation, Microcal, Massachusetts, USA)30","['brazil) and room air,  while the turbine was calibrated through a three-liter syringe (hans-rudolf, usa) following the manufacturer’s  recommendations. the \uf026vo2 values were smoothed each 5 points and INTERPOLATed each 1 second through  originpro 9.0 software (originlab corporation, microcal, massachusetts, usa)30. the heart rate (hr) was measured by a transmitter belt coupled to the gas analyzer (wireless h']",,1,
TRUE,tjem.233.135,,FALSE,,,
TRUE,s13063-018-2823-0,,FALSE,,,
TRUE,s1517-86922011000100008,"The VO2 was measured breath after breath during the entire protocol from the expired gas (K4b2, Cosmed, Rome, Italy), and the data were reduced to the mean of 15s.",FALSE,,,
TRUE,s13102-019-0140-x,,,,,
TRUE,s40798-021-00363-1,,,,,
TRUE,s41394-019-0223-7,"All data processing was performed using Origin (Origin 2016, OriginLab Corporation, Northampton, MA) on raw (unaveraged) variables. Data points outside of the computed 99% prediction bands were deemed to be aberrant breaths (e.g., sighing, coughing) and were removed from the analysis.",FALSE,,,
TRUE,s41598-020-65770-y,"Expired air was analyzed breath-by-breath using an online system (Ultima Series, MedGraphics, USA), and averaged over 15 s intervals13,18,20",FALSE,,,
TRUE,s41598-021-02072-x,"The test included gas analysis, and the recording of metabolic and ventilatory parameters was performed using the portable ergospirometry system Oxycon Mobile® (Mijnhardt/Jäger, Würzburg, German) with breathto- breath measures. All volunteers used a face mask as an interface to collect expired gases during exercise tests. For the three exercise tests performed, the peak values were defined as the highest 15-s averaged values.",FALSE,,,
TRUE,sjweh.2083,,,,,
