done,doi_suffix,op-rr,human,english,eligible,gas_data,ext_ref,gas_analyzer,Data Processing Text,time_bin_avg_nums,time_bin_surrounding_text,,outliers,Interpolation type,Interpolation time (s),Avg type,Avg subtype,Avg amount,Avg MOS,Avg mean type,outlier_details,interpolation_details,avg_details,processing_details,Notes
TRUE,biom11040504,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,sjweh.2914,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,sms.13404,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"VO2Peak1-leg (L·min-1) was taken as the highest value of 30 s rolling averages, which in all cases occurred during the final minute of exercise.",,,,,,,time,rolling,30,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,tjem.238.33,TRUE,TRUE,TRUE,TRUE,TRUE,,Douglas bag,VO2 was measured using expired air collected in Douglas bags. Expiredair for 3 minutes was collected four times in each experiment: at Rest1 (from 6 to 9 minutes) and during each pedaling session (last 3 min-utes). The metabolic equivalent (METs) was calculated using the fol-lowing equation: METs = V,,,,,,,time,bin,180,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,srep44590,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Minute ventilation (VE) and gas exchange (oxygen consumption - VO2, carbon dioxide output- VCO2, respiratory exchange ratio - RER) were measured breath-by-breath with the Cortex Metamax 3B (CortexBiophysics GmbH, Germany). An incremental exercise test based on the Ellestad Protocol21 was conducted on amotorized treadmill (Life Fitness, Integrity Series, Germany) to determine peak oxygen uptake (VO2peak), minuteventilation (VE) and heart rate maximum (HRmax). The test was terminated when subjects reached volitionalfatigue and were not able to continue running. VO2peak and HRmax were taken as the highest 30s-average duringthe final minute of the test.","[('over 20 seconds.', '20'), ('highest 30s-', '30'), ('over 20 seconds ', '20')]","[' climbing6,27 \nand victim rescue28 to be the most arduous tasks, requiring a vo2 of 38–43 ml/min/kg over 20 seconds. these \nfindings are comparable to our values determined for ladder climb and orientation section cr', 'ched volitional \nfatigue and were not able to continue running. vo2peak and hrmax were taken as the highest 30s-average during \nthe final minute of the test. in addition, two thresholds were determined based on t', 'walk and the orientation section crawling. the two most demanding tasks required 38 ±  6 ml/min/kg \nover 20 seconds during orientation section crawling and 38 ±  5 ml/min/kg at the ladder climb (fig.\xa01).\n\nmean minute']",,,,,time,bin,30,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,tad-2005-17207,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,"During the GHT, peak oxygen consumption(VO2peak) and expired ventilation (VE) were sampledevery 30 seconds using an automated gas analyzingsystem (Oxycon Delta, Jaeger, Hoechberg, Germany).","[('every 60 seconds,', '60'), ('interval of 5 seconds ', '5'), ('sampled\nevery 30 seconds ', '30')]","['estimated peak oxygen consumption. during all\nsessions a polar sport tester recorded the heart rate every 60 seconds, to determine the objective training intensity.\n\n2.5. measurements\n\n2.5.1. leg volume\n\nleg volume me', 's analyzing\nsystem (oxycon delta, jaeger, hoechberg, germany).\nheart rate (hr) was recorded with an interval of 5 seconds using a polar sport tester. power output (po) was\nmeasured using the computer software of the treadm', 'imposed\npower.\n\nduring the ght, peak oxygen consumption\n(vo2peak) and expired ventilation (ve) were sampled\nevery 30 seconds using an automated gas analyzing\nsystem (oxycon delta, jaeger, hoechberg, germany).\nheart rate (hr) ']",,,,,time,bin,30,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,thx.35.9.680,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,systems2040425,TRUE,TRUE,TRUE,TRUE,FALSE,,,,FALSE,FALSE,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,
TRUE,s41746-021-00531-3,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,_VO2 data were filtered using a sliding 5-breath median filter to correctspurious outlier breaths,"[('each of 30 s ', '30')]","['gnal amplitude while\nperforming non-constant load exercise. a single prbs was composed of 15\nunits, each of 30 s in duration, totaling 7.5 min. each complete prbs testing\nsession consisted of a 3.5 min warm-up (th']",,,,,breath,rolling,5,mean,whole,FALSE,FALSE,TRUE,TRUE,
TRUE,sports9070092,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Expired air was continuously analyzed (breath-by-breath) for O2 and CO2 concentrations,using the Metalyzer 3B-R2 (Cortex Biophysik GmbH, Leipzig, Germany). Thehighest 30 s VO2 value was recorded as VO2peak","[('highest 30 s ', '30')]","['o2 and co2 concentrations, using the metalyzer 3b-r2 (cortex biophysik gmbh, leipzig, germany). the\nhighest 30 s vo2 value was recorded as vo2peak. before each test, gas analyzers were\ncalibrated as per the manufa']",,,,,time,bin,30,mean,whole,FALSE,FALSE,TRUE,TRUE,
