done,doi_suffix,op-rr,human,english,eligible,gas_data,ext_ref,gas_analyzer,Data Processing Text,outlier_terms,outlier_text,outlier_function,outlier_limit,Notes
TRUE,biom11040504,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,,,
TRUE,sjweh.2914,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,
TRUE,sms.13404,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"VO2Peak1-leg (L·min-1) was taken as the highest value of 30 s rolling averages, which in all cases occurred during the final minute of exercise.",,,,,
TRUE,tjem.238.33,TRUE,TRUE,TRUE,TRUE,TRUE,,Douglas bag,VO2 was measured using expired air collected in Douglas bags. Expiredair for 3 minutes was collected four times in each experiment: at Rest1 (from 6 to 9 minutes) and during each pedaling session (last 3 min-utes). The metabolic equivalent (METs) was calculated using the fol-lowing equation: METs = V,,,,,
TRUE,srep44590,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Minute ventilation (VE) and gas exchange (oxygen consumption - VO2, carbon dioxide output- VCO2, respiratory exchange ratio - RER) were measured breath-by-breath with the Cortex Metamax 3B (CortexBiophysics GmbH, Germany). An incremental exercise test based on the Ellestad Protocol21 was conducted on amotorized treadmill (Life Fitness, Integrity Series, Germany) to determine peak oxygen uptake (VO2peak), minuteventilation (VE) and heart rate maximum (HRmax). The test was terminated when subjects reached volitionalfatigue and were not able to continue running. VO2peak and HRmax were taken as the highest 30s-average duringthe final minute of the test.",FALSE,FALSE,,,
TRUE,tad-2005-17207,TRUE,TRUE,TRUE,TRUE,TRUE,,Mixing chamber,"During the GHT, peak oxygen consumption(VO2peak) and expired ventilation (VE) were sampledevery 30 seconds using an automated gas analyzingsystem (Oxycon Delta, Jaeger, Hoechberg, Germany).",FALSE,FALSE,,,
TRUE,thx.35.9.680,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,
TRUE,systems2040425,TRUE,TRUE,TRUE,TRUE,FALSE,,,,FALSE,FALSE,,,
TRUE,s41746-021-00531-3,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,_VO2 data were filtered using a sliding 5-breath median filter to correctspurious outlier breaths,FALSE,FALSE,,,
TRUE,sports9070092,TRUE,TRUE,TRUE,TRUE,TRUE,,BBB,"Expired air was continuously analyzed (breath-by-breath) for O2 and CO2 concentrations,using the Metalyzer 3B-R2 (Cortex Biophysik GmbH, Leipzig, Germany). Thehighest 30 s VO2 value was recorded as VO2peak",FALSE,FALSE,,,
