Article,Eligible,Eligibility note,External ref,Gas data
biom11040504,e,NA,n,y
sjweh.2914,e,NA,n,n
sms.13404,e,NA,n,y
tjem.238.33,e,NA,n,y
srep44590,e,NA,n,y
tad-2005-17207,e,NA,n,y
thx.35.9.680,e,NA,n,y
systems2040425,e,NA,n,n
s41746-021-00531-3,e,NA,n,y
sports9070092,e,NA,n,y
srep42485,e,NA,n,y
tjem.233.135,e,NA,n,y
s13063-018-2823-0,e,NA,n,y
s1517-86922011000100008,e,NA,n,y
s13102-019-0140-x,e,NA,n,y
s40798-021-00363-1,e,NA,n,n
s41394-019-0223-7,e,NA,n,y
s41598-020-65770-y,e,NA,n,y
s41598-021-02072-x,e,NA,n,y
sjweh.2083,e,NA,n,y
s40064-016-2952-4,e,NA,n,y
s40279-019-01103-y,e,NA,n,n
s41467-019-10925-3,e,NA,n,n
s1517-86922008000400007,i,Language,NA,NA
s1517-86922009000200010,i,Language,NA,NA
s1517-86922010000400012,i,Language,NA,NA
s42000-020-00176-z,e,NA,n,y
sc.2017.34,e,NA,n,y
s10103-016-2011-y,e,NA,n,y
s12887-022-03257-7,e,NA,n,n
s41419-017-0256-4,e,NA,n,n
s41598-019-54912-6,e,NA,n,y
s41598-020-58492-8,e,NA,n,y
s004210100384,e,NA,n,y
s00421-017-3677-y,e,NA,NA,y
s00421-019-04275-7,e,NA,n,y
s00431-017-2948-2,e,NA,n,y
s00520-015-2993-1,e,NA,n,y
s0717-75182021000600893,i,Language,NA,NA
s10654-006-9038-5,e,NA,y,y
s12970-020-00369-2,e,NA,n,y
s12986-020-00497-1,e,NA,n,y
s004210050052,e,NA,n,y
s1047951109990928,e,NA,n,y
s0066-782x2012005000092,e,NA,n,n
s0100-879x2004000300019,e,NA,n,y
s00421-020-04390-w,e,NA,n,y
s00421-021-04769-3,e,NA,n,y
s00421-022-04898-3,e,NA,n,y
s00586-009-1002-0,e,NA,n,y
s10973-018-7067-4,e,NA,n,n
s11845-021-02861-3,e,NA,n,y
s12576-020-00750-5,e,NA,n,y
s12877-018-0993-y,e,NA,n,y
s-0033-1337905,e,NA,n,y
s0022-4707.20.10322-0,e,NA,n,y
s0034-98872019000300289,i,Language,NA,NA
s0100-879x2011007500073,e,NA,n,y
s00246-020-02359-2,e,NA,n,y
s00421-005-1350-3,e,NA,n,y
s00421-022-04928-0,e,NA,n,y
s10072-020-04965-7,e,NA,n,y
s11357-013-9596-x,e,NA,n,y
s11695-020-04944-z,e,NA,n,y
s12970-015-0106-7,e,NA,n,y
s0007114521002208,e,NA,n,y
nu8120755,e,NA,n,y
nu14091776,e,NA,n,y
oxfordjournals.eurheartj.a014942,e,NA,n,y
oxim.2.4.9415,e,NA,n,y
pbc.27113,e,NA,n,y
raq.12501,i,Non-human,NA,NA
resp.12162,e,NA,n,y
s-0035-1548810,e,NA,n,y
s00421-007-0519-3,e,NA,n,y
s00421-013-2741-5,e,NA,n,y
s00421-014-2883-0,e,NA,n,y
nu8080518,e,NA,n,y
nu13124391,e,NA,n,y
pc.2015.29,e,NA,n,y
pes.24.2.187,e,NA,n,n
phm.0000000000000108,e,NA,n,y
s00394-019-02101-6,e,NA,n,y
s00421-011-2129-3,e,NA,n,y
s00421-013-2767-8,e,NA,n,y
nu14010141,e,NA,n,y
oem.34.2.126,e,NA,n,y
oxfordjournals.eurheartj.a015352,e,NA,n,y
pes.2018-0141,i,Not OP-RR,NA,NA
physiolsci.rp011906,e,NA,n,y
ppul.21024,e,NA,n,y
psyp.12868,e,NA,n,y
s00360-012-0690-7,i,Non-human,NA,NA
s00421-006-0327-1,e,NA,n,y
s00421-016-3379-x,e,NA,n,y
journal.pone.0201598,e,NA,n,y
journal.pone.0208452,e,NA,n,y
journal.pone.0249504,e,NA,n,y
jrrd.2007.09.0153,e,NA,n,y
jsc.0000000000003470,e,NA,n,y
juoeh.8.11,i,Language,NA,NA
mss.0000000000000880,e,NA,n,y
mss.0000000000001429,e,NA,n,y
mss.0000000000002245,e,NA,n,y
journal.pone.0257549,e,NA,n,n
jpah.2014-0535,e,NA,n,y
jsc.0b013e3181876ad0,e,NA,n,n
jsc.0000000000001521,e,NA,n,y
mss.0000000000000568,e,NA,n,y
mss.0000000000001353,e,NA,n,y
nu12123911,e,NA,n,y
journal.pone.0210216,e,NA,n,y
journal.pone.0210275,e,NA,n,y
journal.pone.0210651,e,NA,n,y
journal.pone.0217491,e,NA,n,y
jsc.0b013e3181bc19b1,e,NA,n,y
mppa.2020.1007,e,NA,n,y
mss.0000000000000793,e,NA,n,y
mss.0000000000001151,e,NA,n,y
nu11061287,e,NA,n,y
nu11071642,e,NA,n,y
japplphysiol.00499.2018,e,NA,n,y
japplphysiol.00634.2013,e,NA,n,y
journal.pone.0049098,e,NA,n,n
journal.pone.0097534,e,NA,n,y
journal.pone.0235567,e,NA,n,y
jsc.0000000000001638,e,NA,n,y
nu10070815,e,NA,n,n
japplphysiol.00853.2006,e,NA,n,y
japplphysiol.01437.2012,e,NA,n,y
jb.184.3.746-753.2002,e,NA,n,n
jbc.m117.806786,i,Non-human,NA,NA
jcj.63.945,e,NA,n,n
jjphysiol.23.645,e,NA,n,y
joe-07-0625,i,Non-human,NA,n
journal.pone.0114729,e,NA,n,y
journal.pone.0139279,e,NA,n,y
journal.pone.0140616,e,NA,n,n
journal.pone.0140863,e,NA,n,y
journal.pone.0181228,e,NA,n,y
jappl.1996.81.2.738,e,NA,n,y
japplphysiol.00498.2015,e,NA,n,y
jc.2003-030632,e,NA,n,y
jc.2015-1339,e,NA,n,y
jci.insight.122247,i,Non-human,NA,NA
jci109443,e,NA,n,n
jme-16-0159,e,NA,n,n
jospt.1998.27.2.154,e,NA,n,y
japplphysiol.00767.2016,i,NA,NA,NA
japplphysiol.00864.2015,i,Not OP-RR,NA,NA
jci110399,e,NA,n,n
jomh.2021.111,e,NA,n,y
jospt.1994.19.3.140,e,NA,n,y
journal.pone.0108690,e,NA,n,y
journal.pone.0113541,i,NA,NA,NA
journal.pone.0125053,e,NA,n,y
journal.pone.0154135,e,NA,n,y
s1980-65742012000100011,i,NA,NA,NA
