doi_suffix,mc_db,mc_db_text
1099800416633836,False,False
000156862,False,False
02701367.2013.850919,False,False
s-0032-1331770,False,False
fnut.2021.718936,False,False
abc.20150148,False,False
s00421-022-04928-0,False,False
ajrccm.157.3.9703055,False,False
s0034-5687_._02_._00014-2,False,False
mss.0000000000001714,False,False
jsc.0b013e31820238c5,"['mixing chamber', 'douglas bag']","['measurement system (oxycon-pro) during low and high intensity exercise. int j sports med 22: 291–294, 2001. 28. rosdahl, h, gullstrand, l, salier-eriksson, j, johansson, p, and schantz, p. evaluation of the oxycon mobile metabolic system against the DOUGLAS BAG method. eur j appl physiol 2010;109: 159–171. 18. hansen, ea and sjogaard, g. relationship between efﬁciency and pedal rate in cycling: signiﬁcance of internal power and muscle ﬁber type composition. scand j med sci sports 17: 408–414, 2007. 29. smi', 'nd method error (me) were determined, and cv 2.5% and me 60.08 l\x01min21 were recorded. corresponding values on the reliability of load measurement during ergometry cycling was cv 3% and me 63 w. the system was also validated against measurements with DOUGLAS BAGs showing a cv of 3% for _vo2(8,14,27,28). results results of the tests are presented in tables 1 and 2. a correlation matrix for exercise capacity, ke and kf strength, and endurance and ﬁber-type composition is presented in table 3. there was a clos', ' flouris, ad, metsios, gs, and koutedakis, y. contribution of muscular strength in cardiorespiratory ﬁtness tests. j sports med phys fitness 46: 197–201, 2006. 14. foss, o and hallen, j. validity and stability of a computerized metabolic system with MIXING CHAMBER. int j sports med 26: 569– 575, 2005. 15. freedson, p, giliam, t, mahoney, t, mailszweski, a, and kastango, k. industrial torque levels by age group and gender. isokinet exerc sci 3: 34–42, 1993. volume 25 | number 1 | january 2011 | 21 copyright © ']"
japplphysiol.90357.2008,False,False
ijsnem.23.6.584,False,False
mss.0000000000002209,"['mixing-chamber', 'mixing chamber', 'douglas bag']","[' hanin. progressive statistics for studies in sports medicine and exercise science. med. sci. sport. exerc., 41(1):3–12, 2009. doi: 10.1249/mss.0b013e31818cb278. 3ø. foss and j. hall´en. validity and stability of a computerized metabolic system with MIXING CHAMBER. int. j. sports med., 26: 569–575, 2005. doi:10.1055/s-2004-821317.\n\x0c', 'cients were β0 = −0.14 ± 0.08 l·min−1 (p = 0.05) and β1 = 1.10 ± 0.02 (p < 0.0001). this implies a trivial additive bias, but a signiﬁcant proportional bias which leads to an underestimation of ˙v o2 by about 9 % in breath-by-breath mode compared to MIXING-CHAMBER mode. the standard error of the estimate was 0.11 l·min−1 and the coeﬃcient of determination r2 = 0.99. the results of all loads are shown in the scatter plot in figure 1. ˙v o2 measured using breathfig. 1 results from validation of by-breath mode (b×b) against MIXING CHAMBER mode (mix). black dots are from sub-maximal loads; gray dots are from the ˙v o2,peaktest; dotted line is the least squares linear regression line; full line is the line of identity. 2345623456\x0csupplemental digital content 1 iv. discussion and conclu', 'during this test exercise intensity was increased every minute in increments of 1 km·h−1 or 25 w for running or cycling, respectively. the protocol was repeated on two diﬀerent test days; one with the oxycon pro in breathby-breath mode, the other in MIXING CHAMBER mode. the ˙v o2 meaorder of the two test days was randomized. sured during the last 2 minutes of the sub-maximal loads and the last minute during the ˙v o2,peak protocol were included in the analysis, leading to 24 pairs of ˙v o2 measurements. the v', 'alidity of the breath-by-breath measurements ˙v o2 mix = β0 + β1 · ˙v o2 b×b, (1) ˙v o2 mix and ˙v o2 following the recommendations of hopkins et al. 2. in b×b are measurements usequation 1, ing MIXING CHAMBER mode and breath-by-breath mode, respectively, and β = [β0, β1] was determined from ordinary least squares regression. β1 represents a proportional bias and β0 an additive bias. the regression coef- ﬁcients were tested against the null hypothesis β =', 'ortant to note that rietjens et al. 1 observed an underestimation of ˙v o2 when ˙v o2 > 4 l·min−1, but concluded that this observation was not statistically signiﬁcant. in contrast, no such deviation was apparent when the analyzer was in MIXING CHAMBER mode3. another important note is that rietjens et al. 1 did a linear regression similar to the analysis presented in this study, although the regressor and predictor were interchanged compared to equation 1. rietjens et al. 1 found that db, (2) ˙v o2 b×b = 0.31114 + 0.8896 · ˙v o2 ˙v o2 db was measured with the DOUGLAS BAG where method. coeﬃcients comparable to β in this appendix can be obtained by rearranging equation 2. this re- 2 sults in β0 = −0.35 l·min−1 and β1 = 1.12, which agrees well with the ﬁndings of this appendix. consequently, when analyzed using alterna', 'lyzer (oxycon pro, erich jaeger gmbh, hoechberg, germany) we used in the current study has previously been assessed by rietjens et al. 1. they concluded that there were no systematic diﬀerences between the oxycon pro in breath-by-breath mode and the DOUGLAS BAG method for measurements of ˙v o2. however, this conclusion was based on statistical methods that were later questioned2 (note 13). consequently, the aim of the experiment presented here was to re-assess the validity of breath-by-breath measurements of oxygen consumption using the oxycon pro analyzer. as a criterion measurement the oxycon pro was used in MIXING CHAMBER mode. this measurement mode has previously been shown to be valid against the DOUGLAS BAG method3. ii. methods six participants were recruited amongst employees and students at the norwegian school of sport sciences. all participants completed 3 sub-maximal loads `a 5 minutes of treadmill running (n = 2) or ergometer cycling (n = 4). the', 'ing the ﬂow and composition of exhaled and inhaled gases. this requires time-aligned gas and ﬂow measurements, which can be challenging due to the gas sample’s transit time from the mouth to the analyzer. this timealignment is not required using the DOUGLAS BAG or MIXING CHAMBER methods because only the volume and contents of exhaled gas are measured. however, these methods are incapable of instantaneous (i.e. breath-by-breath) measurements of ˙v o2. for the purposes of the current study, ˙v o2 was a key point beinstantaneo', 'sion the ﬁndings of this experiment indicate a systematic diﬀerence between measurements in MIXING CHAMBER mode and breath-by-breath mode for the oxycon pro analyzer. however, previous studies that validated the analyzer in MIXING CHAMBER mode3 and breath-by-breath mode1 both concluded that the oxycon pro provided ˙v o2. consequently, the results valid measurements of of the two aforementioned studies and those presented here appear to be in conﬂict. to resolve this conﬂict it is imp']"
j.clnu.2015.07.010,False,False
dc07-2298,False,False
pep.0b013e318171faa1,False,False
s00421-009-0989-6,False,False
