doi,CR_status_code,full_text_SC,error
10.1139/apnm-2019-0187,200,200.0,
10.1139/apnm-2019-0560,200,200.0,
10.1139/apnm-2019-0405,200,200.0,
10.1139/apnm-2019-0230,200,200.0,
10.1139/apnm-2019-0037,200,200.0,
10.1139/cjpp-2019-0059,200,200.0,
10.1139/cjpp-2018-0742,200,200.0,
10.1139/apnm-2018-0623,200,200.0,
10.1139/apnm-2018-0698,200,200.0,
10.1139/apnm-2018-0596,200,200.0,
10.1139/apnm-2018-0427,200,200.0,
10.1139/apnm-2018-0373,200,200.0,
10.1139/apnm-2017-0777,200,200.0,
10.1139/cjpp-2018-0359,200,200.0,
10.1139/apnm-2017-0813,200,200.0,
10.1139/apnm-2017-0864,200,200.0,
10.1139/apnm-2017-0769,200,200.0,
10.1139/apnm-2017-0547,200,200.0,
10.1139/apnm-2017-0358,200,200.0,
10.1139/apnm-2017-0608,200,200.0,
10.1139/apnm-2017-0595,200,200.0,
10.1139/apnm-2017-0198,200,200.0,
10.1139/apnm-2016-0698,200,200.0,
10.1139/apnm-2016-0362,200,200.0,
10.1139/apnm-2016-0375,200,200.0,
10.1139/apnm-2016-0452,200,200.0,
10.1139/apnm-2016-0206,200,200.0,
10.1139/apnm-2015-0526,200,200.0,
10.1139/apnm-2015-0338,200,200.0,
10.1139/apnm-2015-0567,200,200.0,
10.1139/apnm-2015-0413,200,200.0,
10.1139/apnm-2015-0174,200,200.0,
10.1139/apnm-2015-0368,200,200.0,
10.1139/apnm-2015-0258,200,200.0,
10.1139/apnm-2015-0144,200,200.0,
10.1139/apnm-2014-0538,200,200.0,
10.1139/apnm-2015-0036,200,200.0,
10.1139/apnm-2015-0029,200,200.0,
10.1139/apnm-2014-0479,200,200.0,
10.1139/apnm-2015-0067,200,200.0,
10.1139/apnm-2014-0518,200,200.0,
10.1139/apnm-2014-0442,200,200.0,
10.1139/apnm-2014-0357,200,200.0,
10.1139/apnm-2014-0354,200,200.0,
10.1139/apnm-2014-0393,200,200.0,
10.1139/apnm-2014-0321,200,200.0,
10.1139/apnm-2014-0431,200,200.0,
10.1139/apnm-2014-0379,200,200.0,
10.1139/apnm-2014-0364,200,200.0,
10.1139/apnm-2014-0305,200,200.0,
10.1139/apnm-2014-0297,200,200.0,
10.1139/apnm-2014-0098,200,200.0,
10.1139/apnm-2014-0229,200,200.0,
10.1139/apnm-2014-0290,200,200.0,
10.1139/apnm-2014-0287,200,200.0,
10.1139/apnm-2014-0080,200,200.0,
10.1139/apnm-2014-0145,200,200.0,
10.1139/apnm-2014-0144,200,200.0,
10.1139/apnm-2014-0047,200,200.0,
10.1139/apnm-2013-0413,200,200.0,
10.1139/apnm-2013-0583,200,200.0,
10.1139/apnm-2013-0199,200,200.0,
10.1139/apnm-2013-0503,200,200.0,
10.1139/apnm-2013-0550,200,200.0,
10.1139/apnm-2013-0506,200,200.0,
10.1139/apnm-2013-0307,200,200.0,
10.1139/apnm-2013-0347,200,200.0,
10.1139/apnm-2013-0276,200,200.0,
