doi,CR_status_code,full_text_SC,error,doi_suffix,doi_url,title,genre,is_paratext,published_date,year,journal_name,journal_issns,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa,oa_status,has_repository_copy,best_oa_location,first_oa_location,oa_locations,oa_locations_embargoed,updated,data_standard,z_authors,best_oa_location.updated,best_oa_location.url,best_oa_location.url_for_pdf,best_oa_location.url_for_landing_page,best_oa_location.evidence,best_oa_location.license,best_oa_location.version,best_oa_location.host_type,best_oa_location.is_best,best_oa_location.pmh_id,best_oa_location.endpoint_id,best_oa_location.repository_institution,best_oa_location.oa_date,first_oa_location.updated,first_oa_location.url,first_oa_location.url_for_pdf,first_oa_location.url_for_landing_page,first_oa_location.evidence,first_oa_location.license,first_oa_location.version,first_oa_location.host_type,first_oa_location.is_best,first_oa_location.pmh_id,first_oa_location.endpoint_id,first_oa_location.repository_institution,first_oa_location.oa_date
10.1139/h2012-078,200,403.0,,h2012-078,https://doi.org/10.1139/h2012-078,Are H-reflex and M-wave recruitment curve parameters related to aerobic capacity?,journal-article,False,10/1/12,2012.0,"Applied Physiology, Nutrition, and Metabolism","1715-5312,1715-5320",1715-5312,False,False,Canadian Science Publishing,False,closed,False,,,[],[],2021-01-18T12:42:56.122309,2,"[{'given': 'Julien', 'family': 'Piscione', 'sequence': 'first', 'affiliation': [{'name': 'Université de Technologie de Compiègne, CNRS UMR 7338, Biomécanique et Bioingénierie, 60205 Compiègne CEDEX, France.'}]}, {'given': 'Jean-François', 'family': 'Grosset', 'sequence': 'additional', 'affiliation': [{'name': 'Université de Technologie de Compiègne, CNRS UMR 7338, Biomécanique et Bioingénierie, 60205 Compiègne CEDEX, France.'}, {'name': 'Université Paris 13, UFR Santé Médecine et Biologie Humaine, Bobigny, France.'}]}, {'given': 'Didier', 'family': 'Gamet', 'sequence': 'additional', 'affiliation': [{'name': 'Université de Technologie de Compiègne, CNRS UMR 7338, Biomécanique et Bioingénierie, 60205 Compiègne CEDEX, France.'}]}, {'given': 'Chantal', 'family': 'Pérot', 'sequence': 'additional', 'affiliation': [{'name': 'Université de Technologie de Compiègne, CNRS UMR 7338, Biomécanique et Bioingénierie, 60205 Compiègne CEDEX, France.'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1139/h2012-076,200,403.0,,h2012-076,https://doi.org/10.1139/h2012-076,Effects of 2 different prior endurance exercises on whole-body fat oxidation kinetics: light vs. heavy exercise,journal-article,False,10/1/12,2012.0,"Applied Physiology, Nutrition, and Metabolism","1715-5312,1715-5320",1715-5312,False,False,Canadian Science Publishing,False,closed,False,,,[],[],2021-01-16T07:21:36.179066,2,"[{'given': 'Xavier', 'family': 'Chenevière', 'sequence': 'first', 'affiliation': [{'name': 'Institute of Sport Sciences (ISSUL), Department of Physiology, Faculty of Biology and Medicine, University of Lausanne, Bâtiment de Vidy, 1015 Lausanne, Switzerland.'}]}, {'given': 'Fabio', 'family': 'Borrani', 'sequence': 'additional', 'affiliation': [{'name': 'Institute of Sport Sciences (ISSUL), Department of Physiology, Faculty of Biology and Medicine, University of Lausanne, Bâtiment de Vidy, 1015 Lausanne, Switzerland.'}, {'name': 'Department of Sport and Exercise Science, University of Auckland, Auckland 1142, New Zealand.'}]}, {'given': 'David', 'family': 'Droz', 'sequence': 'additional', 'affiliation': [{'name': 'Institute of Sport Sciences (ISSUL), Department of Physiology, Faculty of Biology and Medicine, University of Lausanne, Bâtiment de Vidy, 1015 Lausanne, Switzerland.'}]}, {'given': 'Boris', 'family': 'Gojanovic', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Locomotion, CHUV, Avenue Pierre Decker 4, 1011 Lausanne, Switzerland.'}]}, {'given': 'Davide', 'family': 'Malatesta', 'sequence': 'additional', 'affiliation': [{'name': 'Institute of Sport Sciences (ISSUL), Department of Physiology, Faculty of Biology and Medicine, University of Lausanne, Bâtiment de Vidy, 1015 Lausanne, Switzerland.'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1139/h2012-057,200,403.0,,h2012-057,https://doi.org/10.1139/h2012-057,"Estimated times to exhaustion and power outputs at the gas exchange threshold, physical working capacity at the rating of perceived exertion threshold, and respiratory compensation point",journal-article,False,10/1/12,2012.0,"Applied Physiology, Nutrition, and Metabolism","1715-5312,1715-5320",1715-5312,False,False,Canadian Science Publishing,False,closed,False,,,[],[],2021-01-17T06:42:57.021010,2,"[{'given': 'Haley C.', 'family': 'Bergstrom', 'sequence': 'first', 'affiliation': [{'name': 'Human Performance Laboratory, University of Nebraska-Lincoln, Department of Nutrition and Health Sciences, 110 Ruth Leverton Hall, Lincoln, NE 68583-0806, USA.'}]}, {'given': 'Terry J.', 'family': 'Housh', 'sequence': 'additional', 'affiliation': [{'name': 'Human Performance Laboratory, University of Nebraska-Lincoln, Department of Nutrition and Health Sciences, 110 Ruth Leverton Hall, Lincoln, NE 68583-0806, USA.'}]}, {'given': 'Jorge M.', 'family': 'Zuniga', 'sequence': 'additional', 'affiliation': [{'name': 'Western New Mexico University, School of Allied Health, Kinesiology Department Office 104, PO Box Silver City, NM\xa088062, USA.'}]}, {'given': 'Clayton L.', 'family': 'Camic', 'sequence': 'additional', 'affiliation': [{'name': 'University of Wisconsin-Platteville, Department of Health and Physical Education, 110 I Williams Fieldhouse, Platteville, WI\xa053818, USA.'}]}, {'given': 'Daniel A.', 'family': 'Traylor', 'sequence': 'additional', 'affiliation': [{'name': 'Human Performance Laboratory, University of Nebraska-Lincoln, Department of Nutrition and Health Sciences, 110 Ruth Leverton Hall, Lincoln, NE 68583-0806, USA.'}]}, {'given': 'Richard J.', 'family': 'Schmidt', 'sequence': 'additional', 'affiliation': [{'name': 'Human Performance Laboratory, University of Nebraska-Lincoln, Department of Nutrition and Health Sciences, 110 Ruth Leverton Hall, Lincoln, NE 68583-0806, USA.'}]}, {'given': 'Glen O.', 'family': 'Johnson', 'sequence': 'additional', 'affiliation': [{'name': 'Human Performance Laboratory, University of Nebraska-Lincoln, Department of Nutrition and Health Sciences, 110 Ruth Leverton Hall, Lincoln, NE 68583-0806, USA.'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1139/h2012-056,200,403.0,,h2012-056,https://doi.org/10.1139/h2012-056,Examination of the Moxus Modular Metabolic System by the Douglas-bag technique,journal-article,False,10/1/12,2012.0,"Applied Physiology, Nutrition, and Metabolism","1715-5312,1715-5320",1715-5312,False,False,Canadian Science Publishing,False,closed,False,,,[],[],2021-01-15T22:39:42.649307,2,"[{'given': 'Jon Ingulf', 'family': 'Medbø', 'sequence': 'first', 'affiliation': [{'name': 'National Institute of Occupational Health, Oslo, Norway.'}]}, {'given': 'Asgeir', 'family': 'Mamen', 'sequence': 'additional', 'affiliation': [{'name': 'Sogn og Fjordane University College, Faculty of Teacher Education and Sport, Sogndal, Norway.'}]}, {'given': 'Fernando G.', 'family': 'Beltrami', 'sequence': 'additional', 'affiliation': [{'name': 'Exercise Sciences and Sports Medicine Unit, University of Cape Town, Cape Town, South Africa.'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1139/h2012-053,200,403.0,,h2012-053,https://doi.org/10.1139/h2012-053,Body heat storage during intermittent work in hot–dry and warm–wet environments,journal-article,False,10/1/12,2012.0,"Applied Physiology, Nutrition, and Metabolism","1715-5312,1715-5320",1715-5312,False,False,Canadian Science Publishing,False,closed,False,,,[],[],2021-01-14T03:25:32.531470,2,"[{'given': 'Jill M.', 'family': 'Stapleton', 'sequence': 'first', 'affiliation': [{'name': 'University of Ottawa, Faculty of Health Sciences, Human and Environmental Physiology Research Unit, 125 University Private, Montpetit Hall, Ottawa, ON K1N\xa06N5, Canada.'}]}, {'given': 'Heather E.', 'family': 'Wright', 'sequence': 'additional', 'affiliation': [{'name': 'University of Ottawa, Faculty of Health Sciences, Human and Environmental Physiology Research Unit, 125 University Private, Montpetit Hall, Ottawa, ON K1N\xa06N5, Canada.'}]}, {'given': 'Stephen G.', 'family': 'Hardcastle', 'sequence': 'additional', 'affiliation': [{'name': 'CANMET-MMSL Natural Resources Canada, 1079 Kelly Lake Rd., Sudbury, ON P3E\xa05P5, Canada.'}]}, {'given': 'Glen P.', 'family': 'Kenny', 'sequence': 'additional', 'affiliation': [{'name': 'University of Ottawa, Faculty of Health Sciences, Human and Environmental Physiology Research Unit, 125 University Private, Montpetit Hall, Ottawa, ON K1N\xa06N5, Canada.'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1139/h2012-048,200,403.0,,h2012-048,https://doi.org/10.1139/h2012-048,Effects of acute hypoxia on the oxygen uptake kinetics of older adults during cycling exercise,journal-article,False,8/1/12,2012.0,"Applied Physiology, Nutrition, and Metabolism","1715-5312,1715-5320",1715-5312,False,False,Canadian Science Publishing,False,closed,False,,,[],[],2021-01-17T03:46:36.286532,2,"[{'given': 'Livio', 'family': 'Zerbini', 'sequence': 'first', 'affiliation': [{'name': 'CeRiSM, Centre of Sport Health and Mountain Via Matteo del Ben, 5/b, University of Verona, 38068 Rovereto, Italy.'}, {'name': 'Faculty of Exercise and Sport Science, University of Verona, Italy.'}]}, {'given': 'Alfredo', 'family': 'Brighenti', 'sequence': 'additional', 'affiliation': [{'name': 'CeRiSM, Centre of Sport Health and Mountain Via Matteo del Ben, 5/b, University of Verona, 38068 Rovereto, Italy.'}, {'name': 'Faculty of Exercise and Sport Science, University of Verona, Italy.'}]}, {'given': 'Barbara', 'family': 'Pellegrini', 'sequence': 'additional', 'affiliation': [{'name': 'CeRiSM, Centre of Sport Health and Mountain Via Matteo del Ben, 5/b, University of Verona, 38068 Rovereto, Italy.'}, {'name': 'Faculty of Exercise and Sport Science, University of Verona, Italy.'}]}, {'given': 'Lorenzo', 'family': 'Bortolan', 'sequence': 'additional', 'affiliation': [{'name': 'CeRiSM, Centre of Sport Health and Mountain Via Matteo del Ben, 5/b, University of Verona, 38068 Rovereto, Italy.'}, {'name': 'Faculty of Exercise and Sport Science, University of Verona, Italy.'}]}, {'given': 'Tommaso', 'family': 'Antonetti', 'sequence': 'additional', 'affiliation': [{'name': 'CeRiSM, Centre of Sport Health and Mountain Via Matteo del Ben, 5/b, University of Verona, 38068 Rovereto, Italy.'}, {'name': 'Faculty of Exercise and Sport Science, University of Verona, Italy.'}]}, {'given': 'Federico', 'family': 'Schena', 'sequence': 'additional', 'affiliation': [{'name': 'CeRiSM, Centre of Sport Health and Mountain Via Matteo del Ben, 5/b, University of Verona, 38068 Rovereto, Italy.'}, {'name': 'Faculty of Exercise and Sport Science, University of Verona, Italy.'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1139/h2012-047,200,403.0,,h2012-047,https://doi.org/10.1139/h2012-047,Effect of aerobic training status on both maximal lactate steady state and critical power,journal-article,False,8/1/12,2012.0,"Applied Physiology, Nutrition, and Metabolism","1715-5312,1715-5320",1715-5312,False,False,Canadian Science Publishing,False,closed,False,,,[],[],2021-01-14T17:44:42.520158,2,"[{'given': 'Camila Coelho', 'family': 'Greco', 'sequence': 'first', 'affiliation': [{'name': 'Human Performance Laboratory, UNESP, Av. 24A, 1515, Bela Vista, CEP\xa013506-900 Rio Claro, SP\xa0– Brazil.'}]}, {'given': 'Renato Aparecido Corrêa', 'family': 'Caritá', 'sequence': 'additional', 'affiliation': [{'name': 'Human Performance Laboratory, UNESP, Av. 24A, 1515, Bela Vista, CEP\xa013506-900 Rio Claro, SP\xa0– Brazil.'}]}, {'given': 'Jeanne', 'family': 'Dekerle', 'sequence': 'additional', 'affiliation': [{'name': 'Chelsea School Research Centre, University of Brighton, Eastbourne, United Kingdom.'}]}, {'given': 'Benedito Sérgio', 'family': 'Denadai', 'sequence': 'additional', 'affiliation': [{'name': 'Human Performance Laboratory, UNESP, Av. 24A, 1515, Bela Vista, CEP\xa013506-900 Rio Claro, SP\xa0– Brazil.'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1139/h2012-044,200,403.0,,h2012-044,https://doi.org/10.1139/h2012-044,"Relationship between physical activity, physical performance, and iron status in adult women",journal-article,False,8/1/12,2012.0,"Applied Physiology, Nutrition, and Metabolism","1715-5312,1715-5320",1715-5312,False,False,Canadian Science Publishing,False,closed,False,,,[],[],2021-01-14T21:30:36.025876,2,"[{'given': 'Scott E.', 'family': 'Crouter', 'sequence': 'first', 'affiliation': [{'name': 'Cornell University, Division of Nutritional Sciences, Ithaca, NY\xa014853, USA'}]}, {'given': 'Diane M.', 'family': 'DellaValle', 'sequence': 'additional', 'affiliation': [{'name': 'Cornell University, USDA/ARS, Robert W. Holley Center for Agriculture and Health, Ithaca, NY\xa014853, USA.'}]}, {'given': 'Jere D.', 'family': 'Haas', 'sequence': 'additional', 'affiliation': [{'name': 'Cornell University, Division of Nutritional Sciences, 220 Savage Hall, Ithaca, NY\xa014853, USA.'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1139/h2012-028,200,403.0,,h2012-028,https://doi.org/10.1139/h2012-028,A scientific nutrition strategy improves time trial performance by ≈6% when compared with a self-chosen nutrition strategy in trained cyclists: a randomized cross-over study,journal-article,False,8/1/12,2012.0,"Applied Physiology, Nutrition, and Metabolism","1715-5312,1715-5320",1715-5312,False,False,Canadian Science Publishing,False,closed,False,,,[],[],2021-01-18T21:08:11.011721,2,"[{'given': 'Kuno', 'family': 'Hottenrott', 'sequence': 'first', 'affiliation': [{'name': 'Department of Sport Science, Martin-Luther University Halle-Wittenberg, Von-Seckendorff-Platz 2, 06120\xa0Halle (Saale), Germany.'}, {'name': 'Institute of performance diagnostics and health promotion, Martin-Luther University Halle-Wittenberg, Weinbergweg 23, 06120\xa0Halle (Saale), Germany.'}]}, {'given': 'Erik', 'family': 'Hass', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Sport Science, Martin-Luther University Halle-Wittenberg, Von-Seckendorff-Platz 2, 06120\xa0Halle (Saale), Germany.'}]}, {'given': 'Manon', 'family': 'Kraus', 'sequence': 'additional', 'affiliation': [{'name': 'Institute of performance diagnostics and health promotion, Martin-Luther University Halle-Wittenberg, Weinbergweg 23, 06120\xa0Halle (Saale), Germany.'}]}, {'given': 'Georg', 'family': 'Neumann', 'sequence': 'additional', 'affiliation': [{'name': 'Institute of performance diagnostics and health promotion, Martin-Luther University Halle-Wittenberg, Weinbergweg 23, 06120\xa0Halle (Saale), Germany.'}]}, {'given': 'Martin', 'family': 'Steiner', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Sport Science, Martin-Luther University Halle-Wittenberg, Von-Seckendorff-Platz 2, 06120\xa0Halle (Saale), Germany.'}]}, {'given': 'Beat', 'family': 'Knechtle', 'sequence': 'additional', 'affiliation': [{'name': 'Institute of General Practice and Health Services Research, University of Zurich, Zurich, Switzerland.'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1139/h2012-036,200,403.0,,h2012-036,https://doi.org/10.1139/h2012-036,Training effects on peripheral muscle oxygenation and performance in children with congenital heart diseases,journal-article,False,8/1/12,2012.0,"Applied Physiology, Nutrition, and Metabolism","1715-5312,1715-5320",1715-5312,False,False,Canadian Science Publishing,False,closed,False,,,[],[],2021-01-19T06:01:20.885178,2,"[{'given': 'Wassim', 'family': 'Moalla', 'sequence': 'first', 'affiliation': [{'name': 'EA 3300\xa0– APS et Conduites Motrices: Adaptations et Réadaptations, Facultés des Sciences du Sport, Université de Picardie, Amiens, France.'}, {'name': 'Laboratoire de Physiologie et d’Exploration Fonctionnelle, Faculté Ibn Jazzar, Université de Sousse, Tunisie.'}, {'name': 'UR EM2S: Institut Supérieur de Sport et d’Education Physique Sfax, Sfax, Tunisie.'}]}, {'given': 'Mohamed', 'family': 'Elloumi', 'sequence': 'additional', 'affiliation': [{'name': 'Laboratoire de Physiologie et d’Exploration Fonctionnelle, Faculté Ibn Jazzar, Université de Sousse, Tunisie.'}]}, {'given': 'Karim', 'family': 'Chamari', 'sequence': 'additional', 'affiliation': [{'name': 'Centre National de Médecine et des Sciences du Sport, Laboratoire optimisation de la performance sportive, Tunis.'}]}, {'given': 'Grégory', 'family': 'Dupont', 'sequence': 'additional', 'affiliation': [{'name': 'EA 3608\xa0– Laboratoire d’Études de la Motricité Humaine, Faculté des Sciences du Sport et de l’Education Physique, Université de Lille 2, France.'}]}, {'given': 'Yves', 'family': 'Maingourd', 'sequence': 'additional', 'affiliation': [{'name': 'Service d’Explorations Cardio-pulmonaires Pédiatriques, CHU Nord, Amiens, France.'}]}, {'given': 'Zouhair', 'family': 'Tabka', 'sequence': 'additional', 'affiliation': [{'name': 'Laboratoire de Physiologie et d’Exploration Fonctionnelle, Faculté Ibn Jazzar, Université de Sousse, Tunisie.'}]}, {'given': 'Said', 'family': 'Ahmaidi', 'sequence': 'additional', 'affiliation': [{'name': 'EA 3300\xa0– APS et Conduites Motrices: Adaptations et Réadaptations, Facultés des Sciences du Sport, Université de Picardie, Amiens, France.'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
