doi,publisher_status_code,error,doi_suffix,doi_url,title,genre,is_paratext,published_date,year,journal_name,journal_issns,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa,oa_status,has_repository_copy,best_oa_location,first_oa_location,oa_locations,oa_locations_embargoed,updated,data_standard,z_authors,best_oa_location.updated,best_oa_location.url,best_oa_location.url_for_pdf,best_oa_location.url_for_landing_page,best_oa_location.evidence,best_oa_location.license,best_oa_location.version,best_oa_location.host_type,best_oa_location.is_best,best_oa_location.pmh_id,best_oa_location.endpoint_id,best_oa_location.repository_institution,best_oa_location.oa_date,first_oa_location.updated,first_oa_location.url,first_oa_location.url_for_pdf,first_oa_location.url_for_landing_page,first_oa_location.evidence,first_oa_location.license,first_oa_location.version,first_oa_location.host_type,first_oa_location.is_best,first_oa_location.pmh_id,first_oa_location.endpoint_id,first_oa_location.repository_institution,first_oa_location.oa_date
10.1080/17461391.2022.2065928,404,,17461391.2022.2065928,https://doi.org/10.1080/17461391.2022.2065928,Physiological Effects of Exercising at Different Intensities Wearing Surgical or Double-layer Cotton Facemasks Compared to Not Wearing a Mask,journal-article,False,4/14/22,2022.0,European Journal of Sport Science,"1746-1391,1536-7290",1536-7290,False,False,Informa UK Limited,False,closed,False,,,[],[],2022-04-14T21:10:38.202498,2,"[{'ORCID': 'http://orcid.org/0000-0002-7062-1705', 'given': 'Fabrício', 'family': 'Braga', 'sequence': 'first', 'affiliation': [{'name': 'Human Performance Laboratory; Rio de Janeiro; Brazil'}, {'name': 'Casa de Saúde São José; Rio de Janeiro; Brazil'}], 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0003-3739-5096', 'given': 'Gabriel', 'family': 'Espinosa', 'sequence': 'additional', 'affiliation': [{'name': 'Human Performance Laboratory; Rio de Janeiro; Brazil'}], 'authenticated-orcid': False}, {'given': 'Amanda', 'family': 'Monteiro', 'sequence': 'additional', 'affiliation': [{'name': 'Human Performance Laboratory; Rio de Janeiro; Brazil'}]}, {'ORCID': 'http://orcid.org/0000-0002-7696-4530', 'given': 'Beatriz', 'family': 'Marinho', 'sequence': 'additional', 'affiliation': [{'name': 'Human Performance Laboratory; Rio de Janeiro; Brazil'}], 'authenticated-orcid': False}, {'given': 'Eduardo', 'family': 'Drummond', 'sequence': 'additional', 'affiliation': [{'name': 'Human Performance Laboratory; Rio de Janeiro; Brazil'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1080/02701367.2022.2060926,404,,02701367.2022.2060926,https://doi.org/10.1080/02701367.2022.2060926,Plasma α-Actin as an Early Marker of Muscle Damage After Repeated Bouts of Eccentric Cycling,journal-article,False,5/6/22,2022.0,Research Quarterly for Exercise and Sport,"0270-1367,2168-3824",0270-1367,False,False,Informa UK Limited,False,closed,False,,,[],[],2022-05-06T21:01:57.880076,2,"[{'ORCID': 'http://orcid.org/0000-0001-9619-592X', 'given': 'Sebastian', 'family': 'Jannas-Vela', 'sequence': 'first', 'affiliation': [{'name': 'Universidad Finis Terrae'}, {'name': 'Universidad de O’Higgins'}], 'authenticated-orcid': False}, {'given': 'Alvaro', 'family': 'Bustamante', 'sequence': 'additional', 'affiliation': [{'name': 'Universidad Finis Terrae'}]}, {'given': 'Hermann', 'family': 'Zbinden-Foncea', 'sequence': 'additional', 'affiliation': [{'name': 'Universidad Finis Terrae'}]}, {'ORCID': 'http://orcid.org/0000-0001-7697-9700', 'given': 'Luis', 'family': 'Peñailillo', 'sequence': 'additional', 'affiliation': [{'name': 'Universidad Andres Bello'}], 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.23736/s0022-4707.21.12196-6,404,,s0022-4707.21.12196-6,https://doi.org/10.23736/s0022-4707.21.12196-6,Consequences of police-related personal protective equipment and physical training status on thermoregulation and exercise energy expenditure,journal-article,False,2/1/21,2021.0,The Journal of Sports Medicine and Physical Fitness,1827-1928,0022-4707,False,False,Edizioni Minerva Medica,False,closed,False,,,[],[],2022-01-20T21:05:53.529799,2,"[{'given': 'Lukas', 'family': 'Zwingmann', 'sequence': 'first'}, {'given': 'Tim', 'family': 'Below', 'sequence': 'additional'}, {'given': 'Hans', 'family': 'Braun', 'sequence': 'additional'}, {'given': 'Patrick', 'family': 'Wahl', 'sequence': 'additional'}, {'given': 'Jan-Peter', 'family': 'Goldmann', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.3233/jad-215522,404,,jad-215522,https://doi.org/10.3233/jad-215522,"Cerebrovascular Function, Vascular Risk, and Lifestyle Patterns in Resistant Hypertension",journal-article,False,3/11/22,2022.0,Journal of Alzheimer's Disease,"1387-2877,1875-8908",1387-2877,False,False,IOS Press,False,closed,False,,,[],[],2022-03-11T21:14:04.859513,2,"[{'given': 'Patrick J.', 'family': 'Smith', 'sequence': 'first', 'affiliation': [{'name': 'Department of Psychiatry and Behavioral Sciences, Duke University Medical Center, Durham, NC, USA'}]}, {'given': 'Andrew', 'family': 'Sherwood', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Psychiatry and Behavioral Sciences, Duke University Medical Center, Durham, NC, USA'}]}, {'given': 'Alan L.', 'family': 'Hinderliter', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Medicine, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA'}]}, {'given': 'Stephanie', 'family': 'Mabe', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Psychiatry and Behavioral Sciences, Duke University Medical Center, Durham, NC, USA'}]}, {'given': 'Crystal', 'family': 'Tyson', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Psychiatry and Behavioral Sciences, Duke University Medical Center, Durham, NC, USA'}]}, {'given': 'Forgive', 'family': 'Avorgbedor', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Psychiatry and Behavioral Sciences, Duke University Medical Center, Durham, NC, USA'}]}, {'given': 'Lana L.', 'family': 'Watkins', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Psychiatry and Behavioral Sciences, Duke University Medical Center, Durham, NC, USA'}]}, {'given': 'Pao-Hwa', 'family': 'Lin', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Medicine and Duke Molecular Physiology Institute, Duke University School of Medicine, Durham, NC, USA'}]}, {'given': 'William E.', 'family': 'Kraus', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Medicine and Duke Molecular Physiology Institute, Duke University School of Medicine, Durham, NC, USA'}]}, {'given': 'James A.', 'family': 'Blumenthal', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Psychiatry and Behavioral Sciences, Duke University Medical Center, Durham, NC, USA'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.5414/cn110556,404,,cn110556,https://doi.org/10.5414/cn110556,Six-minute walk test distance does not reflect oxygen uptake in patients undergoing maintenance hemodialysis,journal-article,False,1/24/22,2022.0,Clinical Nephrology,0301-0430,0301-0430,False,False,Dustri-Verlgag Dr. Karl Feistle,False,closed,False,,,[],[],2022-01-24T21:01:21.601198,2,"[{'given': 'Jiajia', 'family': 'Sun', 'sequence': 'first'}, {'given': 'Qinjuan', 'family': 'Xu', 'sequence': 'additional'}, {'given': 'Qing', 'family': 'Zhang', 'sequence': 'additional'}, {'given': 'Huagang', 'family': 'Hu', 'sequence': 'additional'}, {'given': 'Li', 'family': 'Wang', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1080/17461391.2021.1880644,404,,17461391.2021.1880644,https://doi.org/10.1080/17461391.2021.1880644,"Carbohydrate supplementation during a simulated 10-km open water swimming race: effects on physiological, perceptual parameters and performance.",journal-article,False,2/21/21,2021.0,European Journal of Sport Science,"1746-1391,1536-7290",1536-7290,False,False,Informa UK Limited,False,closed,False,,,[],[],2021-02-24T17:13:36.740009,2,"[{'given': 'Roberto', 'family': 'Baldassarre', 'sequence': 'first', 'affiliation': [{'name': 'Italian Swimming Federation, Rome, Italy'}]}, {'ORCID': 'http://orcid.org/0000-0001-6201-7535', 'given': 'Cristian', 'family': 'Ieno', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Movement, Human and Health Sciences, University of Rome Foro Italico, Rome, Italy'}], 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0001-6937-9109', 'given': 'Marco', 'family': 'Bonifazi', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Medicine, Surgery and Neuroscience, University of Siena, Siena, Italy'}, {'name': 'Italian Swimming Federation, Rome, Italy'}], 'authenticated-orcid': False}, {'given': 'Andrea', 'family': 'Di Castro', 'sequence': 'additional', 'affiliation': [{'name': 'Sport Science Institute, Italian National Olympic Committee, Rome, Italy'}]}, {'given': 'Antonio', 'family': 'Gianfelici', 'sequence': 'additional', 'affiliation': [{'name': 'Sport Science Institute, Italian National Olympic Committee, Rome, Italy'}]}, {'ORCID': 'http://orcid.org/0000-0002-1927-7478', 'given': 'Maria Francesca', 'family': 'Piacentini', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Movement, Human and Health Sciences, University of Rome Foro Italico, Rome, Italy'}], 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1089/neu.2021.0071,404,,neu.2021.0071,https://doi.org/10.1089/neu.2021.0071,Exercise improves cardiorespiratory fitness but not arterial health after spinal cord injury: The CHOICES trial,journal-article,False,7/27/21,2021.0,Journal of Neurotrauma,"0897-7151,1557-9042",0897-7151,False,False,Mary Ann Liebert Inc,False,closed,False,,,[],[],2021-07-27T21:02:10.571229,2,"[{'given': 'Abdullah A', 'family': 'Alrashidi', 'sequence': 'first', 'affiliation': [{'name': 'The University of British Columbia International Collaboration on Repair Discoveries, 507272, Vancouver, British Columbia, Canada'}, {'name': 'The University of British Columbia Faculty of Medicine, 12358, Experimental Medicine , Vancouver, British Columbia, Canada'}, {'name': 'King Fahad Medical City, 37849, Physical Therapy, Riyadh, Riyadh, Saudi Arabia;'}]}, {'given': 'Tom E.', 'family': 'Nightingale', 'sequence': 'additional', 'affiliation': [{'name': 'University of Birmingham, 1724, School of Sport, Exercise and Rehabilitation Sciences, Birmingham, Birmingham, United Kingdom of Great Britain and Northern Ireland'}, {'name': 'The University of British Columbia International Collaboration on Repair Discoveries, 507272, Vancouver, British Columbia, Canada;'}]}, {'given': 'Katharine D.', 'family': 'Currie', 'sequence': 'additional', 'affiliation': [{'name': 'Michigan State University, 3078, Department of Kinesiology, East Lansing, Michigan, United States'}, {'name': 'The University of British Columbia International Collaboration on Repair Discoveries, 507272, Vancouver, British Columbia, Canada;'}]}, {'given': 'Michèle', 'family': 'Hubli', 'sequence': 'additional', 'affiliation': [{'name': 'Balgrist University Hospital, 31031, Spinal Cord Injury Center, Zurich, Switzerland'}, {'name': 'The University of British Columbia International Collaboration on Repair Discoveries, 507272, Vancouver, British Columbia, Canada;'}]}, {'given': 'Maureen J', 'family': 'MacDonald', 'sequence': 'additional', 'affiliation': [{'name': 'McMaster University Department of Kinesiology, 152967, Kinesiology, Hamilton, Ontario, Canada, ;'}]}, {'given': 'Audrey', 'family': 'Hicks', 'sequence': 'additional', 'affiliation': [{'name': 'McMaster University, 3710, Department of Kinesiology, Hamilton, Ontario, Canada;'}]}, {'given': 'Paul', 'family': 'Oh', 'sequence': 'additional', 'affiliation': [{'name': 'University of Toronto, 7938, Department of Medicine University Health Network, Division of Physical Medicine and Rehabilitation, Toronto, Ontario, Canada;'}]}, {'given': 'B. Catharine', 'family': 'Craven', 'sequence': 'additional', 'affiliation': [{'name': 'University of Toronto, 7938, Department of Medicine University Health Network, Division of Physical Medicine and Rehabilitation, Toronto, Ontario, Canada;'}]}, {'given': 'Andrei V', 'family': 'Krassioukov', 'sequence': 'additional', 'affiliation': [{'name': 'The University of British Columbia International Collaboration on Repair Discoveries, 507272, Vancouver, British Columbia, Canada'}, {'name': 'The University of British Columbia Faculty of Medicine, 12358, Experimental Medicine, Vancouver, British Columbia, Canada'}, {'name': 'The University of British Columbia Faculty of Medicine, 12358, Division of Physical Medicine and Rehabilitation, Vancouver, British Columbia, Canada'}, {'name': 'Vancouver Coastal Health Authority, 25469, GF strong Rehabilitation Center, Vancouver, British Columbia, Canada;'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1080/02640414.2021.1955515,404,,02640414.2021.1955515,https://doi.org/10.1080/02640414.2021.1955515,What is known about the FTP20 test related to cycling? A scoping review,journal-article,False,7/26/21,2021.0,Journal of Sports Sciences,"0264-0414,1466-447X",0264-0414,False,False,Informa UK Limited,False,closed,False,,,[],[],2021-07-26T21:03:59.866955,2,"[{'given': 'Jon', 'family': 'Mackey', 'sequence': 'first', 'affiliation': [{'name': 'School of Public Health, Physiotherapy and Sport Science and Institute for Sport and Health, University College Dublin, Dublin, Ireland'}]}, {'ORCID': 'http://orcid.org/0000-0002-5046-3658', 'given': 'Katy', 'family': 'Horner', 'sequence': 'additional', 'affiliation': [{'name': 'School of Public Health, Physiotherapy and Sport Science and Institute for Sport and Health, University College Dublin, Dublin, Ireland'}], 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1093/ptj/pzab129,404,,ptj/pzab129,https://doi.org/10.1093/ptj/pzab129,Effects of Physical Therapist Intervention on Pulmonary Function in Children With Cerebral Palsy: A Systematic Review and Meta-Analysis,journal-article,False,5/13/21,2021.0,Physical Therapy,"0031-9023,1538-6724",0031-9023,False,False,Oxford University Press (OUP),False,closed,False,,,[],[],2021-10-31T23:03:39.781292,2,"[{'given': 'Magdalena', 'family': 'Rutka', 'sequence': 'first', 'affiliation': [{'name': 'Musculoskeletal Elastography and Ultrasonography Laboratory, Institute of Physiotherapy and Health Sciences, The Jerzy Kukuczka Academy of Physical Education in Katowice, Poland'}]}, {'given': 'Waclaw M', 'family': 'Adamczyk', 'sequence': 'additional', 'affiliation': [{'name': 'Laboratory of Pain Research, Institute of Physiotherapy and Health Sciences, The Jerzy Kukuczka Academy of Physical Education in Katowice, Poland'}, {'name': 'Department of Physiotherapy, Institute of Health Sciences, Pain and Exercise, Research Luebeck (P.E.R.L.), University of Luebeck, Luebeck,Germany'}]}, {'given': 'Paweł', 'family': 'Linek', 'sequence': 'additional', 'affiliation': [{'name': 'Musculoskeletal Elastography and Ultrasonography Laboratory, Institute of Physiotherapy and Health Sciences, The Jerzy Kukuczka Academy of Physical Education in Katowice, Poland'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.23736/s0022-4707.20.11526-3,404,,s0022-4707.20.11526-3,https://doi.org/10.23736/s0022-4707.20.11526-3,"The impact of low-intensity blood flow restriction endurance training on aerobic capacity, hemodynamics, and arterial stiffness",journal-article,False,7/1/21,2021.0,The Journal of Sports Medicine and Physical Fitness,"0022-4707,1827-1928",0022-4707,False,False,Edizioni Minerva Medica,False,closed,False,,,[],[],2021-07-23T21:03:13.373120,2,"[{'given': 'Murat', 'family': 'KARABULUT', 'sequence': 'first'}, {'given': 'Brittany', 'family': 'ESPARZA', 'sequence': 'additional'}, {'given': 'Imtiaz M.', 'family': 'DOWLLAH', 'sequence': 'additional'}, {'given': 'Ulku', 'family': 'KARABULUT', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
