doi,doi_url,title,genre,is_paratext,published_date,year,journal_name,journal_issns,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa,oa_status,has_repository_copy,best_oa_location,first_oa_location,oa_locations,oa_locations_embargoed,updated,data_standard,z_authors,best_oa_location.updated,best_oa_location.url,best_oa_location.url_for_pdf,best_oa_location.url_for_landing_page,best_oa_location.evidence,best_oa_location.license,best_oa_location.version,best_oa_location.host_type,best_oa_location.is_best,best_oa_location.pmh_id,best_oa_location.endpoint_id,best_oa_location.repository_institution,best_oa_location.oa_date,first_oa_location.updated,first_oa_location.url,first_oa_location.url_for_pdf,first_oa_location.url_for_landing_page,first_oa_location.evidence,first_oa_location.license,first_oa_location.version,first_oa_location.host_type,first_oa_location.is_best,first_oa_location.pmh_id,first_oa_location.endpoint_id,first_oa_location.repository_institution,first_oa_location.oa_date,publisher_status_code
10.1016/j.exger.2022.111826,https://doi.org/10.1016/j.exger.2022.111826,Transient speeding of V̇O2 kinetics following acute sessions of sprint interval training: Similar exercise dose but different outcomes in older and young adults,journal-article,FALSE,4/1/22,2022,Experimental Gerontology,0531-5565,0531-5565,FALSE,FALSE,Elsevier BV,FALSE,closed,FALSE,,,[],[],2022-04-30T21:00:59.305344,2,"[{'given': 'Danilo', 'family': 'Iannetta', 'sequence': 'first'}, {'given': 'Erin Calaine', 'family': 'Inglis', 'sequence': 'additional'}, {'given': 'Felipe Mattioni', 'family': 'Maturana', 'sequence': 'additional'}, {'given': 'Giorgia', 'family': 'Spigolon', 'sequence': 'additional'}, {'given': 'Silvia', 'family': 'Pogliaghi', 'sequence': 'additional'}, {'given': 'Juan M.', 'family': 'Murias', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200
10.1016/j.vph.2022.106978,https://doi.org/10.1016/j.vph.2022.106978,Exercise-induced pulmonary hypertension in HFpEF and HFrEF: Different pathophysiologic mechanism behind similar functional impairment,journal-article,FALSE,3/1/22,2022,Vascular Pharmacology,1537-1891,1537-1891,FALSE,FALSE,Elsevier BV,FALSE,closed,FALSE,,,[],[],2022-03-15T21:05:37.437896,2,"[{'given': 'Nicola Riccardo', 'family': 'Pugliese', 'sequence': 'first'}, {'given': 'Matteo', 'family': 'Mazzola', 'sequence': 'additional'}, {'given': 'Rosalinda', 'family': 'Madonna', 'sequence': 'additional'}, {'given': 'Luna', 'family': 'Gargani', 'sequence': 'additional'}, {'given': 'Nicolò', 'family': 'De Biase', 'sequence': 'additional'}, {'given': 'Frank L.', 'family': 'Dini', 'sequence': 'additional'}, {'given': 'Stefano', 'family': 'Taddei', 'sequence': 'additional'}, {'given': 'Raffale', 'family': 'De Caterina', 'sequence': 'additional'}, {'given': 'Stefano', 'family': 'Masi', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,400
10.1016/j.yebeh.2021.108335,https://doi.org/10.1016/j.yebeh.2021.108335,Randomized controlled trial of moderate cardiovascular exercise for patients with drug-resistant epilepsy,journal-article,FALSE,11/1/21,2021,Epilepsy & Behavior,1525-5050,1525-5050,FALSE,FALSE,Elsevier BV,FALSE,closed,FALSE,,,[],[],2021-10-01T21:06:18.194997,2,"[{'ORCID': 'http://orcid.org/0000-0002-0265-5268', 'given': 'Sara', 'family': 'Åkerlund', 'sequence': 'first', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-1035-2734', 'given': 'Emma', 'family': 'Varkey', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'Judith', 'family': 'Klecki', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0001-9445-4545', 'given': 'Johan', 'family': 'Zelano', 'sequence': 'additional', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0001-5864-9185', 'given': 'Elinor', 'family': 'Ben-Menachem', 'sequence': 'additional', 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,400
10.1016/j.humov.2017.08.020,https://doi.org/10.1016/j.humov.2017.08.020,Kinetic analysis of oxygen dynamics under a variable work rate,journal-article,FALSE,8/1/19,2019,Human Movement Science,0167-9457,0167-9457,FALSE,FALSE,Elsevier BV,FALSE,closed,FALSE,,,[],[],2021-01-19T03:15:47.270577,2,"[{'given': 'Alexander', 'family': 'Artiga Gonzalez', 'sequence': 'first'}, {'given': 'Raphael', 'family': 'Bertschinger', 'sequence': 'additional'}, {'given': 'Fabian', 'family': 'Brosda', 'sequence': 'additional'}, {'given': 'Thorsten', 'family': 'Dahmen', 'sequence': 'additional'}, {'given': 'Patrick', 'family': 'Thumm', 'sequence': 'additional'}, {'given': 'Dietmar', 'family': 'Saupe', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,400
10.1016/j.rmed.2022.106856,https://doi.org/10.1016/j.rmed.2022.106856,Prognostic value of key variables from cardiopulmonary exercise testing in patients with COPD: 42-month follow-up,journal-article,FALSE,4/1/22,2022,Respiratory Medicine,0954-6111,0954-6111,FALSE,FALSE,Elsevier BV,FALSE,closed,FALSE,,,[],"[{'updated': '2022-05-23T23:41:15.476515', 'url': 'https://doi.org/10.1016/j.rmed.2022.106856', 'url_for_pdf': None, 'url_for_landing_page': 'https://doi.org/10.1016/j.rmed.2022.106856', 'evidence': 'embargoed (via journal policy)', 'license': None, 'version': 'publishedVersion', 'host_type': 'publisher', 'is_best': False, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': '2024-03-31'}]",2022-04-20T21:03:18.796295,2,"[{'given': 'Cássia', 'family': 'da Luz Goulart', 'sequence': 'first'}, {'given': 'Murilo Rezende', 'family': 'Oliveira', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0002-3892-8440', 'given': 'Francisco Alburquerque', 'family': 'Sendín', 'sequence': 'additional', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0003-4683-2657', 'given': 'Renata Gonçalves', 'family': 'Mendes', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'Ross', 'family': 'Arena', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0002-0502-3047', 'given': 'Audrey', 'family': 'Borghi-Silva', 'sequence': 'additional', 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200
10.1016/j.jstrokecerebrovasdis.2022.106397,https://doi.org/10.1016/j.jstrokecerebrovasdis.2022.106397,Metabolic Energy Expenditure and Accelerometer-Determined Physical Activity Levels in Post-Stroke Hemiparetic Patients,journal-article,FALSE,5/1/22,2022,Journal of Stroke and Cerebrovascular Diseases,1052-3057,1052-3057,FALSE,FALSE,Elsevier BV,FALSE,closed,FALSE,,,[],[],2022-02-25T21:02:53.138833,2,"[{'given': 'Garance', 'family': 'Fonte', 'sequence': 'first'}, {'given': 'Céline', 'family': 'Schreiber', 'sequence': 'additional'}, {'given': 'Gilles', 'family': 'Areno', 'sequence': 'additional'}, {'given': 'Xavier', 'family': 'Masson', 'sequence': 'additional'}, {'given': 'Frédéric', 'family': 'Chantraine', 'sequence': 'additional'}, {'given': 'Gaston', 'family': 'Schütz', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0003-2061-0968', 'given': 'Frédéric', 'family': 'Dierick', 'sequence': 'additional', 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200
10.1016/j.jvsv.2021.12.006,https://doi.org/10.1016/j.jvsv.2021.12.006,Oxygen Uptake Kinetics during Exercise Reveal Central and Peripheral Limitation in Patients with Ilio-Femoral Venous Obstruction,journal-article,FALSE,12/1/21,2021,Journal of Vascular Surgery: Venous and Lymphatic Disorders,2213-333X,2213-333X,FALSE,FALSE,Elsevier BV,FALSE,closed,FALSE,,,[],[],2021-12-24T21:00:54.214242,2,"[{'ORCID': 'http://orcid.org/0000-0003-0810-3680', 'given': 'Ronen', 'family': 'Reuveny', 'sequence': 'first', 'authenticated-orcid': False}, {'given': 'Jacob', 'family': 'Luboshitz', 'sequence': 'additional'}, {'given': 'Daryl', 'family': 'Wilkerson', 'sequence': 'additional'}, {'given': 'Avner', 'family': 'Bar-Dayan', 'sequence': 'additional'}, {'given': 'Fred J.', 'family': 'DiMenna', 'sequence': 'additional'}, {'given': 'Andrew M.', 'family': 'Jones', 'sequence': 'additional'}, {'given': 'Michael J.', 'family': 'Segel', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,400
10.1016/j.amjcard.2022.01.060,https://doi.org/10.1016/j.amjcard.2022.01.060,Effect of Leisure Sports on Exercise Capacity and Quality of Life in Patients with a Fontan Circulation,journal-article,FALSE,3/1/22,2022,The American Journal of Cardiology,0002-9149,0002-9149,FALSE,FALSE,Elsevier BV,FALSE,closed,FALSE,,,[],[],2022-03-09T21:05:21.010338,2,"[{'given': 'Arne', 'family': 'Niemann', 'sequence': 'first'}, {'given': 'Katy', 'family': 'Rinne', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0003-1575-2865', 'given': 'Jan Hinnerk', 'family': 'Hansen', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'Jens', 'family': 'Scheewe', 'sequence': 'additional'}, {'given': 'Anselm', 'family': 'Uebing', 'sequence': 'additional'}, {'given': 'Inga', 'family': 'Voges', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200
10.1016/j.jbmt.2021.09.018,https://doi.org/10.1016/j.jbmt.2021.09.018,Cardiorespiratory and metabolic demand of the 6-minute pegboard and ring test in healthy young adults,journal-article,FALSE,10/1/21,2021,Journal of Bodywork and Movement Therapies,1360-8592,1360-8592,FALSE,FALSE,Elsevier BV,FALSE,closed,FALSE,,,[],[],2021-10-12T16:55:02.810528,2,"[{'given': 'Alenice Aliane', 'family': 'Fonseca', 'sequence': 'first'}, {'given': 'Pedro Henrique', 'family': 'Scheidt Figueiredo', 'sequence': 'additional'}, {'given': 'Henrique Silveira', 'family': 'Costa', 'sequence': 'additional'}, {'given': 'Lana Thais', 'family': 'Costa Mota', 'sequence': 'additional'}, {'given': 'Franciele', 'family': 'Ângelo de Deus', 'sequence': 'additional'}, {'given': 'Renato Fleury', 'family': 'Cardoso', 'sequence': 'additional'}, {'given': 'Sueli', 'family': 'Ferreira da Fonseca', 'sequence': 'additional'}, {'given': 'Tânia', 'family': 'Janaudis-Ferreira', 'sequence': 'additional'}, {'given': 'Ana Cristina', 'family': 'Rodrigues Lacerda', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0002-0349-3248', 'given': 'Vanessa Pereira', 'family': 'Lima', 'sequence': 'additional', 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,400
10.1016/j.exger.2022.111758,https://doi.org/10.1016/j.exger.2022.111758,Cardioprotective effects of exercise preconditioning on ischemia-reperfusion injury and ventricular ectopy in young and senescent rats,journal-article,FALSE,6/1/22,2022,Experimental Gerontology,0531-5565,0531-5565,FALSE,FALSE,Elsevier BV,FALSE,closed,FALSE,,,[],[],2022-03-03T21:03:27.714469,2,"[{'ORCID': 'http://orcid.org/0000-0003-3133-0160', 'given': 'Adnan', 'family': 'Fatahi', 'sequence': 'first', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0003-0896-6304', 'given': 'Ebrahim', 'family': 'Zarrinkalam', 'sequence': 'additional', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-5963-2323', 'given': 'Kamal', 'family': 'Azizbeigi', 'sequence': 'additional', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0001-9462-6407', 'given': 'Kamal', 'family': 'Ranjbar', 'sequence': 'additional', 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200
