doi,publisher_status_code,error,doi_suffix,doi_url,title,genre,is_paratext,published_date,year,journal_name,journal_issns,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa,oa_status,has_repository_copy,best_oa_location,first_oa_location,oa_locations,oa_locations_embargoed,updated,data_standard,z_authors,best_oa_location.updated,best_oa_location.url,best_oa_location.url_for_pdf,best_oa_location.url_for_landing_page,best_oa_location.evidence,best_oa_location.license,best_oa_location.version,best_oa_location.host_type,best_oa_location.is_best,best_oa_location.pmh_id,best_oa_location.endpoint_id,best_oa_location.repository_institution,best_oa_location.oa_date,first_oa_location.updated,first_oa_location.url,first_oa_location.url_for_pdf,first_oa_location.url_for_landing_page,first_oa_location.evidence,first_oa_location.license,first_oa_location.version,first_oa_location.host_type,first_oa_location.is_best,first_oa_location.pmh_id,first_oa_location.endpoint_id,first_oa_location.repository_institution,first_oa_location.oa_date
10.1016/j.vph.2022.106978,400,,j.vph.2022.106978,https://doi.org/10.1016/j.vph.2022.106978,Exercise-induced pulmonary hypertension in HFpEF and HFrEF: Different pathophysiologic mechanism behind similar functional impairment,journal-article,False,3/1/22,2022.0,Vascular Pharmacology,1537-1891,1537-1891,False,False,Elsevier BV,False,closed,False,,,[],[],2022-03-15T21:05:37.437896,2,"[{'given': 'Nicola Riccardo', 'family': 'Pugliese', 'sequence': 'first'}, {'given': 'Matteo', 'family': 'Mazzola', 'sequence': 'additional'}, {'given': 'Rosalinda', 'family': 'Madonna', 'sequence': 'additional'}, {'given': 'Luna', 'family': 'Gargani', 'sequence': 'additional'}, {'given': 'Nicolò', 'family': 'De Biase', 'sequence': 'additional'}, {'given': 'Frank L.', 'family': 'Dini', 'sequence': 'additional'}, {'given': 'Stefano', 'family': 'Taddei', 'sequence': 'additional'}, {'given': 'Raffale', 'family': 'De Caterina', 'sequence': 'additional'}, {'given': 'Stefano', 'family': 'Masi', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.yebeh.2021.108335,400,,j.yebeh.2021.108335,https://doi.org/10.1016/j.yebeh.2021.108335,Randomized controlled trial of moderate cardiovascular exercise for patients with drug-resistant epilepsy,journal-article,False,11/1/21,2021.0,Epilepsy & Behavior,1525-5050,1525-5050,False,False,Elsevier BV,False,closed,False,,,[],[],2021-10-01T21:06:18.194997,2,"[{'ORCID': 'http://orcid.org/0000-0002-0265-5268', 'given': 'Sara', 'family': 'Åkerlund', 'sequence': 'first', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-1035-2734', 'given': 'Emma', 'family': 'Varkey', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'Judith', 'family': 'Klecki', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0001-9445-4545', 'given': 'Johan', 'family': 'Zelano', 'sequence': 'additional', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0001-5864-9185', 'given': 'Elinor', 'family': 'Ben-Menachem', 'sequence': 'additional', 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.humov.2017.08.020,400,,j.humov.2017.08.020,https://doi.org/10.1016/j.humov.2017.08.020,Kinetic analysis of oxygen dynamics under a variable work rate,journal-article,False,8/1/19,2019.0,Human Movement Science,0167-9457,0167-9457,False,False,Elsevier BV,False,closed,False,,,[],[],2021-01-19T03:15:47.270577,2,"[{'given': 'Alexander', 'family': 'Artiga Gonzalez', 'sequence': 'first'}, {'given': 'Raphael', 'family': 'Bertschinger', 'sequence': 'additional'}, {'given': 'Fabian', 'family': 'Brosda', 'sequence': 'additional'}, {'given': 'Thorsten', 'family': 'Dahmen', 'sequence': 'additional'}, {'given': 'Patrick', 'family': 'Thumm', 'sequence': 'additional'}, {'given': 'Dietmar', 'family': 'Saupe', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.jvsv.2021.12.006,400,,j.jvsv.2021.12.006,https://doi.org/10.1016/j.jvsv.2021.12.006,Oxygen Uptake Kinetics during Exercise Reveal Central and Peripheral Limitation in Patients with Ilio-Femoral Venous Obstruction,journal-article,False,12/1/21,2021.0,Journal of Vascular Surgery: Venous and Lymphatic Disorders,2213-333X,2213-333X,False,False,Elsevier BV,False,closed,False,,,[],[],2021-12-24T21:00:54.214242,2,"[{'ORCID': 'http://orcid.org/0000-0003-0810-3680', 'given': 'Ronen', 'family': 'Reuveny', 'sequence': 'first', 'authenticated-orcid': False}, {'given': 'Jacob', 'family': 'Luboshitz', 'sequence': 'additional'}, {'given': 'Daryl', 'family': 'Wilkerson', 'sequence': 'additional'}, {'given': 'Avner', 'family': 'Bar-Dayan', 'sequence': 'additional'}, {'given': 'Fred J.', 'family': 'DiMenna', 'sequence': 'additional'}, {'given': 'Andrew M.', 'family': 'Jones', 'sequence': 'additional'}, {'given': 'Michael J.', 'family': 'Segel', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.jbmt.2021.09.018,400,,j.jbmt.2021.09.018,https://doi.org/10.1016/j.jbmt.2021.09.018,Cardiorespiratory and metabolic demand of the 6-minute pegboard and ring test in healthy young adults,journal-article,False,10/1/21,2021.0,Journal of Bodywork and Movement Therapies,1360-8592,1360-8592,False,False,Elsevier BV,False,closed,False,,,[],[],2021-10-12T16:55:02.810528,2,"[{'given': 'Alenice Aliane', 'family': 'Fonseca', 'sequence': 'first'}, {'given': 'Pedro Henrique', 'family': 'Scheidt Figueiredo', 'sequence': 'additional'}, {'given': 'Henrique Silveira', 'family': 'Costa', 'sequence': 'additional'}, {'given': 'Lana Thais', 'family': 'Costa Mota', 'sequence': 'additional'}, {'given': 'Franciele', 'family': 'Ângelo de Deus', 'sequence': 'additional'}, {'given': 'Renato Fleury', 'family': 'Cardoso', 'sequence': 'additional'}, {'given': 'Sueli', 'family': 'Ferreira da Fonseca', 'sequence': 'additional'}, {'given': 'Tânia', 'family': 'Janaudis-Ferreira', 'sequence': 'additional'}, {'given': 'Ana Cristina', 'family': 'Rodrigues Lacerda', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0002-0349-3248', 'given': 'Vanessa Pereira', 'family': 'Lima', 'sequence': 'additional', 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.cbpa.2021.111117,400,,j.cbpa.2021.111117,https://doi.org/10.1016/j.cbpa.2021.111117,A novel hyperbaric swimming respirometer allows the simulation of varying swimming depths in fish respirometry studies,journal-article,False,11/1/21,2021.0,Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,1095-6433,1095-6433,False,False,Elsevier BV,False,closed,False,,,[],[],2021-11-15T21:00:54.775467,2,"[{'given': 'Klaus', 'family': 'Wysujack', 'sequence': 'first'}, {'given': 'Lasse', 'family': 'Marohn', 'sequence': 'additional'}, {'given': 'Constantin', 'family': 'Lindemann', 'sequence': 'additional'}, {'given': 'Björn', 'family': 'Illing', 'sequence': 'additional'}, {'given': 'Marko', 'family': 'Freese', 'sequence': 'additional'}, {'given': 'Jan-Dag', 'family': 'Pohlmann', 'sequence': 'additional'}, {'given': 'Stefan', 'family': 'Reiser', 'sequence': 'additional'}, {'given': 'Paul Vincent', 'family': 'Debes', 'sequence': 'additional'}, {'given': 'Laura', 'family': 'Meskendahl', 'sequence': 'additional'}, {'given': 'Bernd', 'family': 'Pelster', 'sequence': 'additional'}, {'given': 'Reinhold', 'family': 'Hanel', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.apergo.2022.103710,400,,j.apergo.2022.103710,https://doi.org/10.1016/j.apergo.2022.103710,Cardiorespiratory responses of load carriage in female and male soldiers,journal-article,False,5/1/22,2022.0,Applied Ergonomics,0003-6870,0003-6870,False,False,Elsevier BV,False,closed,False,,,[],[],2022-02-22T21:03:18.796375,2,"[{'ORCID': 'http://orcid.org/0000-0003-0613-4096', 'given': 'Jonas', 'family': 'Larsson', 'sequence': 'first', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0001-9991-3712', 'given': 'Magnus', 'family': 'Dencker', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'Ann', 'family': 'Bremander', 'sequence': 'additional'}, {'given': 'M. Charlotte', 'family': 'Olsson', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.msard.2021.103476,400,,j.msard.2021.103476,https://doi.org/10.1016/j.msard.2021.103476,The aerobic capacity – fatigue relationship in persons with Multiple Sclerosis is not reproducible in a pooled analysis of two randomized controlled trials.,journal-article,False,12/1/21,2021.0,Multiple Sclerosis and Related Disorders,2211-0348,2211-0348,False,False,Elsevier BV,False,closed,False,,,[],[],2021-12-27T21:01:28.687165,2,"[{'given': 'Florian', 'family': 'Wolf', 'sequence': 'first'}, {'given': 'Annette', 'family': 'Rademacher', 'sequence': 'additional'}, {'given': 'Niklas', 'family': 'Joisten', 'sequence': 'additional'}, {'given': 'Sebastian', 'family': 'Proschinger', 'sequence': 'additional'}, {'given': 'Marit Lea', 'family': 'Schlagheck', 'sequence': 'additional'}, {'given': 'Wilhelm', 'family': 'Bloch', 'sequence': 'additional'}, {'given': 'Roman', 'family': 'Gonzenbach', 'sequence': 'additional'}, {'given': 'Jan', 'family': 'Kool', 'sequence': 'additional'}, {'given': 'Jens', 'family': 'Bansi', 'sequence': 'additional'}, {'given': 'Philipp', 'family': 'Zimmer', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.resp.2021.103812,400,,j.resp.2021.103812,https://doi.org/10.1016/j.resp.2021.103812,Relationship between respiratory muscle endurance and dyspnea during high-intensity exercise in trained distance runners,journal-article,False,2/1/22,2022.0,Respiratory Physiology & Neurobiology,1569-9048,1569-9048,False,False,Elsevier BV,False,closed,False,,,[],[],2021-11-04T21:02:51.621424,2,"[{'ORCID': 'http://orcid.org/0000-0001-5866-8247', 'given': 'Sahiro', 'family': 'Mizuno', 'sequence': 'first', 'authenticated-orcid': False}, {'given': 'Yasuhiro', 'family': 'Suzuki', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0002-9911-3229', 'given': 'Kazushige', 'family': 'Goto', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'Kenji', 'family': 'Takao', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0001-5022-2005', 'given': 'Daichi', 'family': 'Sumi', 'sequence': 'additional', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-5630-7138', 'given': 'Koji', 'family': 'Ishida', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'Fumihiro', 'family': 'Mizuno', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0001-7245-3496', 'given': 'Keisho', 'family': 'Katayama', 'sequence': 'additional', 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.cbpa.2021.111077,400,,j.cbpa.2021.111077,https://doi.org/10.1016/j.cbpa.2021.111077,Sustained swimming exercise training decreases the individual variation in the metabolic phenotype of gilthead sea bream (Sparus aurata),journal-article,False,12/1/21,2021.0,Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,1095-6433,1095-6433,False,False,Elsevier BV,False,closed,False,,,[],[],2021-10-10T00:13:24.958725,2,"[{'given': 'Xiaoming', 'family': 'Yu', 'sequence': 'first'}, {'given': 'Rodrigo O.A.', 'family': 'Ozorio', 'sequence': 'additional'}, {'given': 'LeonardoJ.', 'family': 'Magnoni', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
