doi_suffix,doi,doi_url,title,genre,is_paratext,published_date,year,journal_name,journal_issns,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa,oa_status,has_repository_copy,best_oa_location,first_oa_location,oa_locations,oa_locations_embargoed,updated,data_standard,z_authors,best_oa_location.updated,best_oa_location.url,best_oa_location.url_for_pdf,best_oa_location.url_for_landing_page,best_oa_location.evidence,best_oa_location.license,best_oa_location.version,best_oa_location.host_type,best_oa_location.is_best,best_oa_location.pmh_id,best_oa_location.endpoint_id,best_oa_location.repository_institution,best_oa_location.oa_date,first_oa_location.updated,first_oa_location.url,first_oa_location.url_for_pdf,first_oa_location.url_for_landing_page,first_oa_location.evidence,first_oa_location.license,first_oa_location.version,first_oa_location.host_type,first_oa_location.is_best,first_oa_location.pmh_id,first_oa_location.endpoint_id,first_oa_location.repository_institution,first_oa_location.oa_date
neu.2021.0459,10.1089/neu.2021.0459,https://doi.org/10.1089/neu.2021.0459,Hybrid Functional Electrical Stimulation improves anaerobic threshold in first three years following spinal cord injury,journal-article,False,3/1/22,2022.0,Journal of Neurotrauma,"0897-7151,1557-9042",0897-7151,False,False,Mary Ann Liebert Inc,False,closed,False,,,[],[],2022-03-04T21:08:32.998357,2,"[{'given': 'Grant', 'family': 'Schleifer', 'sequence': 'first', 'affiliation': [{'name': 'Harvard Medical School, 1811, 107 Ave Louis Pasteur, Boston, Massachusetts, United States, 02115;'}]}, {'given': 'Ryan', 'family': 'Solinsky', 'sequence': 'additional', 'affiliation': [{'name': 'Spaulding Rehabilitation Hospital, Physical Medicine and Rehabilitation, Cambridge, United States;'}]}, {'given': 'Jason W.', 'family': 'Hamner', 'sequence': 'additional', 'affiliation': [{'name': 'Spaulding Rehabilitation Hospital, Physical Medicine and Rehabilitation, Cambridge, Massachusetts, United States;'}]}, {'given': 'Glen', 'family': 'Picard', 'sequence': 'additional', 'affiliation': [{'name': 'Spaulding Rehabilitation Hospital, 24498, Cardiovascular Research Laboratory, Cambridge, Massachusetts, United States, ;'}]}, {'given': 'Andrew', 'family': 'Taylor', 'sequence': 'additional', 'affiliation': [{'name': 'Spaulding Rehabilitation Hospital, 24498, Physical Medicine and Rehabilitation , Cambridge, United States;'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
s1047951121004613,10.1017/s1047951121004613,https://doi.org/10.1017/s1047951121004613,Open field stress testing: finally an optimal method in young children? Reference values for mobile cardiopulmonary exercise testing in healthy children aged 4–8 years,journal-article,False,12/10/21,2021.0,Cardiology in the Young,"1047-9511,1467-1107",1047-9511,False,False,Cambridge University Press (CUP),False,closed,False,,,[],[],2021-12-10T21:03:32.932603,2,"[{'ORCID': 'http://orcid.org/0000-0002-2080-268X', 'given': 'Philipp', 'family': 'Kalden', 'sequence': 'first', 'authenticated-orcid': False}, {'given': 'Isabelle', 'family': 'Schoeffl', 'sequence': 'additional'}, {'given': 'Kathrin', 'family': 'Rottermann', 'sequence': 'additional'}, {'given': 'Florian', 'family': 'Loeffelbein', 'sequence': 'additional'}, {'given': 'Anna', 'family': 'Michaelis', 'sequence': 'additional'}, {'given': 'Franziska', 'family': 'Markel', 'sequence': 'additional'}, {'given': 'Susann', 'family': 'Brosig', 'sequence': 'additional'}, {'given': 'Roman Antonin', 'family': 'Gebauer', 'sequence': 'additional'}, {'given': 'Ingo', 'family': 'Daehnert', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0001-9676-8994', 'given': 'Christian', 'family': 'Paech', 'sequence': 'additional', 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
thc-213220,10.3233/thc-213220,https://doi.org/10.3233/thc-213220,"Metabolic, ventilatory and cardiovascular responses to FES-cycling: A comparison to NMES and passive cycling",journal-article,False,10/29/21,2021.0,Technology and Health Care,"0928-7329,1878-7401",0928-7329,False,False,IOS Press,False,closed,False,,,[],[],2021-11-04T21:06:47.069627,2,"[{'given': 'Murillo', 'family': 'Frazão', 'sequence': 'first', 'affiliation': [{'name': 'Lauro Wanderley Hospital, Federal University of Paraíba, João Pessoa, PB, Brazil'}, {'name': 'CLINAR Exercise Physiology, João Pessoa, PB, Brazil'}]}, {'given': 'Luis Augusto', 'family': 'Werlang', 'sequence': 'additional', 'affiliation': [{'name': 'INBRAMED Brazilian Medical Equipment Industry, Porto Alegre, RS, Brazil'}]}, {'given': 'Cássio', 'family': 'Azevedo', 'sequence': 'additional', 'affiliation': [{'name': 'INBRAMED Brazilian Medical Equipment Industry, Porto Alegre, RS, Brazil'}]}, {'given': 'Adelar', 'family': 'Kunz', 'sequence': 'additional', 'affiliation': [{'name': 'INBRAMED Brazilian Medical Equipment Industry, Porto Alegre, RS, Brazil'}]}, {'given': 'Maikel', 'family': 'Peltz', 'sequence': 'additional', 'affiliation': [{'name': 'INBRAMED Brazilian Medical Equipment Industry, Porto Alegre, RS, Brazil'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
bmjmilitary-2021-001875,10.1136/bmjmilitary-2021-001875,https://doi.org/10.1136/bmjmilitary-2021-001875,Procedure for assessing patients referred to the UK’s military Heat Illness Clinic: a case series,journal-article,False,7/15/21,2021.0,BMJ Military Health,"2633-3767,2633-3775",2633-3767,False,False,BMJ,False,closed,False,,,[],[],2021-07-15T21:01:39.728209,2,"[{'given': 'Carol', 'family': 'House', 'sequence': 'first'}, {'given': 'M', 'family': 'Stacey', 'sequence': 'additional'}, {'given': 'D', 'family': 'Woods', 'sequence': 'additional'}, {'given': 'A', 'family': 'Allsopp', 'sequence': 'additional'}, {'given': 'D', 'family': 'Roiz de Sa', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
jnd-210765,10.3233/jnd-210765,https://doi.org/10.3233/jnd-210765,Motor Unit and Capillary Recruitment During Fatiguing Arm-Cycling Exercise in Spinal Muscular Atrophy Types 3 and 4,journal-article,False,4/19/22,2022.0,Journal of Neuromuscular Diseases,"2214-3599,2214-3602",2214-3599,False,False,IOS Press,False,closed,False,,,[],[],2022-04-19T21:09:29.554298,2,"[{'given': 'Laura E.', 'family': 'Habets', 'sequence': 'first', 'affiliation': [{'name': 'Center for Child Development, Exercise and Physical Literacy, Wilhelmina Children’s Hospital, University Medical Center Utrecht, AB Utrecht, The Netherlands'}]}, {'given': 'Bart', 'family': 'Bartels', 'sequence': 'additional', 'affiliation': [{'name': 'Center for Child Development, Exercise and Physical Literacy, Wilhelmina Children’s Hospital, University Medical Center Utrecht, AB Utrecht, The Netherlands'}]}, {'given': 'Fay-Lynn', 'family': 'Asselman', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Neurology and Neurosurgery, UMC Utrecht Brain Center, University Medical Center Utrecht Brain Center, Utrecht University, GA Utrecht, The Netherlands'}]}, {'given': 'Erik H.J.', 'family': 'Hulzebos', 'sequence': 'additional', 'affiliation': [{'name': 'Center for Child Development, Exercise and Physical Literacy, Wilhelmina Children’s Hospital, University Medical Center Utrecht, AB Utrecht, The Netherlands'}]}, {'given': 'Dick F.', 'family': 'Stegeman', 'sequence': 'additional', 'affiliation': [{'name': 'Faculty of Behavioral and Movement Sciences, Vrije Universiteit Amsterdam, Van der Boechorststraat 7, 1081 BT Amsterdam, The Netherlands'}]}, {'given': 'Jeroen A.L.', 'family': 'Jeneson', 'sequence': 'additional', 'affiliation': [{'name': 'Center for Child Development, Exercise and Physical Literacy, Wilhelmina Children’s Hospital, University Medical Center Utrecht, AB Utrecht, The Netherlands'}]}, {'given': 'W. Ludo', 'family': 'van der Pol', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Neurology and Neurosurgery, UMC Utrecht Brain Center, University Medical Center Utrecht Brain Center, Utrecht University, GA Utrecht, The Netherlands'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
jad-215522,10.3233/jad-215522,https://doi.org/10.3233/jad-215522,"Cerebrovascular Function, Vascular Risk, and Lifestyle Patterns in Resistant Hypertension",journal-article,False,3/11/22,2022.0,Journal of Alzheimer's Disease,"1387-2877,1875-8908",1387-2877,False,False,IOS Press,False,closed,False,,,[],[],2022-03-11T21:14:04.859513,2,"[{'given': 'Patrick J.', 'family': 'Smith', 'sequence': 'first', 'affiliation': [{'name': 'Department of Psychiatry and Behavioral Sciences, Duke University Medical Center, Durham, NC, USA'}]}, {'given': 'Andrew', 'family': 'Sherwood', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Psychiatry and Behavioral Sciences, Duke University Medical Center, Durham, NC, USA'}]}, {'given': 'Alan L.', 'family': 'Hinderliter', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Medicine, University of North Carolina at Chapel Hill, Chapel Hill, NC, USA'}]}, {'given': 'Stephanie', 'family': 'Mabe', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Psychiatry and Behavioral Sciences, Duke University Medical Center, Durham, NC, USA'}]}, {'given': 'Crystal', 'family': 'Tyson', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Psychiatry and Behavioral Sciences, Duke University Medical Center, Durham, NC, USA'}]}, {'given': 'Forgive', 'family': 'Avorgbedor', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Psychiatry and Behavioral Sciences, Duke University Medical Center, Durham, NC, USA'}]}, {'given': 'Lana L.', 'family': 'Watkins', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Psychiatry and Behavioral Sciences, Duke University Medical Center, Durham, NC, USA'}]}, {'given': 'Pao-Hwa', 'family': 'Lin', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Medicine and Duke Molecular Physiology Institute, Duke University School of Medicine, Durham, NC, USA'}]}, {'given': 'William E.', 'family': 'Kraus', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Medicine and Duke Molecular Physiology Institute, Duke University School of Medicine, Durham, NC, USA'}]}, {'given': 'James A.', 'family': 'Blumenthal', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Psychiatry and Behavioral Sciences, Duke University Medical Center, Durham, NC, USA'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
wor-205289,10.3233/wor-205289,https://doi.org/10.3233/wor-205289,Cardiorespiratory fitness in police recruits: Assessing the validity of the 20-meter shuttle run test for recruitment purposes,journal-article,False,3/3/22,2022.0,Work,"1051-9815,1875-9270",1051-9815,False,False,IOS Press,False,closed,False,,,[],[],2022-03-04T21:02:07.011580,2,"[{'given': 'Sébastien', 'family': 'Poirier', 'sequence': 'first', 'affiliation': [{'name': 'Université du Québec à Trois-Rivières, Département des Sciences de l’activité physique, Trois-Rivières, QC, Canada'}, {'name': 'École Nationale de Police du Québec, Centre de recherche et de développement stratégique, Nicolet, QC, Canada'}]}, {'given': 'Annie', 'family': 'Gendron', 'sequence': 'additional', 'affiliation': [{'name': 'École Nationale de Police du Québec, Centre de recherche et de développement stratégique, Nicolet, QC, Canada'}]}, {'given': 'François', 'family': 'Trudeau', 'sequence': 'additional', 'affiliation': [{'name': 'Université du Québec à Trois-Rivières, Département des Sciences de l’activité physique, Trois-Rivières, QC, Canada'}]}, {'given': 'Claude', 'family': 'Lajoie', 'sequence': 'additional', 'affiliation': [{'name': 'Université du Québec à Trois-Rivières, Département des Sciences de l’activité physique, Trois-Rivières, QC, Canada'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
ijspp.2020-0630,10.1123/ijspp.2020-0630,https://doi.org/10.1123/ijspp.2020-0630,Intensified Training Supersedes the Impact of Heat and/or Altitude for Increasing Performance in Elite Rugby Union Players,journal-article,False,1/1/20,2020.0,International Journal of Sports Physiology and Performance,"1555-0265,1555-0273",1555-0265,False,False,Human Kinetics,True,green,True,,,"[{'updated': '2022-04-04T22:07:49.537946', 'url': 'https://unisa.alma.exlibrisgroup.com/view/delivery/61USOUTHAUS_INST/12242262210001831', 'url_for_pdf': None, 'url_for_landing_page': 'https://unisa.alma.exlibrisgroup.com/view/delivery/61USOUTHAUS_INST/12242262210001831', 'evidence': 'oa repository (via OAI-PMH doi match)', 'license': None, 'version': 'acceptedVersion', 'host_type': 'repository', 'is_best': True, 'pmh_id': 'oai:urm_publish:9916576451101831', 'endpoint_id': 'mawahayugsex7h7lceyu', 'repository_institution': 'University of South Australia - UniSA Research Outputs Repository', 'oa_date': '2022-03-28'}]",[],2022-04-11T18:57:35.127827,2,"[{'given': 'Sebastien', 'family': 'Racinais', 'sequence': 'first'}, {'given': 'Julien D.', 'family': 'Périard', 'sequence': 'additional'}, {'given': 'Julien', 'family': 'Piscione', 'sequence': 'additional'}, {'given': 'Pitre C.', 'family': 'Bourdon', 'sequence': 'additional'}, {'given': 'Scott', 'family': 'Cocking', 'sequence': 'additional'}, {'given': 'Mohammed', 'family': 'Ihsan', 'sequence': 'additional'}, {'given': 'Mathieu', 'family': 'Lacome', 'sequence': 'additional'}, {'given': 'David', 'family': 'Nichols', 'sequence': 'additional'}, {'given': 'Nathan', 'family': 'Townsend', 'sequence': 'additional'}, {'given': 'Gavin', 'family': 'Travers', 'sequence': 'additional'}, {'given': 'Mathew G.', 'family': 'Wilson', 'sequence': 'additional'}, {'given': 'Olivier', 'family': 'Girard', 'sequence': 'additional'}]",2022-04-04T22:07:49.537946,https://unisa.alma.exlibrisgroup.com/view/delivery/61USOUTHAUS_INST/12242262210001831,,https://unisa.alma.exlibrisgroup.com/view/delivery/61USOUTHAUS_INST/12242262210001831,oa repository (via OAI-PMH doi match),,acceptedVersion,repository,True,oai:urm_publish:9916576451101831,mawahayugsex7h7lceyu,University of South Australia - UniSA Research Outputs Repository,3/28/22,2022-04-04T22:07:49.537946,https://unisa.alma.exlibrisgroup.com/view/delivery/61USOUTHAUS_INST/12242262210001831,,https://unisa.alma.exlibrisgroup.com/view/delivery/61USOUTHAUS_INST/12242262210001831,oa repository (via OAI-PMH doi match),,acceptedVersion,repository,True,oai:urm_publish:9916576451101831,mawahayugsex7h7lceyu,University of South Australia - UniSA Research Outputs Repository,3/28/22
cn110556,10.5414/cn110556,https://doi.org/10.5414/cn110556,Six-minute walk test distance does not reflect oxygen uptake in patients undergoing maintenance hemodialysis,journal-article,False,1/24/22,2022.0,Clinical Nephrology,0301-0430,0301-0430,False,False,Dustri-Verlgag Dr. Karl Feistle,False,closed,False,,,[],[],2022-01-24T21:01:21.601198,2,"[{'given': 'Jiajia', 'family': 'Sun', 'sequence': 'first'}, {'given': 'Qinjuan', 'family': 'Xu', 'sequence': 'additional'}, {'given': 'Qing', 'family': 'Zhang', 'sequence': 'additional'}, {'given': 'Huagang', 'family': 'Hu', 'sequence': 'additional'}, {'given': 'Li', 'family': 'Wang', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,
clinem/dgab881,10.1210/clinem/dgab881,https://doi.org/10.1210/clinem/dgab881,Effects of simulated high altitude on blood glucose levels during exercise in individuals with Type 1 Diabetes,journal-article,False,12/22/21,2021.0,The Journal of Clinical Endocrinology & Metabolism,"0021-972X,1945-7197",0021-972X,False,False,The Endocrine Society,False,closed,False,,,[],"[{'updated': '2022-05-23T23:42:59.935034', 'url': 'https://doi.org/10.1210/clinem/dgab881', 'url_for_pdf': None, 'url_for_landing_page': 'https://doi.org/10.1210/clinem/dgab881', 'evidence': 'open (via crossref license, author manuscript)', 'license': 'publisher-specific, author manuscript', 'version': 'acceptedVersion', 'host_type': 'publisher', 'is_best': False, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': '2022-12-22'}]",2021-12-22T21:02:20.028190,2,"[{'ORCID': 'http://orcid.org/0000-0001-5546-3465', 'given': 'Cory W', 'family': 'Dugan', 'sequence': 'first', 'affiliation': [{'name': 'Department of Sport Science, Exercise and Health, School of Human Sciences, The University of Western Australia, Crawley, W.A. Australia'}], 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-5878-2266', 'given': 'Shane K', 'family': 'Maloney', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Sport Science, Exercise and Health, School of Human Sciences, The University of Western Australia, Crawley, W.A. Australia'}], 'authenticated-orcid': False}, {'given': 'Kristina J', 'family': 'Abramoff', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Sport Science, Exercise and Health, School of Human Sciences, The University of Western Australia, Crawley, W.A. Australia'}]}, {'given': 'Sohan S', 'family': 'Panag', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Sport Science, Exercise and Health, School of Human Sciences, The University of Western Australia, Crawley, W.A. Australia'}]}, {'ORCID': 'http://orcid.org/0000-0003-4244-5473', 'given': 'Elizabeth A', 'family': 'Davis', 'sequence': 'additional', 'affiliation': [{'name': 'Childrens Diabetes Centre, Telethon Kids Institute, Nedlands, W.A. Australia'}], 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-7989-1998', 'given': 'Timothy W', 'family': 'Jones', 'sequence': 'additional', 'affiliation': [{'name': 'Childrens Diabetes Centre, Telethon Kids Institute, Nedlands, W.A. Australia'}], 'authenticated-orcid': False}, {'given': 'Paul A', 'family': 'Fournier', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Sport Science, Exercise and Health, School of Human Sciences, The University of Western Australia, Crawley, W.A. Australia'}, {'name': 'Childrens Diabetes Centre, Telethon Kids Institute, Nedlands, W.A. Australia'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
