,doi_suffix,doi,doi_url,title,genre,is_paratext,published_date,year,journal_name,journal_issns,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa,oa_status,has_repository_copy,best_oa_location,first_oa_location,oa_locations,oa_locations_embargoed,updated,data_standard,z_authors,best_oa_location.updated,best_oa_location.url,best_oa_location.url_for_pdf,best_oa_location.url_for_landing_page,best_oa_location.evidence,best_oa_location.license,best_oa_location.version,best_oa_location.host_type,best_oa_location.is_best,best_oa_location.pmh_id,best_oa_location.endpoint_id,best_oa_location.repository_institution,best_oa_location.oa_date,first_oa_location.updated,first_oa_location.url,first_oa_location.url_for_pdf,first_oa_location.url_for_landing_page,first_oa_location.evidence,first_oa_location.license,first_oa_location.version,first_oa_location.host_type,first_oa_location.is_best,first_oa_location.pmh_id,first_oa_location.endpoint_id,first_oa_location.repository_institution,first_oa_location.oa_date,doi_redirect_SC,error,not_clickable
0,phm.0000000000001874,10.1097/phm.0000000000001874,https://doi.org/10.1097/phm.0000000000001874,Metabolic cost and performance of athletes with lower limb amputation and non-amputee matched controls during running,journal-article,False,9/2/21,2021.0,American Journal of Physical Medicine & Rehabilitation,0894-9115,0894-9115,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2021-09-06T21:01:07.694694,2,"[{'given': 'Gabriela', 'family': 'Fischer', 'sequence': 'first'}, {'given': 'Diego', 'family': 'Antunes', 'sequence': 'additional'}, {'given': 'Ana', 'family': 'Volpato', 'sequence': 'additional'}, {'given': 'Rodrigo Sudatti', 'family': 'Delevatti', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,"Message: Unable to locate element: .icon-pdf
Stacktrace:
WebDriverError@chrome://remote/content/shared/webdriver/Errors.jsm:186:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.jsm:398:5
element.find/</<@chrome://remote/content/marionette/element.js:300:16
",False
1,fjc.0000000000000977,10.1097/fjc.0000000000000977,https://doi.org/10.1097/fjc.0000000000000977,Perindopril Reduces Arterial Pressure and Does Not Inhibit Exercise-Induced Angiogenesis in Spontaneously Hypertensive Rats,journal-article,False,4/1/21,2021.0,Journal of Cardiovascular Pharmacology,0160-2446,0160-2446,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2021-04-14T18:12:29.739102,2,"[{'given': 'Danyelle S.', 'family': 'Miotto', 'sequence': 'first'}, {'given': 'Francine', 'family': 'Duchatsch', 'sequence': 'additional'}, {'given': 'Anderson G.', 'family': 'Macedo', 'sequence': 'additional'}, {'given': 'Thalles F.R.', 'family': 'Ruiz', 'sequence': 'additional'}, {'given': 'Carlos A.', 'family': 'Vicentini', 'sequence': 'additional'}, {'given': 'Sandra L.', 'family': 'Amaral', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,"Message: Unable to locate element: .icon-pdf
Stacktrace:
WebDriverError@chrome://remote/content/shared/webdriver/Errors.jsm:186:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.jsm:398:5
element.find/</<@chrome://remote/content/marionette/element.js:300:16
",False
2,mbp.0000000000000523,10.1097/mbp.0000000000000523,https://doi.org/10.1097/mbp.0000000000000523,Acute flywheel exercise does not impair the brachial artery vasodilation in healthy men of varying aerobic fitness,journal-article,False,2/12/21,2021.0,Blood Pressure Monitoring,1359-5237,1359-5237,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2021-02-26T21:05:21.803966,2,"[{'given': 'Damir', 'family': 'Zubac', 'sequence': 'first'}, {'given': 'Ante', 'family': 'Obad', 'sequence': 'additional'}, {'given': 'Vladimir', 'family': 'Ivančev', 'sequence': 'additional'}, {'given': 'Zoran', 'family': 'Valić', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,"Message: Unable to locate element: .icon-pdf
Stacktrace:
WebDriverError@chrome://remote/content/shared/webdriver/Errors.jsm:186:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.jsm:398:5
element.find/</<@chrome://remote/content/marionette/element.js:300:16
",False
3,jsc.0000000000003236,10.1519/jsc.0000000000003236,https://doi.org/10.1519/jsc.0000000000003236,Effects of Group Running on the Training Intensity Distribution of Collegiate Cross-Country Runners,journal-article,False,7/11/19,2019.0,Journal of Strength and Conditioning Research,1064-8011,1064-8011,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2021-01-17T12:22:21.956772,2,"[{'given': 'John W.', 'family': 'Farrell', 'sequence': 'first'}, {'given': 'Ann', 'family': 'Dunn', 'sequence': 'additional'}, {'given': 'Greg S.', 'family': 'Cantrell', 'sequence': 'additional'}, {'given': 'David J.', 'family': 'Lantis', 'sequence': 'additional'}, {'given': 'Daniel J.', 'family': 'Larson', 'sequence': 'additional'}, {'given': 'Rebecca D.', 'family': 'Larson', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,"Message: Unable to locate element: .icon-pdf
Stacktrace:
WebDriverError@chrome://remote/content/shared/webdriver/Errors.jsm:186:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.jsm:398:5
element.find/</<@chrome://remote/content/marionette/element.js:300:16
",False
4,jsc.0000000000003087,10.1519/jsc.0000000000003087,https://doi.org/10.1519/jsc.0000000000003087,Altered Physical Performance Following Advanced Special Operations Tactical Training,journal-article,False,4/10/19,2019.0,Journal of Strength and Conditioning Research,1064-8011,1064-8011,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2021-06-22T05:31:07.744334,2,"[{'given': 'Joshua D.', 'family': 'Winters', 'sequence': 'first'}, {'given': 'Nicholas R.', 'family': 'Heebner', 'sequence': 'additional'}, {'given': 'Alexa K.', 'family': 'Johnson', 'sequence': 'additional'}, {'given': 'Kathleen M.', 'family': 'Poploski', 'sequence': 'additional'}, {'given': 'Scott D.', 'family': 'Royer', 'sequence': 'additional'}, {'given': 'Takashi', 'family': 'Nagai', 'sequence': 'additional'}, {'given': 'Carson A.', 'family': 'Randall', 'sequence': 'additional'}, {'given': 'John P.', 'family': 'Abt', 'sequence': 'additional'}, {'given': 'Scott M.', 'family': 'Lephart', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,"Message: Unable to locate element: .icon-pdf
Stacktrace:
WebDriverError@chrome://remote/content/shared/webdriver/Errors.jsm:186:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.jsm:398:5
element.find/</<@chrome://remote/content/marionette/element.js:300:16
",False
5,jsc.0000000000002939,10.1519/jsc.0000000000002939,https://doi.org/10.1519/jsc.0000000000002939,Similar Anaerobic and Aerobic Adaptations After 2 High-Intensity Interval Training Configurations,journal-article,False,2/27/19,2019.0,Journal of Strength and Conditioning Research,1064-8011,1064-8011,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2021-01-15T12:23:37.640036,2,"[{'given': 'Masoud', 'family': 'Moghaddam', 'sequence': 'first'}, {'given': 'Carlos A.', 'family': 'Estrada', 'sequence': 'additional'}, {'given': 'Tyler W.D.', 'family': 'Muddle', 'sequence': 'additional'}, {'given': 'Mitchel A.', 'family': 'Magrini', 'sequence': 'additional'}, {'given': 'Nathaniel D.M.', 'family': 'Jenkins', 'sequence': 'additional'}, {'given': 'Bert H.', 'family': 'Jacobson', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,"Message: Unable to locate element: .icon-pdf
Stacktrace:
WebDriverError@chrome://remote/content/shared/webdriver/Errors.jsm:186:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.jsm:398:5
element.find/</<@chrome://remote/content/marionette/element.js:300:16
",False
6,jsc.0000000000003038,10.1519/jsc.0000000000003038,https://doi.org/10.1519/jsc.0000000000003038,Oxygenation Responses While Wearing the Elevation Training Mask During an Incremental Cycling Test,journal-article,False,2/13/19,2019.0,Journal of Strength and Conditioning Research,1064-8011,1064-8011,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2021-06-23T20:04:33.199740,2,"[{'given': 'Salvador', 'family': 'Romero-Arenas', 'sequence': 'first'}, {'given': 'Emilia', 'family': 'López-Pérez', 'sequence': 'additional'}, {'given': 'David', 'family': 'Colomer-Poveda', 'sequence': 'additional'}, {'given': 'Gonzalo', 'family': 'Márquez', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,"Message: Unable to locate element: .icon-pdf
Stacktrace:
WebDriverError@chrome://remote/content/shared/webdriver/Errors.jsm:186:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.jsm:398:5
element.find/</<@chrome://remote/content/marionette/element.js:300:16
",False
7,jsc.0000000000002988,10.1519/jsc.0000000000002988,https://doi.org/10.1519/jsc.0000000000002988,Validity of an Interval Taekwondo-Specific Cardiopulmonary Exercise Test,journal-article,False,1/22/19,2019.0,Journal of Strength and Conditioning Research,1064-8011,1064-8011,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2021-06-23T06:02:57.545778,2,"[{'given': 'Marcus P.', 'family': 'Araujo', 'sequence': 'first'}, {'given': 'Pedro P.', 'family': 'Soares', 'sequence': 'additional'}, {'given': 'Matheus R.', 'family': 'Hausen', 'sequence': 'additional'}, {'given': 'Hilbert S.', 'family': 'Julio', 'sequence': 'additional'}, {'given': 'Flávia', 'family': 'Porto', 'sequence': 'additional'}, {'given': 'Jonas L.', 'family': 'Gurgel', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,"Message: Unable to locate element: .icon-pdf
Stacktrace:
WebDriverError@chrome://remote/content/shared/webdriver/Errors.jsm:186:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.jsm:398:5
element.find/</<@chrome://remote/content/marionette/element.js:300:16
",False
8,jsc.0000000000002974,10.1519/jsc.0000000000002974,https://doi.org/10.1519/jsc.0000000000002974,"Inspiratory Muscle Warm-up Improves 3,200-m Running Performance in Distance Runners",journal-article,False,1/10/19,2019.0,Journal of Strength and Conditioning Research,1064-8011,1064-8011,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2021-01-17T13:19:10.048994,2,"[{'given': 'Kyle R.', 'family': 'Barnes', 'sequence': 'first'}, {'given': 'Allie R.', 'family': 'Ludge', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,"Message: Unable to locate element: .icon-pdf
Stacktrace:
WebDriverError@chrome://remote/content/shared/webdriver/Errors.jsm:186:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.jsm:398:5
element.find/</<@chrome://remote/content/marionette/element.js:300:16
",False
9,jsc.0000000000002948,10.1519/jsc.0000000000002948,https://doi.org/10.1519/jsc.0000000000002948,Influence of Physical Fitness on Special Judo Fitness Test Performance,journal-article,False,11/8/18,2018.0,Journal of Strength and Conditioning Research,1064-8011,1064-8011,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2021-01-15T13:25:46.681116,2,"[{'given': 'João P.', 'family': 'Paulo Lopes-Silva', 'sequence': 'first'}, {'given': 'Valéria Leme Gonçalves', 'family': 'Panissa', 'sequence': 'additional'}, {'given': 'Ursula Ferreira', 'family': 'Julio', 'sequence': 'additional'}, {'given': 'Emerson', 'family': 'Franchini', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,"Message: Unable to locate element: .icon-pdf
Stacktrace:
WebDriverError@chrome://remote/content/shared/webdriver/Errors.jsm:186:5
NoSuchElementError@chrome://remote/content/shared/webdriver/Errors.jsm:398:5
element.find/</<@chrome://remote/content/marionette/element.js:300:16
",False
