doi,doi_url,title,genre,is_paratext,published_date,year,journal_name,journal_issns,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa,oa_status,has_repository_copy,best_oa_location,first_oa_location,oa_locations,oa_locations_embargoed,updated,data_standard,z_authors,best_oa_location.updated,best_oa_location.url,best_oa_location.url_for_pdf,best_oa_location.url_for_landing_page,best_oa_location.evidence,best_oa_location.license,best_oa_location.version,best_oa_location.host_type,best_oa_location.is_best,best_oa_location.pmh_id,best_oa_location.endpoint_id,best_oa_location.repository_institution,best_oa_location.oa_date,first_oa_location.updated,first_oa_location.url,first_oa_location.url_for_pdf,first_oa_location.url_for_landing_page,first_oa_location.evidence,first_oa_location.license,first_oa_location.version,first_oa_location.host_type,first_oa_location.is_best,first_oa_location.pmh_id,first_oa_location.endpoint_id,first_oa_location.repository_institution,first_oa_location.oa_date,doi_redirect_SC,error
10.1097/hcr.0000000000000690,https://doi.org/10.1097/hcr.0000000000000690,Reference Standards for Cardiorespiratory Fitness in Brazil,journal-article,False,5/9/22,2022.0,Journal of Cardiopulmonary Rehabilitation and Prevention,1932-7501,1932-7501,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2022-05-14T21:01:42.095469,2,"[{'given': 'Mauricio', 'family': 'Milani', 'sequence': 'first'}, {'given': 'Juliana Goulart Prata Oliveira', 'family': 'Milani', 'sequence': 'additional'}, {'given': 'Graziella França Bernardelli', 'family': 'Cipriano', 'sequence': 'additional'}, {'given': 'Isac', 'family': 'de Castro', 'sequence': 'additional'}, {'given': 'Gerson', 'family': 'Cipriano Junior', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,
10.1249/mss.0000000000002957,https://doi.org/10.1249/mss.0000000000002957,"Time Course of Performance Fatigability during Exercise below, at, and above the Critical Intensity in Females and Males",journal-article,False,5/12/22,2022.0,Medicine &amp; Science in Sports &amp; Exercise,"1530-0315,0195-9131",0195-9131,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2022-05-13T21:03:27.203282,2,"[{'given': 'Rafael', 'family': 'de Almeida Azevedo', 'sequence': 'first'}, {'given': 'Jonas', 'family': 'Forot', 'sequence': 'additional'}, {'given': 'Danilo', 'family': 'Iannetta', 'sequence': 'additional'}, {'given': 'Saied Jalal', 'family': 'Aboodarda', 'sequence': 'additional'}, {'given': 'Guillaume Y.', 'family': 'Millet', 'sequence': 'additional'}, {'given': 'Juan M.', 'family': 'Murias', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,
10.1097/pts.0000000000000922,https://doi.org/10.1097/pts.0000000000000922,"Safety of High-Intensity, Low-Volume Interval Training or Continuous Aerobic Training in Adults With Metabolic Syndrome",journal-article,False,9/30/21,2021.0,Journal of Patient Safety,1549-8417,1549-8417,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2021-10-07T01:26:28.534721,2,"[{'given': 'Jaime', 'family': 'Gallo-Villegas', 'sequence': 'first'}, {'given': 'Daniel', 'family': 'Restrepo', 'sequence': 'additional'}, {'given': 'Laura', 'family': 'Pérez', 'sequence': 'additional'}, {'given': 'Leonardo A.', 'family': 'Castro-Valencia', 'sequence': 'additional'}, {'given': 'Raúl', 'family': 'Narvaez-Sanchez', 'sequence': 'additional'}, {'given': 'Jorge', 'family': 'Osorio', 'sequence': 'additional'}, {'given': 'Daniel C.', 'family': 'Aguirre-Acevedo', 'sequence': 'additional'}, {'given': 'Juan C.', 'family': 'Calderón', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,
10.1249/mss.0000000000002930,https://doi.org/10.1249/mss.0000000000002930,Monitoring Responses to Basic Military Training with Heart Rate Variability,journal-article,False,4/8/22,2022.0,Medicine &amp; Science in Sports &amp; Exercise,"1530-0315,0195-9131",0195-9131,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2022-04-08T21:07:57.703230,2,"[{'given': 'Sean L.', 'family': 'Corrigan', 'sequence': 'first'}, {'given': 'Sean', 'family': 'Bulmer', 'sequence': 'additional'}, {'given': 'Spencer S.H.', 'family': 'Roberts', 'sequence': 'additional'}, {'given': 'Stuart', 'family': 'Warmington', 'sequence': 'additional'}, {'given': 'Jace', 'family': 'Drain', 'sequence': 'additional'}, {'given': 'Luana C.', 'family': 'Main', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,
10.1249/mss.0000000000002914,https://doi.org/10.1249/mss.0000000000002914,Mitochondrial Mass of Naïve T Cells Is Associated with Aerobic Fitness and Energy Expenditure of Active and Inactive Adults,journal-article,False,4/1/22,2022.0,Medicine &amp; Science in Sports &amp; Exercise,"1530-0315,0195-9131",0195-9131,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2022-04-08T21:07:53.749057,2,"[{'given': 'Jessica R.', 'family': 'Alley', 'sequence': 'first'}, {'given': 'Rudy J.', 'family': 'Valentine', 'sequence': 'additional'}, {'given': 'Marian L.', 'family': 'Kohut', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,
10.1249/mss.0000000000002905,https://doi.org/10.1249/mss.0000000000002905,Attenuated Metabolic and Cardiorespiratory Responses to Isoenergetic High-Intensity Interval Exercise of Short vs. Long Bouts,journal-article,False,2/28/22,2022.0,Medicine &amp; Science in Sports &amp; Exercise,0195-9131,0195-9131,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2022-03-02T21:01:19.117508,2,"[{'given': 'Gregory C.', 'family': 'Bogdanis', 'sequence': 'first'}, {'given': 'Pinelopi S.', 'family': 'Stavrinou', 'sequence': 'additional'}, {'given': 'Spyridon', 'family': 'Tsirigkakis', 'sequence': 'additional'}, {'given': 'Vassilis', 'family': 'Mougios', 'sequence': 'additional'}, {'given': 'Todd A.', 'family': 'Astorino', 'sequence': 'additional'}, {'given': 'George', 'family': 'Mastorakos', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,
10.1249/mss.0000000000002895,https://doi.org/10.1249/mss.0000000000002895,Aerobic Fitness is Associated with Cerebral mu-Opioid Receptor Activation in Healthy Humans,journal-article,False,2/21/22,2022.0,Medicine & Science in Sports & Exercise,0195-9131,0195-9131,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2022-02-23T21:07:17.728822,2,"[{'given': 'Tiina', 'family': 'Saanijoki', 'sequence': 'first'}, {'given': 'Tatu', 'family': 'Kantonen', 'sequence': 'additional'}, {'given': 'Laura', 'family': 'Pekkarinen', 'sequence': 'additional'}, {'given': 'Kari', 'family': 'Kalliokoski', 'sequence': 'additional'}, {'given': 'Jussi', 'family': 'Hirvonen', 'sequence': 'additional'}, {'given': 'Tuulia', 'family': 'Malén', 'sequence': 'additional'}, {'given': 'Lauri', 'family': 'Tuominen', 'sequence': 'additional'}, {'given': 'Jetro J.', 'family': 'Tuulari', 'sequence': 'additional'}, {'given': 'Eveliina', 'family': 'Arponen', 'sequence': 'additional'}, {'given': 'Pirjo', 'family': 'Nuutila', 'sequence': 'additional'}, {'given': 'Lauri', 'family': 'Nummenmaa', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,
10.1249/mss.0000000000002894,https://doi.org/10.1249/mss.0000000000002894,Pediatric Cardiopulmonary Exercise Testing,journal-article,False,2/9/22,2022.0,Medicine & Science in Sports & Exercise,0195-9131,0195-9131,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2022-02-12T21:05:32.657742,2,"[{'given': 'Dan M.', 'family': 'Cooper', 'sequence': 'first'}, {'given': 'Ronen', 'family': 'Bar-Yoseph', 'sequence': 'additional'}, {'given': 'Robert I.', 'family': 'Liem', 'sequence': 'additional'}, {'given': 'Thomas G.', 'family': 'Keens', 'sequence': 'additional'}, {'given': 'Susanna A.', 'family': 'McColley', 'sequence': 'additional'}, {'given': 'Shlomit', 'family': 'Radom-Aizik', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,
10.1249/mss.0000000000002857,https://doi.org/10.1249/mss.0000000000002857,Physiological Adaptations to High-Intensity Interval Training Combined with Blood Flow Restriction in Masters Road Cyclists,journal-article,False,12/29/21,2021.0,Medicine & Science in Sports & Exercise,0195-9131,0195-9131,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2021-12-30T21:01:35.155391,2,"[{'given': 'Patcharin', 'family': 'Tangchaisuriya', 'sequence': 'first'}, {'given': 'Napasakorn', 'family': 'Chuensiri', 'sequence': 'additional'}, {'given': 'Hirofumi', 'family': 'Tanaka', 'sequence': 'additional'}, {'given': 'Daroonwan', 'family': 'Suksom', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,
10.1519/jsc.0000000000004160,https://doi.org/10.1519/jsc.0000000000004160,Cold Stress Induced a Higher Level of Fat Oxidation in Women,journal-article,False,10/27/21,2021.0,Journal of Strength and Conditioning Research,1064-8011,1064-8011,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,,,[],[],2021-10-29T21:05:33.173811,2,"[{'given': 'Xinting', 'family': 'Niu', 'sequence': 'first'}, {'given': 'Peng', 'family': 'Han', 'sequence': 'additional'}, {'given': 'Zujie', 'family': 'Tang', 'sequence': 'additional'}, {'given': 'Jin', 'family': 'Huang', 'sequence': 'additional'}, {'given': 'Li', 'family': 'Li', 'sequence': 'additional'}, {'given': 'Hui', 'family': 'He', 'sequence': 'additional'}, {'given': 'Wenzhong', 'family': 'Zhang', 'sequence': 'additional'}, {'given': 'Li', 'family': 'Zhao', 'sequence': 'additional'}, {'given': 'Lei', 'family': 'Zhao', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,200,
