doi,doi_url,title,genre,is_paratext,published_date,year,journal_name,journal_issns,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa,oa_status,has_repository_copy,best_oa_location,first_oa_location,oa_locations,oa_locations_embargoed,updated,data_standard,z_authors,best_oa_location.updated,best_oa_location.url,best_oa_location.url_for_pdf,best_oa_location.url_for_landing_page,best_oa_location.evidence,best_oa_location.license,best_oa_location.version,best_oa_location.host_type,best_oa_location.is_best,best_oa_location.pmh_id,best_oa_location.endpoint_id,best_oa_location.repository_institution,best_oa_location.oa_date,first_oa_location.updated,first_oa_location.url,first_oa_location.url_for_pdf,first_oa_location.url_for_landing_page,first_oa_location.evidence,first_oa_location.license,first_oa_location.version,first_oa_location.host_type,first_oa_location.is_best,first_oa_location.pmh_id,first_oa_location.endpoint_id,first_oa_location.repository_institution,first_oa_location.oa_date,doi_suffix
10.1177/19417381211058458,https://doi.org/10.1177/19417381211058458,Baseline Aerobic Fitness in High School and College Football Players: Critical for Prescribing Safe Exercise Regimens,journal-article,False,11/20/21,2021.0,Sports Health: A Multidisciplinary Approach,"1941-7381,1941-0921",1941-0921,False,False,SAGE Publications,False,closed,False,,,[],[],2021-11-20T21:01:28.369921,2,"[{'given': 'Barry P.', 'family': 'Boden', 'sequence': 'first', 'affiliation': [{'name': 'The Orthopaedic Center, a Division of CAO, Rockville, Maryland'}]}, {'given': 'Anwar E.', 'family': 'Ahmed', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Preventive Medicine and Biostatistics, Uniformed Services University of the Health Sciences, Bethesda, Maryland'}]}, {'given': 'Kenneth M.', 'family': 'Fine', 'sequence': 'additional', 'affiliation': [{'name': 'The Orthopaedic Center, a Division of CAO, Rockville, Maryland'}]}, {'given': 'Michael J.', 'family': 'Craven', 'sequence': 'additional', 'affiliation': [{'name': 'True Fitness Solutions, Manakin-Sabot, Virginia'}]}, {'given': 'Patricia A.', 'family': 'Deuster', 'sequence': 'additional', 'affiliation': [{'name': 'Consortium for Health and Military Performance, Uniformed Services University of the Health Sciences, Bethesda, Maryland'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,19417381211058458
10.1177/00315125221083180,https://doi.org/10.1177/00315125221083180,Burpee Interval Training Is Associated With a More Favorable Affective Valence and Psychological Response Than Traditional High Intensity Exercise,journal-article,False,4/9/22,2022.0,Perceptual and Motor Skills,"0031-5125,1558-688X",0031-5125,False,False,SAGE Publications,False,closed,False,,,[],[],2022-04-09T21:03:42.159009,2,"[{'given': 'Erika', 'family': 'Mayr Ojeda', 'sequence': 'first', 'affiliation': [{'name': 'Department of Physical Education and Health, Higher Institute of Physical Education, University of the Republic, Montevideo, Uruguay'}]}, {'given': 'Flávio Antônio de Souza', 'family': 'Castro', 'sequence': 'additional', 'affiliation': [{'name': 'School of Physical Education, Physiotherapy and Dance, Aquatic Sports Research Group, Universidade Federal do Rio Grande do Sul, Porto Alegre, Brazil'}]}, {'given': 'Micaela', 'family': 'Reich', 'sequence': 'additional', 'affiliation': [{'name': 'School of Health Sciences, Universidad Católica del Uruguay, Montevideo, Uruguay'}]}, {'given': 'Todd A.', 'family': 'Astorino', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Kinesiology, California State University San Marcos, San Marcos, CA, USA'}]}, {'ORCID': 'http://orcid.org/0000-0001-8243-2082', 'given': 'Stefano', 'family': 'Benítez-Flores', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Physical Education and Health, Higher Institute of Physical Education, University of the Republic, Montevideo, Uruguay'}], 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,00315125221083180
10.1177/0018720818799190,https://doi.org/10.1177/0018720818799190,Gender Differences in Energy Expenditure During Walking With Backpack and Double-Pack Loads,journal-article,False,9/14/18,2018.0,Human Factors: The Journal of the Human Factors and Ergonomics Society,"0018-7208,1547-8181",0018-7208,False,False,SAGE Publications,False,closed,False,,,[],[],2021-01-19T05:22:44.472204,2,"[{'given': 'Simon S. W.', 'family': 'Li', 'sequence': 'first', 'affiliation': [{'name': 'The Education University of Hong Kong'}]}, {'given': 'Otto H. T.', 'family': 'Chan', 'sequence': 'additional', 'affiliation': [{'name': 'The Education University of Hong Kong'}]}, {'given': 'T. Y.', 'family': 'Ng', 'sequence': 'additional', 'affiliation': [{'name': 'The Education University of Hong Kong'}]}, {'given': 'L. H.', 'family': 'Kam', 'sequence': 'additional', 'affiliation': [{'name': 'The Education University of Hong Kong'}]}, {'given': 'C. Y.', 'family': 'Ng', 'sequence': 'additional', 'affiliation': [{'name': 'The Education University of Hong Kong'}]}, {'given': 'W. C.', 'family': 'Chung', 'sequence': 'additional', 'affiliation': [{'name': 'The Education University of Hong Kong'}]}, {'ORCID': 'http://orcid.org/0000-0001-9333-4920', 'given': 'Daniel H. K.', 'family': 'Chow', 'sequence': 'additional', 'affiliation': [{'name': 'The Education University of Hong Kong'}], 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,0018720818799190
10.1177/00315125211000861,https://doi.org/10.1177/00315125211000861,Effects of Visual Flow Alterations on Psychophysiological Responses to Virtual Reality Exercise,journal-article,False,3/4/21,2021.0,Perceptual and Motor Skills,"0031-5125,1558-688X",0031-5125,False,False,SAGE Publications,False,closed,False,,,[],[],2021-03-05T21:01:27.977070,2,"[{'given': 'Koki', 'family': 'Yasukawa', 'sequence': 'first', 'affiliation': [{'name': 'Faculty of Informatics and Engineering, The University of Electro-communications, Tokyo, Japan'}]}, {'given': 'Yuta', 'family': 'Koike', 'sequence': 'additional', 'affiliation': [{'name': 'Graduate School of Informatics and Engineering, The University of Electro-Communications, Tokyo, Japan'}]}, {'given': 'Taisei', 'family': 'Konno', 'sequence': 'additional', 'affiliation': [{'name': 'Graduate School of Informatics and Engineering, The University of Electro-Communications, Tokyo, Japan'}]}, {'ORCID': 'http://orcid.org/0000-0002-1140-0558', 'given': 'Mizuki', 'family': 'Sudo', 'sequence': 'additional', 'affiliation': [{'name': 'Physical Fitness Research Institute, Meiji Yasuda Life Foundation of Health and Welfare, Tokyo, Japan'}], 'authenticated-orcid': False}, {'given': 'Kazunori', 'family': 'Ohkawara', 'sequence': 'additional', 'affiliation': [{'name': 'Graduate School of Informatics and Engineering, The University of Electro-Communications, Tokyo, Japan'}]}, {'ORCID': 'http://orcid.org/0000-0003-0896-7008', 'given': 'Soichi', 'family': 'Ando', 'sequence': 'additional', 'affiliation': [{'name': 'Graduate School of Informatics and Engineering, The University of Electro-Communications, Tokyo, Japan'}], 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,00315125211000861
10.1177/0022034521995428,https://doi.org/10.1177/0022034521995428,Periodontitis Is Related to Exercise Capacity: Two Cross-sectional Studies,journal-article,False,3/3/21,2021.0,Journal of Dental Research,"0022-0345,1544-0591",0022-0345,False,False,SAGE Publications,False,closed,False,,,[],[],2021-03-04T21:02:53.557102,2,"[{'ORCID': 'http://orcid.org/0000-0002-6541-3127', 'given': 'B.', 'family': 'Holtfreter', 'sequence': 'first', 'affiliation': [{'name': 'Department of Restorative Dentistry, Periodontology, Endodontology, and Preventive and Pediatric Dentistry, University Medicine Greifswald, Greifswald, Germany'}], 'authenticated-orcid': False}, {'given': 'B.', 'family': 'Stubbe', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Internal Medicine B, Cardiology, Pneumology, Weaning, Infectious Diseases, Intensive Care Medicine, University Medicine Greifswald, Greifswald, Germany'}]}, {'given': 'S.', 'family': 'Gläser', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Internal Medicine, Vivantes Kliniken Berlin, Neukölln, Germany'}]}, {'ORCID': 'http://orcid.org/0000-0002-8220-8926', 'given': 'J.', 'family': 'Trabandt', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Internal Medicine, Vivantes Kliniken Berlin, Neukölln, Germany'}], 'authenticated-orcid': False}, {'given': 'H.', 'family': 'Völzke', 'sequence': 'additional', 'affiliation': [{'name': 'Institute for Community Medicine, SHIP/Clinical-Epidemiological Research, University Medicine Greifswald, Greifswald, Germany'}, {'name': 'German Centre for Cardiovascular Research (DZHK), Partner Site Greifswald, Greifswald, Germany'}]}, {'given': 'R.', 'family': 'Ewert', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Internal Medicine B, Cardiology, Pneumology, Weaning, Infectious Diseases, Intensive Care Medicine, University Medicine Greifswald, Greifswald, Germany'}]}, {'given': 'T.', 'family': 'Kocher', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Restorative Dentistry, Periodontology, Endodontology, and Preventive and Pediatric Dentistry, University Medicine Greifswald, Greifswald, Germany'}]}, {'given': 'T.', 'family': 'Ittermann', 'sequence': 'additional', 'affiliation': [{'name': 'Institute for Community Medicine, SHIP/Clinical-Epidemiological Research, University Medicine Greifswald, Greifswald, Germany'}]}, {'given': 'C.', 'family': 'Schäper', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Internal Medicine B, Cardiology, Pneumology, Weaning, Infectious Diseases, Intensive Care Medicine, University Medicine Greifswald, Greifswald, Germany'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,0022034521995428
10.1177/0031512520941384,https://doi.org/10.1177/0031512520941384,Better Executive Function Is Associated With Faster On-Transition Aerobic Metabolism Among Older Adults,journal-article,False,7/7/20,2020.0,Perceptual and Motor Skills,"0031-5125,1558-688X",0031-5125,False,False,SAGE Publications,False,closed,False,,,[],[],2021-01-19T12:43:33.396025,2,"[{'ORCID': 'http://orcid.org/0000-0002-0588-8817', 'given': 'Ligita', 'family': 'Siline', 'sequence': 'first', 'affiliation': [{'name': 'Department of Health Promotion and Rehabilitation, Lithuanian Sports University'}], 'authenticated-orcid': False}, {'given': 'Arvydas', 'family': 'Stasiulis', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Health Promotion and Rehabilitation, Lithuanian Sports University'}]}, {'given': 'Loreta', 'family': 'Stasiule', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Health Promotion and Rehabilitation, Lithuanian Sports University'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,0031512520941384
10.1177/0269215520912302,https://doi.org/10.1177/0269215520912302,Effects of high-intensity interval training in a three-week cardiovascular rehabilitation: a randomized controlled trial,journal-article,False,3/16/20,2020.0,Clinical Rehabilitation,"0269-2155,1477-0873",0269-2155,False,False,SAGE Publications,False,closed,False,,,[],[],2021-01-16T20:19:13.288787,2,"[{'ORCID': 'http://orcid.org/0000-0003-1559-1731', 'given': 'Udo F', 'family': 'Wehmeier', 'sequence': 'first', 'affiliation': [{'name': 'Department of Sports Medicine, University of Wuppertal, Wuppertal, Germany'}], 'authenticated-orcid': False}, {'given': 'Alexander', 'family': 'Schweitzer', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Sports Medicine, University of Wuppertal, Wuppertal, Germany'}]}, {'given': 'Armin', 'family': 'Jansen', 'sequence': 'additional', 'affiliation': [{'name': 'Cardiowell, Center of Rehabilitation, Wuppertal, Germany'}]}, {'given': 'Herbert', 'family': 'Probst', 'sequence': 'additional', 'affiliation': [{'name': 'Cardiowell, Center of Rehabilitation, Wuppertal, Germany'}]}, {'given': 'Stephan', 'family': 'Grüter', 'sequence': 'additional', 'affiliation': [{'name': 'Cardiowell, Center of Rehabilitation, Wuppertal, Germany'}]}, {'given': 'Silke', 'family': 'Hähnchen', 'sequence': 'additional', 'affiliation': [{'name': 'Cardiowell, Center of Rehabilitation, Wuppertal, Germany'}]}, {'given': 'Thomas', 'family': 'Hilberg', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Sports Medicine, University of Wuppertal, Wuppertal, Germany'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,0269215520912302
10.1177/1120672119832840,https://doi.org/10.1177/1120672119832840,Effect of a maximal treadmill test on intraocular pressure and ocular perfusion pressure: The mediating role of fitness level,journal-article,False,3/4/19,2019.0,European Journal of Ophthalmology,"1120-6721,1724-6016",1120-6721,False,False,SAGE Publications,False,closed,False,,,[],[],2021-01-18T21:56:43.697230,2,"[{'given': 'Jesús', 'family': 'Vera', 'sequence': 'first', 'affiliation': [{'name': 'Department of Optics, Faculty of Sciences, University of Granada, Granada, Spain'}, {'name': 'Mixed University Sport and Health Institute (iMUDS), University of Granada, Granada, Spain'}]}, {'given': 'Raimundo', 'family': 'Jiménez', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Optics, Faculty of Sciences, University of Granada, Granada, Spain'}]}, {'given': 'Beatríz', 'family': 'Redondo', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Optics, Faculty of Sciences, University of Granada, Granada, Spain'}]}, {'given': 'Amador', 'family': 'García-Ramos', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Physical Education and Sport, Faculty of Sport Sciences, University of Granada, Granada, Spain'}, {'name': 'Facultad de Educación, CIEDE, Universidad Católica de la Santísima Concepción, Concepción, Chile'}]}, {'given': 'David', 'family': 'Cárdenas', 'sequence': 'additional', 'affiliation': [{'name': 'Mixed University Sport and Health Institute (iMUDS), University of Granada, Granada, Spain'}, {'name': 'Department of Physical Education and Sport, Faculty of Sport Sciences, University of Granada, Granada, Spain'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,1120672119832840
10.1177/0391398819882435,https://doi.org/10.1177/0391398819882435,Exercise-induced hypoxemia predicts heart failure hospitalization and death in patients supported with left ventricular assist devices,journal-article,False,10/19/19,2019.0,The International Journal of Artificial Organs,"0391-3988,1724-6040",0391-3988,False,False,SAGE Publications,False,closed,False,,,[],[],2021-01-17T10:19:33.226017,2,"[{'ORCID': 'http://orcid.org/0000-0002-0357-6545', 'given': 'Daniel M', 'family': 'Koerber', 'sequence': 'first', 'affiliation': [{'name': 'Van Cleve Cardiac Regenerative Medicine Program, Center for Regenerative Medicine, Mayo Clinic, Rochester, MN, USA'}], 'authenticated-orcid': False}, {'given': 'Andrew N', 'family': 'Rosenbaum', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Cardiovascular Diseases, Mayo Clinic, Rochester, MN, USA'}]}, {'given': 'Thomas P', 'family': 'Olson', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Cardiovascular Diseases, Mayo Clinic, Rochester, MN, USA'}]}, {'given': 'Sudhir', 'family': 'Kushwaha', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Cardiovascular Diseases, Mayo Clinic, Rochester, MN, USA'}, {'name': 'William J. von Liebig Center for Transplantation and Clinical Regeneration, Mayo Clinic, Rochester, MN, USA'}]}, {'given': 'John', 'family': 'Stulak', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Cardiovascular Surgery, Mayo Clinic, Rochester, MN, USA'}]}, {'given': 'Simon', 'family': 'Maltais', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Cardiovascular Surgery, Mayo Clinic, Rochester, MN, USA'}]}, {'given': 'Atta', 'family': 'Behfar', 'sequence': 'additional', 'affiliation': [{'name': 'Van Cleve Cardiac Regenerative Medicine Program, Center for Regenerative Medicine, Mayo Clinic, Rochester, MN, USA'}, {'name': 'Department of Cardiovascular Diseases, Mayo Clinic, Rochester, MN, USA'}, {'name': 'William J. von Liebig Center for Transplantation and Clinical Regeneration, Mayo Clinic, Rochester, MN, USA'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,0391398819882435
10.1177/0003319719838399,https://doi.org/10.1177/0003319719838399,"Vascular Inflammation, Calf Muscle Oxygen Saturation, and Blood Glucose are Associated With Exercise Pressor Response in Symptomatic Peripheral Artery Disease",journal-article,False,3/26/19,2019.0,Angiology,"0003-3197,1940-1574",0003-3197,False,False,SAGE Publications,False,closed,False,,,[],[],2021-01-16T21:46:58.105741,2,"[{'ORCID': 'http://orcid.org/0000-0001-7721-5438', 'given': 'Andrew W.', 'family': 'Gardner', 'sequence': 'first', 'affiliation': [{'name': 'Department of Physical Medicine and Rehabilitation, Penn State College of Medicine, Hershey, PA, USA'}], 'authenticated-orcid': False}, {'given': 'Polly S.', 'family': 'Montgomery', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Physical Medicine and Rehabilitation, Penn State College of Medicine, Hershey, PA, USA'}]}, {'given': 'Ming', 'family': 'Wang', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Public Health Sciences, Penn State College of Medicine, Hershey, PA, USA'}]}, {'given': 'Chixiang', 'family': 'Chen', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Public Health Sciences, Penn State College of Medicine, Hershey, PA, USA'}]}, {'given': 'Marcos', 'family': 'Kuroki', 'sequence': 'additional', 'affiliation': [{'name': 'Heart and Vascular Institute, Penn State College of Medicine, Hershey, PA, USA'}]}, {'given': 'Danielle Jin-Kwang', 'family': 'Kim', 'sequence': 'additional', 'affiliation': [{'name': 'Heart and Vascular Institute, Penn State College of Medicine, Hershey, PA, USA'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,0003319719838399
