doi,query_status_code,pdf_status_code,error
10.1007/s00421-017-3784-9,200,200.0,
10.1007/978-3-319-55231-6_33,200,200.0,
10.1007/s00421-017-3540-1,200,200.0,
10.1007/s40292-017-0180-9,200,200.0,
10.1007/s10484-012-9200-7,200,200.0,
10.1007/s00421-011-2171-1,200,200.0,
10.1007/s00421-011-2004-2,200,200.0,
10.1007/s00421-011-1827-1,200,200.0,
10.1007/s00360-010-0470-1,200,200.0,
10.1007/s00421-010-1376-z,200,200.0,
10.1007/s00421-009-1351-8,200,200.0,
10.1007/s00421-009-1291-3,200,200.0,
10.1007/s00421-009-1233-0,200,200.0,
10.1177/1933719109332091,200,200.0,
10.1007/s00421-009-0989-6,200,200.0,
10.1007/s00421-008-0934-0,200,200.0,
10.1007/s00421-008-0919-z,200,200.0,
10.1007/s00421-008-0902-8,200,200.0,
10.1007/s00421-008-0885-5,200,200.0,
10.1379/1466-1268(2001)006<0386:eishih>2.0.co;2,500,,
10.1379/1466-1268(2001)006<0386:eishih>2.0.co;2,500,,
10.1007/s10059-009-0071-6,200,200.0,
10.1007/s00421-007-0649-7,200,200.0,
10.1007/s00421-007-0529-1,200,200.0,
10.1007/s00421-007-0457-0,200,,Invalid URL 'None': No scheme supplied. Perhaps you meant http://None?
10.1007/bf03004174,200,200.0,
10.1007/s00421-006-0294-6,200,200.0,
10.1007/s00421-006-0240-7,200,,Invalid URL 'None': No scheme supplied. Perhaps you meant http://None?
10.1007/s00415-006-0987-0,200,200.0,
10.1007/s00421-005-0100-x,200,200.0,
10.1023/b:hrev.0000046363.59374.23,500,,
10.1023/b:jice.0000019267.24208.c4,500,,
10.1007/s00421-004-1203-5,200,,Invalid URL 'None': No scheme supplied. Perhaps you meant http://None?
10.1007/s00392-003-1009-1,200,200.0,
10.1007/s00421-003-0843-1,200,200.0,
10.1007/s00421-003-0853-z,200,200.0,
10.1023/a:1025034919526,500,,
10.1016/s1071-3581(03)00626-3,200,200.0,
10.1007/s00421-003-0824-4,200,200.0,
10.1007/s00421-002-0712-3,200,200.0,
