doi,doi_url,title,genre,is_paratext,published_date,year,journal_name,journal_issns,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa,oa_status,has_repository_copy,oa_locations,oa_locations_embargoed,updated,data_standard,z_authors,best_oa_location.updated,best_oa_location.url,best_oa_location.url_for_pdf,best_oa_location.url_for_landing_page,best_oa_location.evidence,best_oa_location.license,best_oa_location.version,best_oa_location.host_type,best_oa_location.is_best,best_oa_location.pmh_id,best_oa_location.endpoint_id,best_oa_location.repository_institution,best_oa_location.oa_date,first_oa_location.updated,first_oa_location.url,first_oa_location.url_for_pdf,first_oa_location.url_for_landing_page,first_oa_location.evidence,first_oa_location.license,first_oa_location.version,first_oa_location.host_type,first_oa_location.is_best,first_oa_location.pmh_id,first_oa_location.endpoint_id,first_oa_location.repository_institution,first_oa_location.oa_date,best_oa_location,first_oa_location
10.1155/2022/8153521,https://doi.org/10.1155/2022/8153521,Changes in Physical Function of Shuttlecock Players after Short-Term Intensive Training based on Data Mining,journal-article,False,2022-06-13,2022,Computational Intelligence and Neuroscience,"1687-5273,1687-5265",1687-5265,True,True,Hindawi Limited,True,gold,True,"[{'updated': '2022-06-28T16:54:02.918354', 'url': 'https://downloads.hindawi.com/journals/cin/2022/8153521.pdf', 'url_for_pdf': 'https://downloads.hindawi.com/journals/cin/2022/8153521.pdf', 'url_for_landing_page': 'https://doi.org/10.1155/2022/8153521', 'evidence': 'oa journal (via doaj)', 'license': 'cc-by', 'version': 'publishedVersion', 'host_type': 'publisher', 'is_best': True, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': '2022-06-13'}, {'updated': '2022-06-28T16:54:02.918446', 'url': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9208933', 'url_for_pdf': None, 'url_for_landing_page': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9208933', 'evidence': 'oa repository (via pmcid lookup)', 'license': None, 'version': 'publishedVersion', 'host_type': 'repository', 'is_best': False, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': None}]",[],2022-06-24T20:23:04.497260,2,"[{'ORCID': 'http://orcid.org/0000-0003-3598-4559', 'given': 'Wenyao', 'family': 'Zeng', 'sequence': 'first', 'affiliation': [{'name': 'College of Sport, Chongqing Technology and Business University, Chongqing 400067, China'}], 'authenticated-orcid': True}]",2022-06-28T16:54:02.918354,https://downloads.hindawi.com/journals/cin/2022/8153521.pdf,https://downloads.hindawi.com/journals/cin/2022/8153521.pdf,https://doi.org/10.1155/2022/8153521,oa journal (via doaj),cc-by,publishedVersion,publisher,True,,,,2022-06-13,2022-06-28T16:54:02.918354,https://downloads.hindawi.com/journals/cin/2022/8153521.pdf,https://downloads.hindawi.com/journals/cin/2022/8153521.pdf,https://doi.org/10.1155/2022/8153521,oa journal (via doaj),cc-by,publishedVersion,publisher,True,,,,2022-06-13,,
10.1089/ham.2022.0004,https://doi.org/10.1089/ham.2022.0004,The Impact of Sprint Interval Exercise in Acute Severe Hypoxia on Executive Function,journal-article,False,2022-05-27,2022,High Altitude Medicine &amp; Biology,1557-8682,1527-0297,False,False,Mary Ann Liebert Inc,False,closed,False,[],[],2022-05-31T21:02:15.879935,2,"[{'ORCID': 'http://orcid.org/0000-0002-9999-1312', 'given': 'Zhaowei', 'family': 'Kong', 'sequence': 'first', 'affiliation': [{'name': 'Faculty of Education, University of Macau, Macao, China.'}], 'authenticated-orcid': False}, {'given': 'Qian', 'family': 'Yu', 'sequence': 'additional', 'affiliation': [{'name': 'Faculty of Education, University of Macau, Macao, China.'}]}, {'given': 'Shengyan', 'family': 'Sun', 'sequence': 'additional', 'affiliation': [{'name': 'Institute of Physical Education, Huzhou University, Huzhou, China.'}]}, {'given': 'On Kei', 'family': 'Lei', 'sequence': 'additional', 'affiliation': [{'name': 'Faculty of Education, University of Macau, Macao, China.'}]}, {'given': 'Yu', 'family': 'Tian', 'sequence': 'additional', 'affiliation': [{'name': 'Faculty of Education, University of Macau, Macao, China.'}]}, {'given': 'Qingde', 'family': 'Shi', 'sequence': 'additional', 'affiliation': [{'name': 'School of Health Sciences and Sports, Macao Polytechnic Institute, Macao, China.'}]}, {'ORCID': 'http://orcid.org/0000-0003-2326-3615', 'given': 'Jinlei', 'family': 'Nie', 'sequence': 'additional', 'affiliation': [{'name': 'School of Health Sciences and Sports, Macao Polytechnic Institute, Macao, China.'}], 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-5232-3632', 'given': 'Martin', 'family': 'Burtscher', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Sport Science, University of Innsbruck, Innsbruck, Austria.'}], 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1530/joe-22-0057,https://doi.org/10.1530/joe-22-0057,PHYSICAL EXERCISE IMPROVES MITOCHONDRIAL FUNCTION IN OVARIECTOMIZED RATS,journal-article,False,2022-05-01,2022,Journal of Endocrinology,"0022-0795,1479-6805",0022-0795,False,False,Bioscientifica,False,closed,False,[],[],2022-05-30T21:01:20.306972,2,"[{'given': 'Daniele Leão', 'family': 'Ignacio', 'sequence': 'first', 'affiliation': [{'name': 'D Ignacio, School of Physical Education and Sports, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil'}]}, {'given': 'Rodrigo Soares', 'family': 'Fortunato', 'sequence': 'additional', 'affiliation': [{'name': 'R Fortunato, Institute of Biophysics Carlos Chagas Filho, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil'}]}, {'given': 'Diego', 'family': 'Silvestre', 'sequence': 'additional', 'affiliation': [{'name': 'D Silvestre, Nutrition Institute, Federal University of Rio de Janeiro, Rio de Janeiro, 21941-902, Brazil'}]}, {'given': 'Leonardo', 'family': 'Matta', 'sequence': 'additional', 'affiliation': [{'name': 'L Matta, Institute of Biophysics Carlos Chagas Filho, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil'}]}, {'given': 'Andressa Lima de', 'family': 'Vansconcelos', 'sequence': 'additional', 'affiliation': [{'name': 'A Vansconcelos, Institute of Biophysics Carlos Chagas Filho, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil'}]}, {'given': 'Denise Pires', 'family': 'Carvalho', 'sequence': 'additional', 'affiliation': [{'name': 'D Carvalho, Institute of Biophysics Carlos Chagas Filho, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil'}]}, {'given': 'Antonio', 'family': 'Galina', 'sequence': 'additional', 'affiliation': [{'name': 'A Galina, Institute of Medical Biochemistry, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil'}]}, {'given': 'João Pedro', 'family': 'Werneck-de-Castro', 'sequence': 'additional', 'affiliation': [{'name': 'J Werneck-de-Castro, Institute of Biophysics Carlos Chagas Filho, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil'}]}, {'given': 'João Paulo', 'family': 'Cavalcanti-de-Albuquerque', 'sequence': 'additional', 'affiliation': [{'name': 'J Cavalcanti-de-Albuquerque, Institute of Biophysics Carlos Chagas Filho, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1519/jsc.0000000000004259,https://doi.org/10.1519/jsc.0000000000004259,Contribution of Lean Mass Distribution on Aerobic Fitness and Performance in NCAA Division I Female Rowers,journal-article,False,2022-04-29,2022,Journal of Strength and Conditioning Research,1064-8011,1064-8011,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,[],[],2022-05-05T21:01:29.664626,2,"[{'given': 'Kristin', 'family': 'Haraldsdottir', 'sequence': 'first'}, {'given': 'Jennifer', 'family': 'Sanfilippo', 'sequence': 'additional'}, {'given': 'Samantha', 'family': 'Dawes', 'sequence': 'additional'}, {'given': 'Andrew', 'family': 'Watson', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1519/jsc.0000000000003722,https://doi.org/10.1519/jsc.0000000000003722,Effects of 2.4 kg of Proximal External Loading on 5-km Running Performance,journal-article,False,2020-09-02,2020,Journal of Strength and Conditioning Research,1064-8011,1064-8011,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,[],[],2021-01-16T14:01:37.067480,2,"[{'given': 'Dylan W.', 'family': 'Sharp', 'sequence': 'first'}, {'given': 'Jonathan C.', 'family': 'Swain', 'sequence': 'additional'}, {'given': 'Tara G.', 'family': 'Boy', 'sequence': 'additional'}, {'given': 'Lauren G.', 'family': 'Killen', 'sequence': 'additional'}, {'given': 'James M.', 'family': 'Green', 'sequence': 'additional'}, {'given': 'Eric K.', 'family': ""O'Neal"", 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1519/jsc.0000000000003743,https://doi.org/10.1519/jsc.0000000000003743,"Muscular Activation Patterns During Exercise on the Treadmill, Stepper, and Elliptical Trainer",journal-article,False,2020-08-31,2020,Journal of Strength and Conditioning Research,1064-8011,1064-8011,False,False,Ovid Technologies (Wolters Kluwer Health),False,closed,False,[],[],2021-01-19T14:35:41.795356,2,"[{'given': 'Maaike M.', 'family': 'Eken', 'sequence': 'first'}, {'given': 'Adrian', 'family': 'Withers', 'sequence': 'additional'}, {'given': 'Kirsten', 'family': 'Flanagan', 'sequence': 'additional'}, {'given': 'Jana', 'family': 'Burger', 'sequence': 'additional'}, {'given': 'Andrew', 'family': 'Bosch', 'sequence': 'additional'}, {'given': 'Robert P.', 'family': 'Lamberts', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1096/fj.202200509r,https://doi.org/10.1096/fj.202200509r,Cerebrospinal fluid and plasma metabolomics of acute endurance exercise,journal-article,False,2022-06-17,2022,The FASEB Journal,"0892-6638,1530-6860",0892-6638,False,False,Wiley,True,hybrid,False,"[{'updated': '2022-06-28T16:54:12.236281', 'url': 'https://onlinelibrary.wiley.com/doi/pdfdirect/10.1096/fj.202200509R', 'url_for_pdf': 'https://onlinelibrary.wiley.com/doi/pdfdirect/10.1096/fj.202200509R', 'url_for_landing_page': 'https://doi.org/10.1096/fj.202200509r', 'evidence': 'open (via crossref license)', 'license': 'cc-by-nc-nd', 'version': 'publishedVersion', 'host_type': 'publisher', 'is_best': True, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': '2022-06-17'}]",[],2022-06-18T21:05:29.483315,2,"[{'given': 'Kefeng', 'family': 'Li', 'sequence': 'first', 'affiliation': [{'name': 'The Mitochondrial and Metabolic Disease Center University of California, San Diego School of Medicine  San Diego California USA'}, {'name': 'Department of Medicine University of California, San Diego School of Medicine  San Diego California USA'}]}, {'given': 'Martin', 'family': 'Schön', 'sequence': 'additional', 'affiliation': [{'name': 'Institute of Experimental Endocrinology, Biomedical Research Center Slovak Academy of Sciences  Bratislava Slovakia'}]}, {'given': 'Jane C.', 'family': 'Naviaux', 'sequence': 'additional', 'affiliation': [{'name': 'The Mitochondrial and Metabolic Disease Center University of California, San Diego School of Medicine  San Diego California USA'}, {'name': 'Department of Neurosciences University of California, San Diego School of Medicine  San Diego California USA'}]}, {'given': 'Jonathan M.', 'family': 'Monk', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Bioengineering University of California, San Diego School of Medicine  San Diego California USA'}]}, {'given': 'Nikoleta', 'family': 'Alchus‐Laiferová', 'sequence': 'additional', 'affiliation': [{'name': 'Institute of Experimental Endocrinology, Biomedical Research Center Slovak Academy of Sciences  Bratislava Slovakia'}, {'name': 'Institute of Pathophysiology, Faculty of Medicine Comenius University  Bratislava Slovakia'}]}, {'given': 'Lin', 'family': 'Wang', 'sequence': 'additional', 'affiliation': [{'name': 'The Mitochondrial and Metabolic Disease Center University of California, San Diego School of Medicine  San Diego California USA'}, {'name': 'Department of Medicine University of California, San Diego School of Medicine  San Diego California USA'}]}, {'given': 'Igor', 'family': 'Straka', 'sequence': 'additional', 'affiliation': [{'name': '2nd Department of Neurology, Faculty of Medicine Comenius University and University Hospital Bratislava  Bratislava Slovakia'}]}, {'given': 'Peter', 'family': 'Matejička', 'sequence': 'additional', 'affiliation': [{'name': '2nd Department of Neurology, Faculty of Medicine Comenius University and University Hospital Bratislava  Bratislava Slovakia'}]}, {'given': 'Peter', 'family': 'Valkovič', 'sequence': 'additional', 'affiliation': [{'name': '2nd Department of Neurology, Faculty of Medicine Comenius University and University Hospital Bratislava  Bratislava Slovakia'}, {'name': 'Centre of Experimental Medicine, Institute of Normal and Pathological Physiology Slovak Academy of Sciences  Bratislava Slovakia'}]}, {'given': 'Jozef', 'family': 'Ukropec', 'sequence': 'additional', 'affiliation': [{'name': 'Institute of Experimental Endocrinology, Biomedical Research Center Slovak Academy of Sciences  Bratislava Slovakia'}]}, {'given': 'Mark A.', 'family': 'Tarnopolsky', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Pediatrics McMaster University  Hamilton Ontario Canada'}]}, {'ORCID': 'http://orcid.org/0000-0001-5832-2297', 'given': 'Robert\xa0K.', 'family': 'Naviaux', 'sequence': 'additional', 'affiliation': [{'name': 'The Mitochondrial and Metabolic Disease Center University of California, San Diego School of Medicine  San Diego California USA'}, {'name': 'Department of Medicine University of California, San Diego School of Medicine  San Diego California USA'}, {'name': 'Department of Pediatrics University of California, San Diego School of Medicine  San Diego California USA'}, {'name': 'Department of Pathology University of California, San Diego School of Medicine  San Diego California USA'}], 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-3309-7713', 'given': 'Barbara', 'family': 'Ukropcová', 'sequence': 'additional', 'affiliation': [{'name': 'Institute of Experimental Endocrinology, Biomedical Research Center Slovak Academy of Sciences  Bratislava Slovakia'}, {'name': 'Institute of Pathophysiology, Faculty of Medicine Comenius University  Bratislava Slovakia'}], 'authenticated-orcid': False}]",2022-06-28T16:54:12.236281,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1096/fj.202200509R,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1096/fj.202200509R,https://doi.org/10.1096/fj.202200509r,open (via crossref license),cc-by-nc-nd,publishedVersion,publisher,True,,,,2022-06-17,2022-06-28T16:54:12.236281,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1096/fj.202200509R,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1096/fj.202200509R,https://doi.org/10.1096/fj.202200509r,open (via crossref license),cc-by-nc-nd,publishedVersion,publisher,True,,,,2022-06-17,,
10.1089/ham.2021.0114,https://doi.org/10.1089/ham.2021.0114,CO<sub>2</sub>-Enriched Air Inhalation Modulates the Ventilatory and Metabolic Responses of Endurance Runners During Incremental Running Under Hypobaric Hypoxia,journal-article,False,2022-05-25,2022,High Altitude Medicine &amp; Biology,1557-8682,1527-0297,False,False,Mary Ann Liebert Inc,False,closed,False,[],[],2022-05-26T21:02:57.307567,2,"[{'ORCID': 'http://orcid.org/0000-0003-2323-3707', 'given': 'Yinhang', 'family': 'Cao', 'sequence': 'first', 'affiliation': [{'name': 'School of Physical Education and Sport Training, Shanghai University of Sport, Shanghai, China.'}, {'name': 'Faculty of Health and Sport Sciences, University of Tsukuba, Tsukuba City, Japan.'}], 'authenticated-orcid': False}, {'given': 'Naoto', 'family': 'Fujii', 'sequence': 'additional', 'affiliation': [{'name': 'Faculty of Health and Sport Sciences, University of Tsukuba, Tsukuba City, Japan.'}]}, {'given': 'Tomomi', 'family': 'Fujimoto', 'sequence': 'additional', 'affiliation': [{'name': 'Faculty of Health and Sport Sciences, University of Tsukuba, Tsukuba City, Japan.'}, {'name': 'Department of Health and Sports, Niigata University of Health and Welfare, Niigata, Japan.'}]}, {'given': 'Yin-Feng', 'family': 'Lai', 'sequence': 'additional', 'affiliation': [{'name': 'Faculty of Health and Sport Sciences, University of Tsukuba, Tsukuba City, Japan.'}]}, {'given': 'Takeshi', 'family': 'Ogawa', 'sequence': 'additional', 'affiliation': [{'name': 'Division of Art, Music, and Physical Education, Osaka Kyoiku University, Osaka, Japan.'}]}, {'given': 'Tsutomu', 'family': 'Hiroyama', 'sequence': 'additional', 'affiliation': [{'name': 'Faculty of Health and Sport Sciences, University of Tsukuba, Tsukuba City, Japan.'}]}, {'given': 'Yasushi', 'family': 'Enomoto', 'sequence': 'additional', 'affiliation': [{'name': 'Faculty of Health and Sport Sciences, University of Tsukuba, Tsukuba City, Japan.'}]}, {'ORCID': 'http://orcid.org/0000-0002-6040-7756', 'given': 'Takeshi', 'family': 'Nishiyasu', 'sequence': 'additional', 'affiliation': [{'name': 'Faculty of Health and Sport Sciences, University of Tsukuba, Tsukuba City, Japan.'}], 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3390/ijerph19106176,https://doi.org/10.3390/ijerph19106176,The Cardiorespiratory Demands of Treadmill Walking with and without the Use of Ekso GT™ within Able-Bodied Participants: A Feasibility Study,journal-article,False,2022-05-19,2022,International Journal of Environmental Research and Public Health,1660-4601,1660-4601,True,True,MDPI AG,True,gold,True,"[{'updated': '2022-06-28T16:54:15.667763', 'url': 'https://www.mdpi.com/1660-4601/19/10/6176/pdf?version=1652955045', 'url_for_pdf': 'https://www.mdpi.com/1660-4601/19/10/6176/pdf?version=1652955045', 'url_for_landing_page': 'https://doi.org/10.3390/ijerph19106176', 'evidence': 'oa journal (via doaj)', 'license': 'cc-by', 'version': 'publishedVersion', 'host_type': 'publisher', 'is_best': True, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': '2022-05-19'}, {'updated': '2022-06-15T15:06:32.161311', 'url': 'https://pure.ulster.ac.uk/ws/files/101325596/ijerph-19-06176.pdf', 'url_for_pdf': 'https://pure.ulster.ac.uk/ws/files/101325596/ijerph-19-06176.pdf', 'url_for_landing_page': 'https://pure.ulster.ac.uk/en/publications/02d92588-333a-42db-8fb5-bcd98783869e', 'evidence': 'oa repository (via OAI-PMH doi match)', 'license': 'cc-by', 'version': 'publishedVersion', 'host_type': 'repository', 'is_best': False, 'pmh_id': 'oai:pure.atira.dk:publications/02d92588-333a-42db-8fb5-bcd98783869e', 'endpoint_id': '6ntnprprry2ken64tj4q', 'repository_institution': 'Ulster University - Ulster University Research Portal', 'oa_date': '2022-05-24'}, {'updated': '2022-06-28T16:54:15.667875', 'url': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9141321', 'url_for_pdf': None, 'url_for_landing_page': 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9141321', 'evidence': 'oa repository (via pmcid lookup)', 'license': None, 'version': 'publishedVersion', 'host_type': 'repository', 'is_best': False, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': None}]",[],2022-06-19T03:29:55.756518,2,"[{'ORCID': 'http://orcid.org/0000-0002-8374-0957', 'given': 'Damien', 'family': 'Duddy', 'sequence': 'first', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-7808-1715', 'given': 'Rónán', 'family': 'Doherty', 'sequence': 'additional', 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-7970-1699', 'given': 'James', 'family': 'Connolly', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'Johnny', 'family': 'Loughrey', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0002-3517-2182', 'given': 'Joan', 'family': 'Condell', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'David', 'family': 'Hassan', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0003-4845-1401', 'given': 'Maria', 'family': 'Faulkner', 'sequence': 'additional', 'authenticated-orcid': False}]",2022-06-28T16:54:15.667763,https://www.mdpi.com/1660-4601/19/10/6176/pdf?version=1652955045,https://www.mdpi.com/1660-4601/19/10/6176/pdf?version=1652955045,https://doi.org/10.3390/ijerph19106176,oa journal (via doaj),cc-by,publishedVersion,publisher,True,,,,2022-05-19,2022-06-28T16:54:15.667763,https://www.mdpi.com/1660-4601/19/10/6176/pdf?version=1652955045,https://www.mdpi.com/1660-4601/19/10/6176/pdf?version=1652955045,https://doi.org/10.3390/ijerph19106176,oa journal (via doaj),cc-by,publishedVersion,publisher,True,,,,2022-05-19,,
10.1016/j.arbr.2020.09.011,https://doi.org/10.1016/j.arbr.2020.09.011,Prediction Equations for Maximal Aerobic Capacity on Cycle Ergometer for the Spanish Adult Population,journal-article,False,2021-07-01,2021,Archivos de Bronconeumología (English Edition),1579-2129,0300-2896,False,False,Elsevier BV,False,closed,False,[],[],2021-07-01T21:01:42.560819,2,"[{'given': 'Luis', 'family': 'Puente-Maestú', 'sequence': 'first'}, {'given': 'Francisco', 'family': 'Ortega', 'sequence': 'additional'}, {'given': 'Julia Garcia de', 'family': 'Pedro', 'sequence': 'additional'}, {'given': 'María Jesús', 'family': 'Rodríguez-Nieto', 'sequence': 'additional'}, {'given': 'Julio', 'family': 'Gómez-Seco', 'sequence': 'additional'}, {'given': 'Batxi', 'family': 'Gáldiz', 'sequence': 'additional'}, {'given': 'Iñigo', 'family': 'Ojanguren', 'sequence': 'additional'}, {'given': 'Xavier', 'family': 'Muñoz', 'sequence': 'additional'}, {'given': 'Isabel', 'family': 'Blanco', 'sequence': 'additional'}, {'given': 'Felip', 'family': 'Burgos', 'sequence': 'additional'}, {'given': 'Diego A.', 'family': 'Rodríguez-Chiaradía', 'sequence': 'additional'}, {'given': 'Joaquim', 'family': 'Gea', 'sequence': 'additional'}, {'given': 'Francisco', 'family': 'García-Rio', 'sequence': 'additional'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
