doi,doi_url,title,genre,is_paratext,published_date,year,journal_name,journal_issns,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa,oa_status,has_repository_copy,best_oa_location,first_oa_location,oa_locations,oa_locations_embargoed,updated,data_standard,z_authors,best_oa_location.updated,best_oa_location.url,best_oa_location.url_for_pdf,best_oa_location.url_for_landing_page,best_oa_location.evidence,best_oa_location.license,best_oa_location.version,best_oa_location.host_type,best_oa_location.is_best,best_oa_location.pmh_id,best_oa_location.endpoint_id,best_oa_location.repository_institution,best_oa_location.oa_date,first_oa_location.updated,first_oa_location.url,first_oa_location.url_for_pdf,first_oa_location.url_for_landing_page,first_oa_location.evidence,first_oa_location.license,first_oa_location.version,first_oa_location.host_type,first_oa_location.is_best,first_oa_location.pmh_id,first_oa_location.endpoint_id,first_oa_location.repository_institution,first_oa_location.oa_date,status_code,error_0,error_1,status_code_0,status_code_1
10.1016/j.apergo.2022.103784,https://doi.org/10.1016/j.apergo.2022.103784,Physiological stress in flat and uphill walking with different backpack loads in professional mountain rescue crews,journal-article,False,9/1/22,2022.0,Applied Ergonomics,0003-6870,0003-6870,False,False,Elsevier BV,True,hybrid,False,,,"[{'updated': '2022-05-23T23:37:36.485926', 'url': 'https://doi.org/10.1016/j.apergo.2022.103784', 'url_for_pdf': None, 'url_for_landing_page': 'https://doi.org/10.1016/j.apergo.2022.103784', 'evidence': 'open (via crossref license)', 'license': 'cc-by-nc-nd', 'version': 'publishedVersion', 'host_type': 'publisher', 'is_best': True, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': '2022-04-25'}]",[],2022-04-28T21:02:06.058016,2,"[{'ORCID': 'http://orcid.org/0000-0002-7939-297X', 'given': 'Aitor', 'family': 'Pinedo-Jauregi', 'sequence': 'first', 'authenticated-orcid': False}, {'given': 'Tyler', 'family': 'Quinn', 'sequence': 'additional'}, {'given': 'Aitor', 'family': 'Coca', 'sequence': 'additional'}, {'given': 'Gaizka', 'family': 'Mejuto', 'sequence': 'additional'}, {'given': 'Jesús', 'family': 'Cámara', 'sequence': 'additional'}]",2022-05-23T23:37:36.485926,https://doi.org/10.1016/j.apergo.2022.103784,,https://doi.org/10.1016/j.apergo.2022.103784,open (via crossref license),cc-by-nc-nd,publishedVersion,publisher,True,,,,4/25/22,2022-05-23T23:37:36.485926,https://doi.org/10.1016/j.apergo.2022.103784,,https://doi.org/10.1016/j.apergo.2022.103784,open (via crossref license),cc-by-nc-nd,publishedVersion,publisher,True,,,,4/25/22,No URL available from unpaywall,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,,
10.1177/19417381211050643,https://doi.org/10.1177/19417381211050643,"Effects of Heat Acclimatization, Heat Acclimation, and Intermittent Exercise Heat Training on Time-Trial Performance",journal-article,False,10/27/21,2021.0,Sports Health: A Multidisciplinary Approach,"1941-7381,1941-0921",1941-0921,False,False,SAGE Publications,True,bronze,False,,,"[{'updated': '2022-05-07T18:37:58.559601', 'url': 'https://journals.sagepub.com/doi/pdf/10.1177/19417381211050643', 'url_for_pdf': 'https://journals.sagepub.com/doi/pdf/10.1177/19417381211050643', 'url_for_landing_page': 'https://doi.org/10.1177/19417381211050643', 'evidence': 'open (via free pdf)', 'license': None, 'version': 'publishedVersion', 'host_type': 'publisher', 'is_best': True, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': None}]",[],2022-05-07T18:38:48.591266,2,"[{'given': 'Yasuki', 'family': 'Sekiguchi', 'sequence': 'first'}, {'given': 'Courteney L.', 'family': 'Benjamin', 'sequence': 'additional'}, {'given': 'Ciara N.', 'family': 'Manning', 'sequence': 'additional'}, {'given': 'Jeb F.', 'family': 'Struder', 'sequence': 'additional'}, {'given': 'Lawrence E.', 'family': 'Armstrong', 'sequence': 'additional'}, {'given': 'Elaine C.', 'family': 'Lee', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0003-2174-8088', 'given': 'Robert A.', 'family': 'Huggins', 'sequence': 'additional', 'authenticated-orcid': False}, {'given': 'Rebecca L.', 'family': 'Stearns', 'sequence': 'additional'}, {'given': 'Lindsay J.', 'family': 'Distefano', 'sequence': 'additional'}, {'given': 'Douglas J.', 'family': 'Casa', 'sequence': 'additional'}]",2022-05-07T18:37:58.559601,https://journals.sagepub.com/doi/pdf/10.1177/19417381211050643,https://journals.sagepub.com/doi/pdf/10.1177/19417381211050643,https://doi.org/10.1177/19417381211050643,open (via free pdf),,publishedVersion,publisher,True,,,,,2022-05-07T18:37:58.559601,https://journals.sagepub.com/doi/pdf/10.1177/19417381211050643,https://journals.sagepub.com/doi/pdf/10.1177/19417381211050643,https://doi.org/10.1177/19417381211050643,open (via free pdf),,publishedVersion,publisher,True,,,,,No URL available from unpaywall,,,503.0,503.0
10.1249/mss.0000000000002885,https://doi.org/10.1249/mss.0000000000002885,Effects of Aerodynamic Drag and Drafting on Propulsive Force and Oxygen Consumption in Double Poling Cross-country Skiing,journal-article,False,2/8/22,2022.0,Medicine & Science in Sports & Exercise,0195-9131,0195-9131,False,False,Ovid Technologies (Wolters Kluwer Health),True,hybrid,False,,,"[{'updated': '2022-03-27T15:01:24.750406', 'url': 'https://journals.lww.com/acsm-msse/Abstract/9000/Effects_of_Aerodynamic_Drag_and_Drafting_on.95865.aspx', 'url_for_pdf': None, 'url_for_landing_page': 'https://journals.lww.com/acsm-msse/Abstract/9000/Effects_of_Aerodynamic_Drag_and_Drafting_on.95865.aspx', 'evidence': 'open (via page says license)', 'license': 'cc-by-nc-nd', 'version': 'publishedVersion', 'host_type': 'publisher', 'is_best': True, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': '2022-02-08'}]",[],2022-02-10T21:42:21.739949,2,"[{'given': 'Mats', 'family': 'Ainegren', 'sequence': 'first'}, {'given': 'Vesa', 'family': 'Linnamo', 'sequence': 'additional'}, {'given': 'Stefan', 'family': 'Lindinger', 'sequence': 'additional'}]",2022-03-27T15:01:24.750406,https://journals.lww.com/acsm-msse/Abstract/9000/Effects_of_Aerodynamic_Drag_and_Drafting_on.95865.aspx,,https://journals.lww.com/acsm-msse/Abstract/9000/Effects_of_Aerodynamic_Drag_and_Drafting_on.95865.aspx,open (via page says license),cc-by-nc-nd,publishedVersion,publisher,True,,,,2/8/22,2022-03-27T15:01:24.750406,https://journals.lww.com/acsm-msse/Abstract/9000/Effects_of_Aerodynamic_Drag_and_Drafting_on.95865.aspx,,https://journals.lww.com/acsm-msse/Abstract/9000/Effects_of_Aerodynamic_Drag_and_Drafting_on.95865.aspx,open (via page says license),cc-by-nc-nd,publishedVersion,publisher,True,,,,2/8/22,No URL available from unpaywall,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,,
10.1016/j.jshs.2021.10.004,https://doi.org/10.1016/j.jshs.2021.10.004,"Metabolic cost of level, uphill, and downhill running in highly-cushioned shoes with carbon fiber plates",journal-article,False,11/1/21,2021.0,Journal of Sport and Health Science,2095-2546,2213-2961,True,True,Elsevier BV,True,gold,False,,,"[{'updated': '2022-05-23T23:39:03.541044', 'url': 'https://doi.org/10.1016/j.jshs.2021.10.004', 'url_for_pdf': None, 'url_for_landing_page': 'https://doi.org/10.1016/j.jshs.2021.10.004', 'evidence': 'oa journal (via doaj)', 'license': 'cc-by-nc-nd', 'version': 'publishedVersion', 'host_type': 'publisher', 'is_best': True, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': '2021-11-01'}]",[],2021-11-04T21:04:53.924298,2,"[{'given': 'Clarissa S.', 'family': 'Whiting', 'sequence': 'first'}, {'given': 'Wouter', 'family': 'Hoogkamer', 'sequence': 'additional'}, {'given': 'Rodger', 'family': 'Kram', 'sequence': 'additional'}]",2022-05-23T23:39:03.541044,https://doi.org/10.1016/j.jshs.2021.10.004,,https://doi.org/10.1016/j.jshs.2021.10.004,oa journal (via doaj),cc-by-nc-nd,publishedVersion,publisher,True,,,,11/1/21,2022-05-23T23:39:03.541044,https://doi.org/10.1016/j.jshs.2021.10.004,,https://doi.org/10.1016/j.jshs.2021.10.004,oa journal (via doaj),cc-by-nc-nd,publishedVersion,publisher,True,,,,11/1/21,No URL available from unpaywall,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,,
10.1016/j.ecoenv.2021.112978,https://doi.org/10.1016/j.ecoenv.2021.112978,"Exposure to acetochlor impairs swim bladder formation, induces heat shock protein expression, and promotes locomotor activity in zebrafish (Danio rerio) larvae",journal-article,False,12/1/21,2021.0,Ecotoxicology and Environmental Safety,0147-6513,0147-6513,True,True,Elsevier BV,True,gold,False,,,"[{'updated': '2022-05-23T23:39:18.770526', 'url': 'https://doi.org/10.1016/j.ecoenv.2021.112978', 'url_for_pdf': None, 'url_for_landing_page': 'https://doi.org/10.1016/j.ecoenv.2021.112978', 'evidence': 'oa journal (via doaj)', 'license': 'cc-by-nc-nd', 'version': 'publishedVersion', 'host_type': 'publisher', 'is_best': True, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': '2021-12-01'}]",[],2021-12-22T21:24:49.476267,2,"[{'given': 'Tao', 'family': 'Huang', 'sequence': 'first'}, {'given': 'Shuo', 'family': 'Wang', 'sequence': 'additional'}, {'given': 'Christopher L.', 'family': 'Souders', 'suffix': 'II', 'sequence': 'additional'}, {'given': 'Emma', 'family': 'Ivantsova', 'sequence': 'additional'}, {'given': 'Andrew', 'family': 'Wengrovitz', 'sequence': 'additional'}, {'given': 'Jade', 'family': 'Ganter', 'sequence': 'additional'}, {'given': 'Yuan H.', 'family': 'Zhao', 'sequence': 'additional'}, {'given': 'Hongguang', 'family': 'Cheng', 'sequence': 'additional'}, {'given': 'Christopher J.', 'family': 'Martyniuk', 'sequence': 'additional'}]",2022-05-23T23:39:18.770526,https://doi.org/10.1016/j.ecoenv.2021.112978,,https://doi.org/10.1016/j.ecoenv.2021.112978,oa journal (via doaj),cc-by-nc-nd,publishedVersion,publisher,True,,,,12/1/21,2022-05-23T23:39:18.770526,https://doi.org/10.1016/j.ecoenv.2021.112978,,https://doi.org/10.1016/j.ecoenv.2021.112978,oa journal (via doaj),cc-by-nc-nd,publishedVersion,publisher,True,,,,12/1/21,No URL available from unpaywall,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,,
10.1007/s11764-021-01115-6,https://doi.org/10.1007/s11764-021-01115-6,Physiological and psychosocial correlates of cancer-related fatigue,journal-article,False,10/5/21,2021.0,Journal of Cancer Survivorship,"1932-2259,1932-2267",1932-2259,False,False,Springer Science and Business Media LLC,True,green,True,,,"[{'updated': None, 'url': 'https://doi.org/10.1101/2020.10.14.20212589', 'url_for_pdf': None, 'url_for_landing_page': 'https://doi.org/10.1101/2020.10.14.20212589', 'evidence': 'oa repository (via OAI-PMH title and first author match)', 'license': None, 'version': 'submittedVersion', 'host_type': 'repository', 'is_best': True, 'pmh_id': None, 'endpoint_id': 'gwydfmmgqtojcs3hvzsa', 'repository_institution': 'Cold Spring Harbor Laboratory - medRxiv', 'oa_date': None}]",[],2021-10-05T21:05:03.456001,2,"[{'given': 'Callum G.', 'family': 'Brownstein', 'sequence': 'first'}, {'given': 'Rosemary', 'family': 'Twomey', 'sequence': 'additional'}, {'given': 'John', 'family': 'Temesi', 'sequence': 'additional'}, {'given': 'James G.', 'family': 'Wrightson', 'sequence': 'additional'}, {'given': 'Tristan', 'family': 'Martin', 'sequence': 'additional'}, {'given': 'Mary E.', 'family': 'Medysky', 'sequence': 'additional'}, {'given': 'S. Nicole', 'family': 'Culos-Reed', 'sequence': 'additional'}, {'ORCID': 'http://orcid.org/0000-0002-6395-0762', 'given': 'Guillaume Y.', 'family': 'Millet', 'sequence': 'additional', 'authenticated-orcid': False}]",,https://doi.org/10.1101/2020.10.14.20212589,,https://doi.org/10.1101/2020.10.14.20212589,oa repository (via OAI-PMH title and first author match),,submittedVersion,repository,True,,gwydfmmgqtojcs3hvzsa,Cold Spring Harbor Laboratory - medRxiv,,,https://doi.org/10.1101/2020.10.14.20212589,,https://doi.org/10.1101/2020.10.14.20212589,oa repository (via OAI-PMH title and first author match),,submittedVersion,repository,True,,gwydfmmgqtojcs3hvzsa,Cold Spring Harbor Laboratory - medRxiv,,No URL available from unpaywall,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,,
10.1016/j.jshs.2020.11.012,https://doi.org/10.1016/j.jshs.2020.11.012,"Metabolic and performance responses of male runners wearing 3 types of footwear: Nike Vaporfly 4%, Saucony Endorphin racing flats, and their own shoes",journal-article,False,11/1/20,2020.0,Journal of Sport and Health Science,2095-2546,2213-2961,True,True,Elsevier BV,True,gold,False,,,"[{'updated': '2022-05-23T23:40:09.060622', 'url': 'https://doi.org/10.1016/j.jshs.2020.11.012', 'url_for_pdf': None, 'url_for_landing_page': 'https://doi.org/10.1016/j.jshs.2020.11.012', 'evidence': 'oa journal (via doaj)', 'license': 'cc-by-nc-nd', 'version': 'publishedVersion', 'host_type': 'publisher', 'is_best': True, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': '2020-11-01'}]",[],2021-01-14T20:29:14.439405,2,"[{'given': 'Kim', 'family': 'Hébert-Losier', 'sequence': 'first'}, {'given': 'Steven J.', 'family': 'Finlayson', 'sequence': 'additional'}, {'given': 'Matthew W.', 'family': 'Driller', 'sequence': 'additional'}, {'given': 'Blaise', 'family': 'Dubois', 'sequence': 'additional'}, {'given': 'Jean-François', 'family': 'Esculier', 'sequence': 'additional'}, {'given': 'Christopher Martyn', 'family': 'Beaven', 'sequence': 'additional'}]",2022-05-23T23:40:09.060622,https://doi.org/10.1016/j.jshs.2020.11.012,,https://doi.org/10.1016/j.jshs.2020.11.012,oa journal (via doaj),cc-by-nc-nd,publishedVersion,publisher,True,,,,11/1/20,2022-05-23T23:40:09.060622,https://doi.org/10.1016/j.jshs.2020.11.012,,https://doi.org/10.1016/j.jshs.2020.11.012,oa journal (via doaj),cc-by-nc-nd,publishedVersion,publisher,True,,,,11/1/20,No URL available from unpaywall,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,,
10.1016/j.arbres.2020.09.014,https://doi.org/10.1016/j.arbres.2020.09.014,Prediction Equations for Maximal Aerobic Capacity on Cycle Ergometer for the Spanish Adult Population,journal-article,False,7/1/21,2021.0,Archivos de Bronconeumología,0300-2896,0300-2896,False,False,Elsevier BV,True,bronze,False,,,"[{'updated': '2022-02-26T10:38:15.708071', 'url': 'https://doi.org/10.1016/j.arbres.2020.09.014', 'url_for_pdf': None, 'url_for_landing_page': 'https://doi.org/10.1016/j.arbres.2020.09.014', 'evidence': 'open (via free article)', 'license': None, 'version': 'publishedVersion', 'host_type': 'publisher', 'is_best': True, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': None}]",[],2022-02-26T10:38:31.051417,2,"[{'given': 'Luis', 'family': 'Puente-Maestú', 'sequence': 'first'}, {'given': 'Francisco', 'family': 'Ortega', 'sequence': 'additional'}, {'given': 'Julia Garcia de', 'family': 'Pedro', 'sequence': 'additional'}, {'given': 'María Jesús', 'family': 'Rodríguez-Nieto', 'sequence': 'additional'}, {'given': 'Julio', 'family': 'Gómez-Seco', 'sequence': 'additional'}, {'given': 'Batxi', 'family': 'Gáldiz', 'sequence': 'additional'}, {'given': 'Iñigo', 'family': 'Ojanguren', 'sequence': 'additional'}, {'given': 'Xavier', 'family': 'Muñoz', 'sequence': 'additional'}, {'given': 'Isabel', 'family': 'Blanco', 'sequence': 'additional'}, {'given': 'Felip', 'family': 'Burgos', 'sequence': 'additional'}, {'given': 'Diego A.', 'family': 'Rodríguez-Chiaradía', 'sequence': 'additional'}, {'given': 'Joaquim', 'family': 'Gea', 'sequence': 'additional'}, {'given': 'Francisco', 'family': 'García-Rio', 'sequence': 'additional'}]",2022-02-26T10:38:15.708071,https://doi.org/10.1016/j.arbres.2020.09.014,,https://doi.org/10.1016/j.arbres.2020.09.014,open (via free article),,publishedVersion,publisher,True,,,,,2022-02-26T10:38:15.708071,https://doi.org/10.1016/j.arbres.2020.09.014,,https://doi.org/10.1016/j.arbres.2020.09.014,open (via free article),,publishedVersion,publisher,True,,,,,No URL available from unpaywall,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,,
10.1123/ijspp.2020-0630,https://doi.org/10.1123/ijspp.2020-0630,Intensified Training Supersedes the Impact of Heat and/or Altitude for Increasing Performance in Elite Rugby Union Players,journal-article,False,1/1/20,2020.0,International Journal of Sports Physiology and Performance,"1555-0265,1555-0273",1555-0265,False,False,Human Kinetics,True,green,True,,,"[{'updated': '2022-04-04T22:07:49.537946', 'url': 'https://unisa.alma.exlibrisgroup.com/view/delivery/61USOUTHAUS_INST/12242262210001831', 'url_for_pdf': None, 'url_for_landing_page': 'https://unisa.alma.exlibrisgroup.com/view/delivery/61USOUTHAUS_INST/12242262210001831', 'evidence': 'oa repository (via OAI-PMH doi match)', 'license': None, 'version': 'acceptedVersion', 'host_type': 'repository', 'is_best': True, 'pmh_id': 'oai:urm_publish:9916576451101831', 'endpoint_id': 'mawahayugsex7h7lceyu', 'repository_institution': 'University of South Australia - UniSA Research Outputs Repository', 'oa_date': '2022-03-28'}]",[],2022-04-11T18:57:35.127827,2,"[{'given': 'Sebastien', 'family': 'Racinais', 'sequence': 'first'}, {'given': 'Julien D.', 'family': 'Périard', 'sequence': 'additional'}, {'given': 'Julien', 'family': 'Piscione', 'sequence': 'additional'}, {'given': 'Pitre C.', 'family': 'Bourdon', 'sequence': 'additional'}, {'given': 'Scott', 'family': 'Cocking', 'sequence': 'additional'}, {'given': 'Mohammed', 'family': 'Ihsan', 'sequence': 'additional'}, {'given': 'Mathieu', 'family': 'Lacome', 'sequence': 'additional'}, {'given': 'David', 'family': 'Nichols', 'sequence': 'additional'}, {'given': 'Nathan', 'family': 'Townsend', 'sequence': 'additional'}, {'given': 'Gavin', 'family': 'Travers', 'sequence': 'additional'}, {'given': 'Mathew G.', 'family': 'Wilson', 'sequence': 'additional'}, {'given': 'Olivier', 'family': 'Girard', 'sequence': 'additional'}]",2022-04-04T22:07:49.537946,https://unisa.alma.exlibrisgroup.com/view/delivery/61USOUTHAUS_INST/12242262210001831,,https://unisa.alma.exlibrisgroup.com/view/delivery/61USOUTHAUS_INST/12242262210001831,oa repository (via OAI-PMH doi match),,acceptedVersion,repository,True,oai:urm_publish:9916576451101831,mawahayugsex7h7lceyu,University of South Australia - UniSA Research Outputs Repository,3/28/22,2022-04-04T22:07:49.537946,https://unisa.alma.exlibrisgroup.com/view/delivery/61USOUTHAUS_INST/12242262210001831,,https://unisa.alma.exlibrisgroup.com/view/delivery/61USOUTHAUS_INST/12242262210001831,oa repository (via OAI-PMH doi match),,acceptedVersion,repository,True,oai:urm_publish:9916576451101831,mawahayugsex7h7lceyu,University of South Australia - UniSA Research Outputs Repository,3/28/22,No URL available from unpaywall,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,,
10.1016/j.clinsp.2021.100003,https://doi.org/10.1016/j.clinsp.2021.100003,Cardiopulmonary exercise test in patients with refractory angina: functional and ischemic evaluation,journal-article,False,1/1/22,2022.0,Clinics,1807-5932,1807-5932,True,True,Elsevier BV,True,gold,False,,,"[{'updated': '2022-05-23T23:42:45.523144', 'url': 'https://doi.org/10.1016/j.clinsp.2021.100003', 'url_for_pdf': None, 'url_for_landing_page': 'https://doi.org/10.1016/j.clinsp.2021.100003', 'evidence': 'oa journal (via doaj)', 'license': 'cc-by', 'version': 'publishedVersion', 'host_type': 'publisher', 'is_best': True, 'pmh_id': None, 'endpoint_id': None, 'repository_institution': None, 'oa_date': '2022-01-01'}]",[],2022-02-05T21:01:54.572003,2,"[{'given': 'Camila R.A.', 'family': 'de Assumpção', 'sequence': 'first'}, {'given': 'Danilo M.L.', 'family': 'do Prado', 'sequence': 'additional'}, {'given': 'Camila P.', 'family': 'Jordão', 'sequence': 'additional'}, {'given': 'Luciana O.C.', 'family': 'Dourado', 'sequence': 'additional'}, {'given': 'Marcelo L.C.', 'family': 'Vieira', 'sequence': 'additional'}, {'given': 'Carla G. de S.P.', 'family': 'Montenegro', 'sequence': 'additional'}, {'given': 'Carlos E.', 'family': 'Negrão', 'sequence': 'additional'}, {'given': 'Luís H.W.', 'family': 'Gowdak', 'sequence': 'additional'}, {'given': 'Luciana D.N.J.', 'family': 'De Matos', 'sequence': 'additional'}]",2022-05-23T23:42:45.523144,https://doi.org/10.1016/j.clinsp.2021.100003,,https://doi.org/10.1016/j.clinsp.2021.100003,oa journal (via doaj),cc-by,publishedVersion,publisher,True,,,,1/1/22,2022-05-23T23:42:45.523144,https://doi.org/10.1016/j.clinsp.2021.100003,,https://doi.org/10.1016/j.clinsp.2021.100003,oa journal (via doaj),cc-by,publishedVersion,publisher,True,,,,1/1/22,No URL available from unpaywall,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,Invalid URL 'nan': No scheme supplied. Perhaps you meant http://nan?,,
