doi,CR_status_code,publisher_status_code,error,doi_suffix,doi_url,title,genre,is_paratext,published_date,year,journal_name,journal_issns,journal_issn_l,journal_is_oa,journal_is_in_doaj,publisher,is_oa,oa_status,has_repository_copy,best_oa_location,first_oa_location,oa_locations,oa_locations_embargoed,updated,data_standard,z_authors,best_oa_location.updated,best_oa_location.url,best_oa_location.url_for_pdf,best_oa_location.url_for_landing_page,best_oa_location.evidence,best_oa_location.license,best_oa_location.version,best_oa_location.host_type,best_oa_location.is_best,best_oa_location.pmh_id,best_oa_location.endpoint_id,best_oa_location.repository_institution,best_oa_location.oa_date,first_oa_location.updated,first_oa_location.url,first_oa_location.url_for_pdf,first_oa_location.url_for_landing_page,first_oa_location.evidence,first_oa_location.license,first_oa_location.version,first_oa_location.host_type,first_oa_location.is_best,first_oa_location.pmh_id,first_oa_location.endpoint_id,first_oa_location.repository_institution,first_oa_location.oa_date
10.1113/ep090105,200,503.0,,ep090105,https://doi.org/10.1113/ep090105,NIRS‐derived muscle V̇O <sub>2</sub> kinetics after moderate running exercise in healthy males: reliability and associations with parameters of aerobic fitness,journal-article,False,3/4/22,2022.0,Experimental Physiology,"0958-0670,1469-445X",0958-0670,False,False,Wiley,False,closed,False,,,[],[],2022-03-04T21:10:40.311196,2,"[{'ORCID': 'http://orcid.org/0000-0002-0056-9542', 'given': 'Rafael A.', 'family': 'Aguiar', 'sequence': 'first', 'affiliation': [{'name': 'Human Performance Research Group, College of Health and Sport Science Santa Catarina State University  Florianópolis Brazil'}], 'authenticated-orcid': False}, {'given': 'Tiago', 'family': 'Turnes', 'sequence': 'additional', 'affiliation': [{'name': 'Human Performance Research Group, College of Health and Sport Science Santa Catarina State University  Florianópolis Brazil'}, {'name': 'Physical Effort Laboratory Sports Centre Federal University of Santa Catarina  Florianópolis Brazil'}]}, {'ORCID': 'http://orcid.org/0000-0002-3773-6906', 'given': 'Fernando K.', 'family': 'Borszcz', 'sequence': 'additional', 'affiliation': [{'name': 'Physical Effort Laboratory Sports Centre Federal University of Santa Catarina  Florianópolis Brazil'}], 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-8059-2709', 'given': 'João A. G.', 'family': 'Raimundo', 'sequence': 'additional', 'affiliation': [{'name': 'Human Performance Research Group, College of Health and Sport Science Santa Catarina State University  Florianópolis Brazil'}], 'authenticated-orcid': False}, {'given': 'Fabrizio', 'family': 'Caputo', 'sequence': 'additional', 'affiliation': [{'name': 'Human Performance Research Group, College of Health and Sport Science Santa Catarina State University  Florianópolis Brazil'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1111/acer.14742,200,503.0,,acer.14742,https://doi.org/10.1111/acer.14742,The impact of intermittent exercise on mouse ethanol drinking and abstinence‐associated affective behavior and physiology,journal-article,False,11/23/21,2021.0,Alcoholism: Clinical and Experimental Research,"0145-6008,1530-0277",0145-6008,False,False,Wiley,False,closed,False,,,[],[],2022-02-19T06:27:05.182947,2,"[{'ORCID': 'http://orcid.org/0000-0002-3941-7677', 'given': 'Samuel W.', 'family': 'Centanni', 'sequence': 'first', 'affiliation': [{'name': 'Vanderbilt Center for Addiction Research Vanderbilt University School of Medicine  Nashville Tennessee USA'}, {'name': 'Department of Molecular Physiology &amp; Biophysics Vanderbilt University School of Medicine  Nashville Tennessee USA'}, {'name': 'The Vanderbilt Brain Institute Vanderbilt University School of Medicine  Nashville Tennessee USA'}, {'name': 'Vanderbilt J.F. Kennedy Center for Research on Human Development Vanderbilt University School of Medicine  Nashville Tennessee USA'}], 'authenticated-orcid': False}, {'given': 'Sara Y.', 'family': 'Conley', 'sequence': 'additional', 'affiliation': [{'name': 'Vanderbilt Center for Addiction Research Vanderbilt University School of Medicine  Nashville Tennessee USA'}]}, {'given': 'Joseph R.', 'family': 'Luchsinger', 'sequence': 'additional', 'affiliation': [{'name': 'Vanderbilt Center for Addiction Research Vanderbilt University School of Medicine  Nashville Tennessee USA'}, {'name': 'Department of Molecular Physiology &amp; Biophysics Vanderbilt University School of Medicine  Nashville Tennessee USA'}, {'name': 'The Vanderbilt Brain Institute Vanderbilt University School of Medicine  Nashville Tennessee USA'}, {'name': 'Vanderbilt J.F. Kennedy Center for Research on Human Development Vanderbilt University School of Medicine  Nashville Tennessee USA'}]}, {'given': 'Louise', 'family': 'Lantier', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Molecular Physiology &amp; Biophysics Vanderbilt University School of Medicine  Nashville Tennessee USA'}, {'name': 'Vanderbilt J.F. Kennedy Center for Research on Human Development Vanderbilt University School of Medicine  Nashville Tennessee USA'}, {'name': 'Department of Psychiatry and Behavioral Sciences Vanderbilt University School of Medicine  Nashville Tennessee USA'}, {'name': 'Mouse Metabolic Phenotyping Center Vanderbilt University School of Medicine  Nashville Tennessee USA'}]}, {'ORCID': 'http://orcid.org/0000-0002-6185-4769', 'given': 'Danny G.', 'family': 'Winder', 'sequence': 'additional', 'affiliation': [{'name': 'Vanderbilt Center for Addiction Research Vanderbilt University School of Medicine  Nashville Tennessee USA'}, {'name': 'Department of Molecular Physiology &amp; Biophysics Vanderbilt University School of Medicine  Nashville Tennessee USA'}, {'name': 'The Vanderbilt Brain Institute Vanderbilt University School of Medicine  Nashville Tennessee USA'}, {'name': 'Vanderbilt J.F. Kennedy Center for Research on Human Development Vanderbilt University School of Medicine  Nashville Tennessee USA'}, {'name': 'Department of Psychiatry and Behavioral Sciences Vanderbilt University School of Medicine  Nashville Tennessee USA'}], 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1111/apha.13785,200,503.0,,apha.13785,https://doi.org/10.1111/apha.13785,Sestrin2 ablation attenuates the exercise‐induced browning of white adipose tissue in C57BL/6J mice,journal-article,False,1/7/22,2022.0,Acta Physiologica,"1748-1708,1748-1716",1748-1708,False,False,Wiley,False,closed,False,,,[],[],2022-01-07T21:00:57.726589,2,"[{'given': 'Lu', 'family': 'Wang', 'sequence': 'first', 'affiliation': [{'name': 'Department of Rehabilitation School of Medical Technology Tianjin Medical University  Tianjin 300070 China'}]}, {'given': 'Xinmeng', 'family': 'Liu', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Rehabilitation School of Medical Technology Tianjin Medical University  Tianjin 300070 China'}]}, {'given': 'Sujuan', 'family': 'Liu', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Anatomy and Histology School of Basic Medical Science Tianjin Medical University  Tianjin 300070 China'}]}, {'given': 'Yanmei', 'family': 'Niu', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Rehabilitation School of Medical Technology Tianjin Medical University  Tianjin 300070 China'}]}, {'ORCID': 'http://orcid.org/0000-0002-0759-8370', 'given': 'Li', 'family': 'Fu', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Rehabilitation School of Medical Technology Tianjin Medical University  Tianjin 300070 China'}, {'name': 'Department of Physiology and Pathophysiology School of Basic Medical Science Tianjin Medical University  Tianjin 300070 China'}], 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1111/apha.13776,200,503.0,,apha.13776,https://doi.org/10.1111/apha.13776,The effects of exercise intensity and duration on the relationship between the slow component of V̇O 2 and peripheral fatigue,journal-article,False,1/5/22,2022.0,Acta Physiologica,"1748-1708,1748-1716",1748-1708,False,False,Wiley,False,closed,False,,,[],[],2022-01-05T21:01:27.706038,2,"[{'ORCID': 'http://orcid.org/0000-0002-0346-7007', 'given': 'Rafael', 'family': 'de Almeida Azevedo', 'sequence': 'first', 'affiliation': [{'name': 'Faculty of Kinesiology University of Calgary  Calgary Canada'}], 'authenticated-orcid': False}, {'given': 'Daniel A.', 'family': 'Keir', 'sequence': 'additional', 'affiliation': [{'name': 'School of Kinesiology The University of Western Ontario  London Canada'}, {'name': 'Department of Medicine Toronto General Hospital Research Institute University Health Network  Toronto Canada'}]}, {'given': 'Jonas', 'family': 'Forot', 'sequence': 'additional', 'affiliation': [{'name': 'Faculty of Kinesiology University of Calgary  Calgary Canada'}, {'name': 'University of Grenoble Alpes  Grenoble France'}]}, {'given': 'Danilo', 'family': 'Iannetta', 'sequence': 'additional', 'affiliation': [{'name': 'Faculty of Kinesiology University of Calgary  Calgary Canada'}]}, {'ORCID': 'http://orcid.org/0000-0002-6395-0762', 'given': 'Guillaume Y.', 'family': 'Millet', 'sequence': 'additional', 'affiliation': [{'name': 'Faculty of Kinesiology University of Calgary  Calgary Canada'}, {'name': 'Univ Lyon, UJM‐Saint‐Etienne, Inter‐university Laboratory of Human Movement Biology, EA 7424  F‐42023 Saint‐Etienne France'}, {'name': 'Institut Universitaire de France (IUF)'}], 'authenticated-orcid': False}, {'given': 'Juan M.', 'family': 'Murias', 'sequence': 'additional', 'affiliation': [{'name': 'Faculty of Kinesiology University of Calgary  Calgary Canada'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1111/psyp.13980,200,503.0,,psyp.13980,https://doi.org/10.1111/psyp.13980,"Type of self‐talk matters: Its effects on perceived exertion, cardiorespiratory, and cortisol responses during an iso‐metabolic endurance exercise",journal-article,False,11/27/21,2021.0,Psychophysiology,"0048-5772,1469-8986",0048-5772,False,False,Wiley,False,closed,False,,,[],[],2021-11-27T21:01:27.005281,2,"[{'ORCID': 'http://orcid.org/0000-0002-0759-5583', 'given': 'Fabien A.', 'family': 'Basset', 'sequence': 'first', 'affiliation': [{'name': ""School of Human Kinetics and Recreation Memorial University of Newfoundland  St. John's Newfoundland Canada""}], 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0001-6618-1543', 'given': 'Liam P.', 'family': 'Kelly', 'sequence': 'additional', 'affiliation': [{'name': ""School of Human Kinetics and Recreation Memorial University of Newfoundland  St. John's Newfoundland Canada""}], 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0003-3194-9289', 'given': 'Rodrigo', 'family': 'Hohl', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Physiology Institute of Biological Sciences Federal University of Juiz de Fora (UFJF)  Juiz de Fora Brazil'}], 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-4511-7902', 'given': 'Navin', 'family': 'Kaushal', 'sequence': 'additional', 'affiliation': [{'name': 'School of Health and Human Sciences Indiana University  Indianapolis Indiana USA'}], 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1113/ep089180,200,503.0,,ep089180,https://doi.org/10.1113/ep089180,Priming the cardiodynamic phase of pulmonary oxygen uptake through voluntary modulations of the respiratory pump at the onset of exercise,journal-article,False,1/6/21,2021.0,Experimental Physiology,"0958-0670,1469-445X",0958-0670,False,False,Wiley,False,closed,False,,,[],[],2021-01-22T12:47:55.877238,2,"[{'ORCID': 'http://orcid.org/0000-0002-5548-7755', 'given': 'Frédéric', 'family': 'Stucky', 'sequence': 'first', 'affiliation': [{'name': 'Institute of Sport Sciences University of Lausanne  Lausanne Switzerland'}], 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-2950-0231', 'given': 'Andrea', 'family': 'Aliverti', 'sequence': 'additional', 'affiliation': [{'name': 'Dipartimento di Elettronica, Informazione e Bioingegneria Politecnico di Milano  Milan Italy'}], 'authenticated-orcid': False}, {'ORCID': 'http://orcid.org/0000-0002-9776-7501', 'given': 'Bengt', 'family': 'Kayser', 'sequence': 'additional', 'affiliation': [{'name': 'Institute of Sport Sciences University of Lausanne  Lausanne Switzerland'}], 'authenticated-orcid': False}, {'given': 'Barbara', 'family': 'Uva', 'sequence': 'additional', 'affiliation': [{'name': 'Institute of Sport Sciences University of Lausanne  Lausanne Switzerland'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1002/jimd.12393,200,503.0,,jimd.12393,https://doi.org/10.1002/jimd.12393,No effect of resveratrol in patients with mitochondrial myopathy: A cross‐over randomized controlled trial,journal-article,False,5/13/21,2021.0,Journal of Inherited Metabolic Disease,"0141-8955,1573-2665",0141-8955,False,False,Wiley,False,closed,False,,,[],[],2021-07-07T22:33:21.672010,2,"[{'ORCID': 'http://orcid.org/0000-0002-5494-8484', 'given': 'Nicoline', 'family': 'Løkken', 'sequence': 'first', 'affiliation': [{'name': 'Copenhagen Neuromuscular Center, Rigshospitalet University hospital  Copenhagen Denmark'}], 'authenticated-orcid': False}, {'given': 'Tahmina', 'family': 'Khawajazada', 'sequence': 'additional', 'affiliation': [{'name': 'Copenhagen Neuromuscular Center, Rigshospitalet University hospital  Copenhagen Denmark'}]}, {'given': 'Jesper Helbo', 'family': 'Storgaard', 'sequence': 'additional', 'affiliation': [{'name': 'Copenhagen Neuromuscular Center, Rigshospitalet University hospital  Copenhagen Denmark'}]}, {'given': 'Daniel', 'family': 'Raaschou‐Pedersen', 'sequence': 'additional', 'affiliation': [{'name': 'Copenhagen Neuromuscular Center, Rigshospitalet University hospital  Copenhagen Denmark'}]}, {'given': 'Maja Elling', 'family': 'Christensen', 'sequence': 'additional', 'affiliation': [{'name': 'Center for Healthy Aging, Department of Cellular and Molecular Medicine University of Copenhagen  Denmark'}]}, {'given': 'Tessa Munkeboe', 'family': 'Hornsyld', 'sequence': 'additional', 'affiliation': [{'name': 'Copenhagen Neuromuscular Center, Rigshospitalet University hospital  Copenhagen Denmark'}]}, {'given': 'Thomas', 'family': 'Krag', 'sequence': 'additional', 'affiliation': [{'name': 'Copenhagen Neuromuscular Center, Rigshospitalet University hospital  Copenhagen Denmark'}]}, {'given': 'Mette C.', 'family': 'Ørngreen', 'sequence': 'additional', 'affiliation': [{'name': 'Copenhagen Neuromuscular Center, Rigshospitalet University hospital  Copenhagen Denmark'}]}, {'given': 'John', 'family': 'Vissing', 'sequence': 'additional', 'affiliation': [{'name': 'Copenhagen Neuromuscular Center, Rigshospitalet University hospital  Copenhagen Denmark'}]}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1002/jcp.30490,200,503.0,,jcp.30490,https://doi.org/10.1002/jcp.30490,Improvement of cardiac and systemic function in old mice by agonist of growth hormone‐releasing hormone,journal-article,False,7/5/21,2021.0,Journal of Cellular Physiology,"0021-9541,1097-4652",0021-9541,False,False,Wiley,False,closed,False,,,[],[],2021-07-05T21:02:28.152961,2,"[{'ORCID': 'http://orcid.org/0000-0001-8685-9673', 'given': 'Pingping', 'family': 'Xiang', 'sequence': 'first', 'affiliation': [{'name': 'Cardiovascular Key Laboratory of Zhejiang Province, Department of Cardiology, The Second Affiliated Hospital Zhejiang University School of Medicine Hangzhou Zhejiang China'}], 'authenticated-orcid': False}, {'given': 'Wangwei', 'family': 'Jing', 'sequence': 'additional', 'affiliation': [{'name': 'Cardiovascular Key Laboratory of Zhejiang Province, Department of Cardiology, The Second Affiliated Hospital Zhejiang University School of Medicine Hangzhou Zhejiang China'}]}, {'given': 'Yinuo', 'family': 'Lin', 'sequence': 'additional', 'affiliation': [{'name': 'Department of Cardiology, The First Affiliated Hospital Wenzhou Medical University Wenzhou Zhejiang China'}]}, {'given': 'Qi', 'family': 'Liu', 'sequence': 'additional', 'affiliation': [{'name': 'Cardiovascular Key Laboratory of Zhejiang Province, Department of Cardiology, The Second Affiliated Hospital Zhejiang University School of Medicine Hangzhou Zhejiang China'}]}, {'given': 'Jian', 'family': 'Shen', 'sequence': 'additional', 'affiliation': [{'name': 'Cardiovascular Key Laboratory of Zhejiang Province, Department of Cardiology, The Second Affiliated Hospital Zhejiang University School of Medicine Hangzhou Zhejiang China'}]}, {'given': 'Xinyang', 'family': 'Hu', 'sequence': 'additional', 'affiliation': [{'name': 'Cardiovascular Key Laboratory of Zhejiang Province, Department of Cardiology, The Second Affiliated Hospital Zhejiang University School of Medicine Hangzhou Zhejiang China'}]}, {'given': 'Jinghai', 'family': 'Chen', 'sequence': 'additional', 'affiliation': [{'name': 'Cardiovascular Key Laboratory of Zhejiang Province, Department of Cardiology, The Second Affiliated Hospital Zhejiang University School of Medicine Hangzhou Zhejiang China'}]}, {'given': 'Renzhi', 'family': 'Cai', 'sequence': 'additional', 'affiliation': [{'name': 'Departments of Medicine and Pathology, Miller School of Medicine University of Miami Miami Florida USA'}, {'name': 'Endocrine, Polypeptide and Cancer Institute Veterans Affairs Medical Center Miami Florida USA'}]}, {'given': 'Joshua M.', 'family': 'Hare', 'sequence': 'additional', 'affiliation': [{'name': 'Departments of Medicine and Pathology, Miller School of Medicine University of Miami Miami Florida USA'}]}, {'given': 'Wei', 'family': 'Zhu', 'sequence': 'additional', 'affiliation': [{'name': 'Cardiovascular Key Laboratory of Zhejiang Province, Department of Cardiology, The Second Affiliated Hospital Zhejiang University School of Medicine Hangzhou Zhejiang China'}]}, {'given': 'Andrew V.', 'family': 'Schally', 'sequence': 'additional', 'affiliation': [{'name': 'Departments of Medicine and Pathology, Miller School of Medicine University of Miami Miami Florida USA'}, {'name': 'Endocrine, Polypeptide and Cancer Institute Veterans Affairs Medical Center Miami Florida USA'}]}, {'ORCID': 'http://orcid.org/0000-0003-0521-8933', 'given': 'Hong', 'family': 'Yu', 'sequence': 'additional', 'affiliation': [{'name': 'Cardiovascular Key Laboratory of Zhejiang Province, Department of Cardiology, The Second Affiliated Hospital Zhejiang University School of Medicine Hangzhou Zhejiang China'}], 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1002/ppul.25706,200,503.0,,ppul.25706,https://doi.org/10.1002/ppul.25706,Is the modified shuttle test a maximal effort test in children and adolescents with asthma?,journal-article,False,9/27/21,2021.0,Pediatric Pulmonology,"8755-6863,1099-0496",1099-0496,False,False,Wiley,False,closed,False,,,[],[],2021-09-27T21:02:10.801466,2,"[{'given': 'Mariana M.', 'family': 'Reimberg', 'sequence': 'first', 'affiliation': [{'name': 'Postgraduate Program in Rehabilitation Sciences, Universidade Nove de Julho  São Paulo SP Brazil'}]}, {'given': 'Raphael', 'family': 'Ritti‐Dias', 'sequence': 'additional', 'affiliation': [{'name': 'Postgraduate Program in Rehabilitation Sciences, Universidade Nove de Julho  São Paulo SP Brazil'}]}, {'ORCID': 'http://orcid.org/0000-0001-9182-7385', 'given': 'Jessyca P.', 'family': 'Selman', 'sequence': 'additional', 'affiliation': [{'name': 'Postgraduate Program in Rehabilitation Sciences, Universidade Nove de Julho  São Paulo SP Brazil'}], 'authenticated-orcid': False}, {'given': 'Rebeca S.', 'family': 'Scalco', 'sequence': 'additional', 'affiliation': [{'name': 'Postgraduate Program in Rehabilitation Sciences, Universidade Nove de Julho  São Paulo SP Brazil'}]}, {'ORCID': 'http://orcid.org/0000-0003-2173-4380', 'given': 'Gustavo F.', 'family': 'Wandalsen', 'sequence': 'additional', 'affiliation': [{'name': 'Pediatric Department of Federal University of São Paulo – UNIFESP  São Paulo SP Brazil'}], 'authenticated-orcid': False}, {'given': 'Dirceu', 'family': 'Solé', 'sequence': 'additional', 'affiliation': [{'name': 'Pediatric Department of Federal University of São Paulo – UNIFESP  São Paulo SP Brazil'}]}, {'given': 'HJ', 'family': 'Hulzebos', 'sequence': 'additional', 'affiliation': [{'name': 'Child Development &amp; Exercise Center, Wilhelmina Children’s Hospital, University Medical Centre Utrecht  Utrecht the Netherlands'}]}, {'given': 'Tim', 'family': 'Takken', 'sequence': 'additional', 'affiliation': [{'name': 'Child Development &amp; Exercise Center, Wilhelmina Children’s Hospital, University Medical Centre Utrecht  Utrecht the Netherlands'}]}, {'given': 'Simone Dal', 'family': 'Corso', 'sequence': 'additional', 'affiliation': [{'name': 'Postgraduate Program in Rehabilitation Sciences, Universidade Nove de Julho  São Paulo SP Brazil'}]}, {'ORCID': 'http://orcid.org/0000-0002-4748-6947', 'given': 'Fernanda Cordoba', 'family': 'Lanza', 'sequence': 'additional', 'affiliation': [{'name': 'Postgraduate Program in Rehabilitation Sciences, Universidade Nove de Julho  São Paulo SP Brazil'}, {'name': 'Graduate Program in Rehabilitation Sciences, Department of Physical Therapy, Universidade Federal de Minhas Gerais – UFMG  Belo Horizonte MG Brazil'}], 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
10.1111/sms.14053,200,503.0,,sms.14053,https://doi.org/10.1111/sms.14053,Concentric versus eccentric cycling at equal power output or effort perception: neuromuscular alterations and muscle pain,journal-article,False,9/17/21,2021.0,Scandinavian Journal of Medicine & Science in Sports,"0905-7188,1600-0838",0905-7188,False,False,Wiley,False,closed,False,,,[],[],2021-09-17T21:03:05.918169,2,"[{'ORCID': 'http://orcid.org/0000-0002-9435-9991', 'given': 'Pierre', 'family': 'Clos', 'sequence': 'first', 'affiliation': [{'name': 'INSERM UMR1093‐CAPS Université Bourgogne Franche‐Comté UFR des Sciences du Sport  F‐21000 Dijon France'}], 'authenticated-orcid': False}, {'given': 'Adrien', 'family': 'Mater', 'sequence': 'additional', 'affiliation': [{'name': 'INSERM UMR1093‐CAPS Université Bourgogne Franche‐Comté UFR des Sciences du Sport  F‐21000 Dijon France'}]}, {'given': 'Davy', 'family': 'Laroche', 'sequence': 'additional', 'affiliation': [{'name': 'INSERM UMR1093‐CAPS Université Bourgogne Franche‐Comté UFR des Sciences du Sport  F‐21000 Dijon France'}]}, {'ORCID': 'http://orcid.org/0000-0002-3870-4017', 'given': 'Romuald', 'family': 'Lepers', 'sequence': 'additional', 'affiliation': [{'name': 'INSERM UMR1093‐CAPS Université Bourgogne Franche‐Comté UFR des Sciences du Sport  F‐21000 Dijon France'}], 'authenticated-orcid': False}]",,,,,,,,,,,,,,,,,,,,,,,,,,
