pmcid,pmid,doi
PMC1332303,8800845,10.1136/bjsm.29.3.147
PMC1332240,8808543,10.1136/bjsm.29.4.271
PMC1728933,9922345,10.1136/hrt.81.2.121
PMC1182393,15958171,10.1186/1743-7075-2-14
PMC3900875,24478718,10.3389/fphys.2014.00005
PMC4447762,26060340,10.5604/20831862.1144418
PMC5260559,28149379,10.1515/hukin-2015-0179
PMC5319197,28270770,10.3389/fphys.2017.00096
PMC5667624,29114512,10.12965/jer.1734994.497
PMC5915563,29720948,10.3389/fphys.2018.00410
PMC6200917,30405439,10.3389/fphys.2018.01485
PMC6224852,30449942,10.5114/biolsport.2018.74637
PMC6250767,30505276,10.3389/fphys.2018.01523
PMC6458566,30988845,10.2478/hukin-2018-0052
PMC7732875,33335553,10.1016/j.jesf.2020.11.001
PMC7739653,33345089,10.3389/fspor.2020.00099
PMC7739740,33345103,10.3389/fspor.2020.00114
PMC8260529,33893836,10.1007/s00421-021-04689-2
PMC8067390,33917341,10.3390/sports9040051
PMC8100405,33955197,10.14814/phy2.14787
PMC8008307,34168695,10.2478/hukin-2021-0014
PMC8297253,34208925,10.3390/ijerph18137002
PMC8219267,34211317,10.52082/jssm.2021.250
PMC8883654,35220936,10.1186/s12874-022-01524-w
PMC8892136,35250602,10.3389/fphys.2021.780699
PMC484668,9068402,10.1136/hrt.77.2.168
PMC6654563,14640466,10.1002/clc.4960261107
PMC4620539,23668854,10.1080/15459624.2013.792681
PMC4120467,25114734,10.2478/hukin-2014-0035
PMC4330244,25713756,10.1186/s40064-015-0796-y
PMC4447761,26060339,10.5604/20831862.1144417
PMC4765006,26760783,10.5935/abc.20150148
PMC4914003,27305285,10.5935/abc.20160070
PMC5623047,29018361,10.3389/fphys.2017.00740
PMC5694659,29184508,10.3389/fphys.2017.00914
PMC5959994,29435760,10.1007/s00421-018-3814-2
PMC5801720,29541122,10.1016/j.jesf.2016.10.001
PMC6289624,30005988,10.1016/j.burns.2018.06.004
PMC6276239,30509203,10.1186/s12877-018-0993-y
PMC6858472,31628539,10.1007/s00421-019-04236-0
PMC7353634,32466372,10.3390/sports8060075
PMC7312918,32485945,10.3390/ijerph17113865
PMC7649780,33192589,10.3389/fphys.2020.581339
PMC7739683,33344976,10.3389/fspor.2019.00053
PMC7959157,33729393,10.1590/1414-431X202010693
PMC4671532,26397970,10.1590/1414-431X20154787
PMC4570431,26295396,10.3390/s150820480
PMC8384222,34428258,10.1371/journal.pone.0256662
PMC8391137,34444259,10.3390/ijerph18168510
PMC8623456,34833596,10.3390/s21227516
PMC4829340,26683232,10.1016/j.mvr.2015.12.007
PMC5218539,28066524,10.21300/18.2-3.2016.159
PMC5301027,28239356,10.3389/fphys.2017.00072
PMC5914074,29685173,10.1186/s12938-018-0476-6
PMC6430595,30418963,10.1249/MSS.0000000000001840
PMC6815090,31666886,10.2478/hukin-2019-0008
PMC6951403,31956312,10.3389/fphys.2019.01519
PMC7419685,32848890,10.3389/fphys.2020.00979
PMC8936151,34265816,10.1519/JSC.0000000000004019
PMC8027482,33841176,10.3389/fphys.2021.638499
PMC2944919,20351592,10.1249/MSS.0b013e3181de2da7
PMC3484529,23118534,10.2147/COPD.S35637
PMC3881456,24396189,10.1589/jpts.25.1363
PMC3804929,24155722,10.3389/fphys.2013.00293
PMC4600374,26371230,10.14814/phy2.12500
PMC4984569,27594875,10.11909/j.issn.1671-5411.2016.05.004
PMC5427162,28382550,10.1007/s00421-017-3596-y
PMC5812853,29541129,10.1016/j.jesf.2017.06.002
PMC6046382,30038577,10.3389/fphys.2018.00846
PMC6056736,30039557,10.14814/phy2.13802
PMC6397857,30858806,10.3389/fphys.2019.00160
PMC6723237,31375020,10.3390/sports7080187
PMC7459626,32824531,10.3390/ijerph17165962
PMC7552741,32825626,10.3390/sports8090116
PMC7739832,33345092,10.3389/fspor.2020.00103
PMC8284098,34276414,10.3389/fphys.2021.695569
PMC4210416,25364131,10.1589/jpts.26.1631
PMC4547190,26339572,10.1016/j.ijcme.2015.02.002
PMC8841821,35174324,10.3389/fspor.2021.828389
PMC8875792,35207540,10.3390/life12020253
PMC5384070,28469761,10.1515/hukin-2017-0040
PMC5649866,29069224,10.1590/1414-431X20176335
PMC6372535,30756526,10.14814/phy2.14002
PMC6722636,31430880,10.3390/sports7080195
PMC6835892,31547503,10.3390/nu11102274
PMC6835442,31614633,10.3390/sports7100220
PMC8192378,33811560,10.1007/s00421-021-04672-x
PMC8385778,34456815,10.3389/fpsyg.2021.698622
PMC8960724,35360255,10.3389/fphys.2022.824154
PMC8581565,34777008,10.3389/fphys.2021.739745
PMC1332212,7788211,10.1136/bjsm.29.1.20
PMC1717980,10373142,10.1136/adc.81.1.73
PMC1729398,10862587,10.1136/heart.84.1.46
PMC3085761,19190952,10.1007/s00395-009-0777-9
PMC2752199,19806216,10.1371/journal.pone.0007355
PMC2932474,20801259,10.1016/j.apmr.2010.06.003
PMC3477827,23097642,10.3389/fphys.2012.00406
PMC3588657,23486694,10.2478/v10078-012-0010-z
PMC3826314,24288501,10.1155/2013/680326
PMC4014369,24833914,10.2147/JPR.S61312
PMC4216092,25360744,10.1371/journal.pone.0111621
PMC4388468,25849090,10.1371/journal.pone.0123101
PMC5119771,27875547,10.1371/journal.pone.0166608
PMC5384060,28469751,10.1515/hukin-2017-0030
PMC5506237,28597103,10.1007/s00421-017-3621-1
