pmcid,pmid,doi
PMC8505378,34402986,10.1007/s00421-021-04783-5
PMC8505311,34390403,10.1007/s00421-021-04784-4
PMC8505324,34390402,10.1007/s00421-021-04769-3
PMC8505308,34390401,10.1007/s00421-021-04768-4
PMC8505327,34351531,10.1007/s00421-021-04780-8
PMC8505335,34319445,10.1007/s00421-021-04763-9
PMC8505395,34235576,10.1007/s00421-021-04754-w
PMC8416847,34155525,10.1007/s00421-021-04740-2
PMC8416884,34143306,10.1007/s00421-021-04739-9
PMC8416851,34143305,10.1007/s00421-021-04741-1
PMC8420022,34488832,10.1186/s13024-021-00483-y
PMC8594502,34310502,10.1249/MSS.0000000000002737
PMC7305034,31868814,10.1519/JSC.0000000000003452
PMC8794091,35085265,10.1371/journal.pone.0260338
PMC8453576,34019710,10.1002/jnr.24851
PMC8208114,33978554,10.1080/15384101.2021.1919839
PMC8633734,34436560,10.1093/eurheartj/ehab580
PMC8402764,34452400,10.3390/v13081535
PMC8543476,33783141,10.1002/cre2.422
PMC8613230,34819543,10.1038/s41598-021-02072-x
PMC8191399,34110721,10.14814/phy2.14916
PMC8692308,34934054,10.1038/s41598-021-03158-2
PMC8683485,34921190,10.1038/s41598-021-03475-6
PMC8778537,35057416,10.3390/nu14020236
PMC8718021,34658160,10.1002/jcsm.12828
PMC8651694,34876614,10.1038/s41598-021-02729-7
PMC8714979,34672767,10.1152/japplphysiol.00400.2021
PMC8744745,35010758,10.3390/ijerph19010498
PMC8750492,35010428,10.3390/ijerph19010168
PMC8751078,35010359,10.3390/ijerph19010099
PMC8751188,35010354,10.3390/ijerph19010093
PMC8633014,34848750,10.1038/s41598-021-02352-6
PMC8706924,34959943,10.3390/nu13124391
PMC8708138,34959810,10.3390/nu13124258
PMC8704793,34959912,10.3390/nu13124359
PMC8727854,33577778,10.1016/j.chest.2021.01.082
PMC8742938,34998424,10.1186/s13104-021-05850-y
PMC8602812,34804028,10.3389/fimmu.2021.746151
PMC8646879,34753208,10.1111/cpf.12734
PMC8100405,33955197,10.14814/phy2.14787
PMC7970388,33729454,10.1001/jamacardio.2021.0292
PMC8542534,33085071,10.1007/s10877-020-00602-y
PMC8534025,34677347,10.3390/bios11100391
PMC8526881,33972376,10.1136/oemed-2020-107281
PMC8357778,34080066,10.1007/s00421-021-04719-z
PMC8357751,34003363,10.1007/s00421-021-04712-6
PMC8700839,34948566,10.3390/ijerph182412958
PMC8354502,33378577,10.1111/jdi.13490
PMC6659762,31372209,10.12688/f1000research.16326.2
PMC8363556,33914281,10.1007/s40279-021-01471-4
PMC8363530,34021488,10.1007/s40279-021-01481-2
PMC7864870,33099664,10.1007/s00421-020-04536-w
PMC8318475,33991175,10.1002/ehf2.13329
PMC7875177,33460433,10.1210/endocr/bqab012
PMC8384222,34428258,10.1371/journal.pone.0256662
PMC8621928,34831820,10.3390/ijerph182212066
PMC8588223,34770772,10.3390/molecules26216364
PMC8379793,34419082,10.1186/s12970-021-00454-0
PMC8375997,34411164,10.1371/journal.pone.0256258
PMC8260529,33893836,10.1007/s00421-021-04689-2
PMC8050268,33859271,10.1038/s41598-021-87614-z
PMC8192378,33811560,10.1007/s00421-021-04672-x
PMC8192409,33811559,10.1007/s00421-021-04675-8
PMC8192396,33782715,10.1007/s00421-021-04666-9
PMC7893166,33603039,10.1038/s41598-021-83072-9
PMC7883830,33587340,10.14814/phy2.14758
PMC8144132,33683439,10.1007/s00421-021-04637-0
PMC8627109,32996304,10.23736/S0026-4725.20.05295-0
PMC7698650,33124965,10.1089/wound.2018.0903
PMC8622737,34833666,10.3390/s21227590
PMC8623456,34833596,10.3390/s21227516
PMC7902604,33623054,10.1038/s41598-021-83056-9
PMC8566025,33860476,10.1055/a-1403-2701
PMC8580245,34758032,10.1371/journal.pone.0257549
PMC8496840,34618821,10.1371/journal.pone.0249504
PMC8263737,34234163,10.1038/s41598-021-93241-5
PMC8144119,33712869,10.1007/s00421-021-04601-y
PMC8144153,33677693,10.1007/s00421-021-04642-3
PMC8144163,33646425,10.1007/s00421-021-04626-3
PMC8583638,34769776,10.3390/ijerph182111258
PMC8579317,33217419,10.1016/j.chest.2020.11.009
PMC8583387,34769896,10.3390/ijerph182111378
PMC8538808,34684557,10.3390/nu13103556
PMC7983342,33581294,10.1016/j.resp.2021.103638
PMC8432818,34506548,10.1371/journal.pone.0257124
PMC8027095,33784591,10.1016/j.neo.2021.02.003
PMC8470843,34571904,10.3390/cells10092255
PMC7758979,33369253,10.14814/phy2.14650
PMC8440327,33935232,10.1249/MSS.0000000000002694
PMC8390693,34446761,10.1038/s41598-021-96569-0
PMC8119959,33986451,10.1038/s41598-021-89766-4
PMC8064983,33598762,10.1007/s00421-021-04611-w
PMC8222247,34162915,10.1038/s41598-021-92191-2
PMC8260713,34230503,10.1038/s41598-021-92670-6
PMC8171865,34077447,10.1371/journal.pone.0251516
PMC7897842,33605155,10.1177/1479973121993494
PMC7892684,33355713,10.1007/s00421-020-04572-6
PMC7892727,33289062,10.1007/s00421-020-04569-1
PMC8477928,32043944,10.1080/10790268.2020.1722935
PMC8535879,34682674,10.3390/ijerph182010928
PMC8535934,34682577,10.3390/ijerph182010832
PMC8466982,34574408,10.3390/ijerph18189486
PMC8203722,34127700,10.1038/s41598-021-91734-x
PMC7704799,32473379,10.1016/j.cardfail.2020.05.014
PMC8206084,34131258,10.1038/s41598-021-92040-2
PMC8525016,34663363,10.1186/s12970-021-00464-y
PMC8431074,34501781,10.3390/ijerph18179193
PMC8541599,34684154,10.3390/medicina57101117
PMC8206117,34131157,10.1038/s41598-021-91618-0
PMC7966187,33521869,10.1007/s00421-021-04596-6
PMC8508542,34639723,10.3390/ijerph181910426
PMC8461976,34556146,10.1186/s12966-021-01199-4
PMC8518937,34181783,10.1111/sms.14011
PMC8512101,34640689,10.3390/s21196369
PMC8420073,34488878,10.1186/s40101-021-00262-0
PMC8257502,33288853,10.1038/s41393-020-00591-4
PMC7943418,32647328,10.1038/s41393-020-0514-7
PMC7365525,32072993,10.5935/1518-0557.20190080
PMC8059801,33882094,10.1371/journal.pone.0249786
PMC7550559,33046694,10.1038/s41394-020-00346-6
PMC7854955,32908194,10.1038/s41393-020-00548-7
PMC8219271,34211324,10.52082/jssm.2021.310
PMC8219267,34211317,10.52082/jssm.2021.250
PMC7862540,33098020,10.1007/s00421-020-04535-x
PMC7390624,32694152,10.1242/bio.051581
PMC8472124,34574691,10.3390/ijerph18189770
PMC8466329,34577871,10.3390/medicina57090948
PMC8256520,34267578,10.52082/jssm.2021.398
PMC7673482,33207080,10.14814/phy2.14634
PMC8386605,31944172,10.1080/15548627.2020.1712107
PMC7888616,33596256,10.1371/journal.pone.0247057
PMC8004550,32750964,10.1109/JBHI.2020.3009903
PMC8404762,34196240,10.1177/19417381211028212
PMC8294966,34337022,10.1155/2021/5540877
PMC7884033,33464721,10.1111/acel.13303
PMC7666775,33190418,10.14814/phy2.14624
PMC7660679,33181002,10.14814/phy2.14618
PMC8343121,32565243,10.1016/j.jshs.2020.06.008
